date,market,rank,code,name,score,selected,target_weight
2026-09-08,a,70,601868.SH,中国能建,1.0350301674398998,False,0.0
2026-09-08,a,71,600183.SH,生益科技,1.03223305956666,False,0.0
2026-09-08,a,72,600906.SH,财达证券,1.0112768746299734,False,0.0
2026-09-08,a,73,603858.SH,步长制药,1.0101667664318292,False,0.0
2026-09-08,a,74,603233.SH,大参林,1.0054428157488666,False,0.0
2026-09-08,a,75,000591.SZ,太阳能,1.0029820679492618,False,0.0
2026-09-08,a,76,688728.SH,格科微,0.996165437136755,False,0.0
2026-09-08,a,77,002266.SZ,浙富控股,0.9741728078617397,False,0.0
2026-09-08,a,78,600582.SH,天地科技,0.9654629257540598,False,0.0
2026-09-08,a,79,600460.SH,士兰微,0.9550859216940845,False,0.0
2026-09-08,a,80,002318.SZ,久立特材,0.9542355763081612,False,0.0
2026-09-08,a,81,600015.SH,华夏银行,0.9530883302745118,False,0.0
2026-09-08,a,82,688819.SH,天能股份,0.9530141494407909,False,0.0
2026-09-08,a,83,688498.SH,源杰科技,0.9487489793853288,False,0.0
2026-09-08,a,84,600848.SH,上海临港,0.9429244922272314,False,0.0
2026-09-08,a,85,000338.SZ,潍柴动力,0.9342412053095123,False,0.0
2026-09-08,a,86,002299.SZ,圣农发展,0.9324543228021938,False,0.0
2026-09-08,a,87,000060.SZ,中金岭南,0.9277588886867176,False,0.0
2026-09-08,a,88,603816.SH,顾家家居,0.9163597852598523,False,0.0
2026-09-08,a,89,600062.SH,华润双鹤,0.9080445630195021,False,0.0
2026-09-08,a,90,301358.SZ,湖南裕能,0.9072440464928365,False,0.0
2026-09-08,a,91,301308.SZ,江波龙,0.8995974660831634,False,0.0
2026-09-08,a,92,603589.SH,口子窖,0.8975789805858053,False,0.0
2026-09-08,a,93,601139.SH,深圳燃气,0.8975286816947426,False,0.0
2026-09-08,a,94,600763.SH,通策医疗,0.8951575358633533,False,0.0
2026-09-08,a,95,002756.SZ,永兴材料,0.8920617150861063,False,0.0
2026-09-08,a,96,600435.SH,北方导航,0.8901349378760705,False,0.0
2026-09-08,a,97,600170.SH,上海建工,0.8806316869585458,False,0.0
2026-09-08,a,98,600166.SH,福田汽车,0.8800826140663615,False,0.0
2026-09-08,a,99,688281.SH,华秦科技,0.8728028698976305,False,0.0
2026-09-08,a,100,601615.SH,明阳智能,0.8623965865766587,False,0.0
2026-09-08,a,101,688772.SH,珠海冠宇,0.859119017256417,False,0.0
2026-09-08,a,102,300957.SZ,贝泰妮,0.8536510830768114,False,0.0
2026-09-08,a,103,600339.SH,中油工程,0.8423547904415972,False,0.0
2026-09-08,a,104,600176.SH,中国巨石,0.8366817506970401,False,0.0
2026-09-08,a,105,601666.SH,平煤股份,0.8343337532061267,False,0.0
2026-09-08,a,106,600595.SH,中孚实业,0.8337462392289773,False,0.0
2026-09-08,a,107,601869.SH,长飞光纤,0.8279296935997684,False,0.0
2026-09-08,a,108,600546.SH,山煤国际,0.8201495258162353,False,0.0
2026-09-08,a,109,003021.SZ,兆威机电,0.8163626920235135,False,0.0
2026-09-08,a,110,600312.SH,平高电气,0.8131517312568888,False,0.0
2026-09-08,a,111,688343.SH,云天励飞,0.8119954155994116,False,0.0
2026-09-08,a,112,600970.SH,中材国际,0.805459603803408,False,0.0
2026-09-08,a,113,600535.SH,天士力,0.8016188688408415,False,0.0
2026-09-08,a,114,600522.SH,中天科技,0.8014397727499623,False,0.0
2026-09-08,a,115,300699.SZ,光威复材,0.7993989608390828,False,0.0
2026-09-08,a,116,600098.SH,广州发展,0.7941364225706724,False,0.0
2026-09-08,a,117,002056.SZ,横店东磁,0.7907643926242519,False,0.0
2026-09-08,a,118,000027.SZ,深圳能源,0.7883211267729665,False,0.0
