,0
low_52w,430
mom_12m_s1,429
high_52w,420
amt_ratio,395
mktcap,390
mom_6m_s1,376
bias_20,373
turnover_proxy,369
pe_ttm,357
rev_5d,355
ep_ttm,347
vol_60,334
turn_chg,331
max_20,326
bp,322
skew_60,320
mom_3m,318
corr_pv_20,317
pb,317
turn_20,312
bias_60,306
mom_1m,298
vol_cv_20,297
vol_20,286
amt_log_20,246
amihud_20,235
size,194
downside_vol,0
