date,总市值,市盈率(TTM),市净率
1993-11-20,21.74,36.85,
1993-12-10,20.88,35.38,
1993-12-30,15.15,25.67,
1994-01-19,15.27,25.87,
1994-02-08,15.06,25.53,
1994-02-28,14.28,24.2,
1994-03-20,15.1,25.59,
1994-04-09,12.64,18.19,2.22
1994-04-29,10.06,14.47,1.77
1994-05-19,9.99,14.37,1.76
1994-06-08,7.96,11.45,1.4
1994-06-28,7.38,10.62,1.3
1994-07-18,6.72,9.67,1.18
1994-08-07,13.68,19.68,2.41
1994-08-27,13.59,19.55,2.2
1994-09-16,18.34,26.39,2.97
1994-10-06,10.81,15.55,1.75
1994-10-26,11.23,16.15,1.82
1994-11-15,11.71,16.85,1.9
1994-12-05,11.05,15.9,1.79
1994-12-25,10.61,15.26,1.72
1995-01-14,10.03,14.43,1.63
1995-02-03,9.66,13.89,1.57
1995-02-23,9.95,14.31,1.61
1995-03-15,10.28,14.78,1.67
1995-04-04,11.47,11.9,1.73
1995-04-24,10.67,11.07,1.61
1995-05-14,9.95,10.32,1.5
1995-06-03,11.74,12.17,1.77
1995-06-23,10.94,11.35,1.65
1995-07-13,10.43,10.82,1.57
1995-08-02,11.54,11.97,1.74
1995-08-22,12.24,11.66,1.9
1995-09-11,13.11,12.49,2.03
1995-10-01,12.4,11.81,1.92
1995-10-21,13.39,12.76,2.08
1995-11-10,12.84,12.23,1.99
1995-11-30,11.45,10.91,1.77
1995-12-20,10.39,9.9,1.61
1996-01-09,9.83,9.37,1.52
1996-01-29,10.32,9.83,1.6
1996-02-18,10.94,10.42,1.7
1996-03-09,11.65,11.1,1.81
1996-03-29,10.94,9.33,1.78
1996-04-18,11.49,9.8,1.87
1996-05-08,16.52,14.08,2.69
1996-05-28,18.61,15.87,3.03
1996-06-17,29.93,25.52,4.87
1996-07-07,36.19,30.85,5.89
1996-07-27,40.33,27.21,4.51
1996-08-16,40.82,27.54,4.57
1996-09-05,40.49,27.32,4.53
1996-09-25,39.18,26.43,4.38
1996-10-15,42.12,28.42,4.71
1996-11-04,39.9,26.92,4.46
1996-11-24,40.16,27.09,4.49
1996-12-14,47.31,31.92,5.29
1997-01-03,42.74,28.84,4.78
1997-01-23,48.0,32.38,5.37
1997-02-12,47.97,32.36,5.37
1997-03-04,55.41,37.38,6.2
1997-03-24,77.78,52.47,8.7
1997-04-13,66.25,37.17,7.31
1997-05-03,77.09,43.25,8.51
1997-05-23,92.15,51.7,10.17
1997-06-12,90.42,50.73,9.98
1997-07-02,109.39,61.37,12.07
1997-07-22,100.57,47.28,9.77
1997-08-11,89.76,42.2,8.72
1997-08-31,86.2,40.53,8.37
1997-09-20,92.41,43.45,8.98
1997-10-10,92.7,43.58,9.0
1997-10-30,116.87,54.94,11.35
1997-11-19,118.09,55.52,11.47
1997-12-09,114.88,54.01,11.16
1997-12-29,119.9,56.37,11.65
1998-01-18,124.46,58.51,12.09
1998-02-07,121.25,57.01,11.78
1998-02-27,105.35,43.07,6.61
1998-03-19,98.94,40.45,6.2
1998-04-08,102.4,41.86,6.42
1998-04-28,102.7,41.98,6.44
1998-05-18,98.69,40.34,6.19
1998-06-07,98.82,40.39,6.2
1998-06-27,88.99,36.38,5.58
1998-07-17,84.86,34.69,5.32
1998-08-06,88.99,36.38,5.58
1998-08-26,74.23,29.73,4.31
1998-09-15,74.57,29.87,4.33
1998-10-05,71.82,28.77,4.17
1998-10-25,71.19,28.52,4.14
1998-11-14,73.64,29.5,4.28
1998-12-04,75.79,30.36,4.4
1998-12-24,70.64,28.3,4.1
1999-01-13,72.5,29.04,4.21
1999-02-02,70.73,28.33,4.11
1999-02-22,69.84,27.98,4.06
1999-03-14,71.23,25.98,3.83
1999-04-03,69.17,25.23,3.72
1999-04-23,65.54,23.91,3.52
1999-05-13,57.06,20.81,3.07
1999-06-02,71.91,26.23,3.87
1999-06-22,84.1,30.68,4.52
1999-07-12,86.92,31.71,4.67
1999-08-01,87.22,29.54,4.34
1999-08-21,86.02,29.14,4.28
1999-09-10,85.36,28.91,4.25
1999-09-30,80.8,27.37,4.02
1999-10-20,74.16,25.12,3.69
1999-11-09,74.16,25.12,3.69
1999-11-29,74.26,25.15,3.7
1999-12-19,75.76,25.66,3.77
2000-01-08,95.53,32.36,4.76
2000-01-28,93.93,31.81,4.68
2000-02-17,91.01,30.83,4.53
2000-03-08,121.51,41.15,6.05
2000-03-28,103.25,34.97,5.14
2000-04-17,106.26,34.21,4.11
2000-05-07,105.79,34.06,4.1
2000-05-27,102.12,32.87,3.95
2000-06-16,107.58,34.63,4.16
2000-07-06,103.4,33.29,4.0
2000-07-26,105.26,33.89,4.08
2000-08-15,108.31,34.87,4.19
2000-09-04,107.75,31.39,3.9
2000-09-24,117.74,34.3,4.26
2000-10-14,117.06,34.11,4.24
2000-11-03,120.62,35.14,4.37
2000-11-23,128.13,37.33,4.64
2000-12-13,118.48,34.52,4.29
2001-01-02,120.28,35.04,4.36
2001-01-22,130.61,38.05,4.73
2001-02-11,120.25,35.03,4.35
2001-03-03,126.29,36.8,4.57
2001-03-23,134.67,31.76,4.66
2001-04-12,139.46,32.88,4.82
2001-05-02,132.21,31.18,4.57
