date,总市值,市盈率(TTM),市净率
2012-04-02,548.26,12.84,1.88
2012-04-10,559.85,13.11,1.92
2012-04-18,551.48,12.91,1.89
2012-04-26,518.02,12.13,1.78
2012-05-04,549.55,14.72,1.69
2012-05-12,532.18,14.25,1.63
2012-05-20,518.66,13.89,1.59
2012-05-28,534.75,14.32,1.64
2012-06-05,501.93,13.44,1.54
2012-06-13,496.78,13.31,1.52
2012-06-21,505.79,13.55,1.55
2012-06-29,495.5,13.27,1.52
2012-07-07,465.9,12.48,1.43
2012-07-15,474.9,12.72,1.46
2012-07-23,483.91,12.96,1.49
2012-07-31,469.11,12.57,1.44
2012-08-08,473.62,12.69,1.45
2012-08-16,460.1,12.32,1.41
2012-08-24,423.42,11.34,1.3
2012-09-01,395.75,9.8,1.24
2012-09-09,391.89,9.7,1.23
2012-09-17,355.86,8.81,1.12
2012-09-25,330.76,8.19,1.04
2012-10-03,342.34,8.48,1.07
2012-10-11,341.7,8.46,1.07
2012-10-19,336.55,8.33,1.06
2012-10-27,328.19,8.13,1.03
2012-11-04,333.98,9.52,1.05
2012-11-12,328.83,9.38,1.04
2012-11-20,317.25,9.05,1.0
2012-11-28,321.11,9.16,1.01
2012-12-06,357.14,10.18,1.12
2012-12-14,369.37,10.53,1.16
2012-12-22,379.02,10.81,1.19
2012-12-30,396.4,11.3,1.25
2013-01-07,388.68,11.08,1.22
2013-01-15,400.26,11.41,1.26
2013-01-23,376.45,10.73,1.19
2013-01-31,432.43,12.33,1.36
2013-02-08,448.52,12.79,1.41
2013-02-16,448.52,12.79,1.41
2013-02-24,404.76,11.54,1.27
2013-03-04,373.87,10.66,1.18
2013-03-12,368.73,10.51,1.16
2013-03-20,395.11,11.27,1.24
2013-03-28,368.08,10.5,1.16
2013-04-05,361.65,31.9,1.16
2013-04-13,361.0,31.85,1.16
2013-04-21,388.03,34.23,1.25
2013-04-29,368.73,51.94,1.17
2013-05-07,397.04,55.93,1.26
2013-05-15,446.59,62.91,1.41
2013-05-23,490.99,69.17,1.56
2013-05-31,590.09,83.13,1.87
2013-06-08,545.05,76.78,1.73
2013-06-16,527.03,74.24,1.67
2013-06-24,460.75,64.91,1.46
2013-07-02,498.71,70.25,1.58
2013-07-10,538.61,75.87,1.71
2013-07-18,525.1,73.97,1.66
2013-07-26,478.77,67.44,1.52
2013-08-03,459.46,64.72,1.46
2013-08-11,531.53,74.88,1.68
2013-08-19,505.79,71.25,1.6
2013-08-27,532.18,74.97,1.69
2013-09-04,559.85,64.31,1.74
2013-09-12,566.93,65.13,1.76
2013-09-20,539.25,61.95,1.68
2013-09-28,518.02,59.51,1.61
2013-10-06,521.88,59.95,1.62
2013-10-14,544.4,62.54,1.69
2013-10-22,535.39,61.51,1.66
2013-10-30,509.65,58.55,1.58
2013-11-07,539.9,35.11,1.65
2013-11-15,595.24,38.71,1.81
2013-11-23,608.11,39.54,1.85
2013-12-01,578.51,37.62,1.76
2013-12-09,596.53,38.79,1.82
2013-12-17,561.78,36.53,1.71
2013-12-25,556.63,36.2,1.7
2014-01-02,513.51,33.39,1.56
2014-01-10,470.4,30.59,1.43
2014-01-18,467.83,30.42,1.43
2014-01-26,493.57,32.1,1.5
2014-02-03,482.63,31.38,1.47
2014-02-11,510.94,33.23,1.56
2014-02-19,543.76,35.36,1.66
2014-02-27,494.85,32.18,1.51
2014-03-07,494.21,32.14,1.51
2014-03-15,463.96,30.17,1.41
2014-03-23,474.26,30.84,1.45
2014-03-31,467.18,17.5,1.4
2014-04-08,490.99,18.4,1.48
2014-04-16,488.42,18.3,1.47
2014-04-24,472.33,17.7,1.42
2014-05-02,472.97,15.56,1.39
2014-05-10,467.83,15.39,1.37
2014-05-18,467.18,15.37,1.37
2014-05-26,469.76,15.45,1.38
2014-06-03,468.47,15.41,1.37
2014-06-11,472.33,15.54,1.38
2014-06-19,474.9,15.62,1.39
2014-06-27,484.56,15.94,1.42
2014-07-05,498.07,16.38,1.46
2014-07-13,495.5,16.3,1.45
2014-07-21,509.65,16.77,1.49
2014-07-29,519.31,17.08,1.52
2014-08-06,545.69,17.95,1.6
2014-08-14,530.89,17.46,1.56
2014-08-22,521.88,17.17,1.53
2014-08-30,514.16,16.19,1.5
2014-09-07,534.11,16.82,1.56
2014-09-15,534.75,16.84,1.56
2014-09-23,529.6,16.68,1.54
2014-10-01,545.05,17.16,1.59
2014-10-09,543.12,17.1,1.58
2014-10-17,525.1,16.53,1.53
2014-10-25,493.57,15.54,1.44
2014-11-02,501.93,18.6,1.46
2014-11-10,516.09,19.12,1.5
2014-11-18,507.08,18.79,1.48
2014-11-26,521.24,19.31,1.52
2014-12-04,559.85,20.74,1.63
2014-12-12,568.21,21.05,1.65
2014-12-20,566.28,20.98,1.65
2014-12-28,561.13,20.79,1.63
2015-01-05,579.8,21.48,1.69
2015-01-13,548.91,20.34,1.6
2015-01-21,539.25,19.98,1.57
2015-01-29,535.39,19.84,1.56
2015-02-06,519.95,19.27,1.51
2015-02-14,538.61,19.96,1.57
2015-02-22,546.98,20.27,1.59
2015-03-02,558.56,20.7,1.63
2015-03-10,588.8,21.82,1.71
2015-03-18,630.63,23.37,1.83
2015-03-26,632.56,19.86,1.79
2015-04-03,679.54,21.33,1.92
2015-04-11,667.96,20.97,1.89
2015-04-19,716.86,22.5,2.03
2015-04-27,864.87,27.15,2.45
2015-05-05,760.62,26.53,2.12
2015-05-13,809.53,28.24,2.26
2015-05-21,794.72,27.72,2.22
2015-05-29,767.7,26.78,2.14
2015-06-06,926.64,32.33,2.58
2015-06-14,951.1,33.18,2.65
2015-06-22,1120.34,39.08,3.13
2015-06-30,984.56,34.35,2.75
2015-07-08,788.93,27.52,2.2
2015-07-16,1061.78,37.04,2.96
2015-07-24,1235.52,43.1,3.45
2015-08-01,1209.14,42.18,3.37
2015-08-09,1259.98,43.95,3.51
2015-08-17,1349.42,47.07,3.76
2015-08-25,1005.15,35.06,2.8
2015-09-02,1055.99,32.89,2.89
2015-09-10,1164.1,36.26,3.18
2015-09-18,1209.78,37.68,3.31
2015-09-26,1167.31,36.36,3.19
2015-10-04,1169.89,36.44,3.2
2015-10-12,1329.48,41.41,3.64
2015-10-20,1277.35,39.78,3.49
2015-10-28,1287.65,40.1,3.52
2015-11-05,1443.38,39.92,3.91
2015-11-13,1554.06,42.99,4.21
2015-11-21,1469.12,40.64,3.98
2015-11-29,1330.76,36.81,3.6
2015-12-07,1421.5,39.32,3.85
2015-12-15,1436.94,39.75,3.89
2015-12-23,1576.58,43.61,4.27
2015-12-31,1452.38,40.17,3.93
2016-01-08,1418.92,39.25,3.84
2016-01-16,1231.66,34.07,3.33
2016-01-24,1289.58,35.67,3.49
2016-02-01,1267.06,35.05,3.43
2016-02-09,1308.88,36.2,3.54
2016-02-17,1347.49,37.27,3.65
2016-02-25,1267.06,35.05,3.43
2016-03-04,1217.51,33.68,3.29
2016-03-12,1211.07,33.5,3.28
2016-03-20,1248.39,34.53,3.38
2016-03-28,1283.14,30.32,3.32
2016-04-05,1412.49,33.37,3.66
2016-04-13,1386.1,32.75,3.59
2016-04-21,1407.98,33.27,3.65
2016-04-29,1441.44,25.61,3.52
2016-05-07,1492.92,26.52,3.65
2016-05-15,1541.83,27.39,3.77
2016-05-23,1476.84,26.23,3.61
2016-05-31,1527.67,27.14,3.73
2016-06-08,1473.62,26.18,3.6
2016-06-16,1444.66,25.66,3.53
2016-06-24,1416.99,25.17,3.46
2016-07-02,1515.45,26.92,3.7
2016-07-10,1438.23,25.55,3.52
2016-07-18,1496.14,26.58,3.66
2016-07-26,1553.41,27.59,3.8
2016-08-03,1565.64,27.81,3.83
2016-08-11,1662.81,29.54,4.06
2016-08-19,1554.7,27.62,3.8
2016-08-27,1522.53,23.56,3.67
2016-09-04,1427.0,22.08,3.44
2016-09-12,1489.44,23.04,3.59
2016-09-20,1490.72,23.06,3.6
2016-09-28,1428.37,22.1,3.45
2016-10-06,1435.68,22.21,3.46
2016-10-14,1428.21,22.1,3.45
2016-10-22,1442.4,22.32,3.48
2016-10-30,1442.4,22.32,3.48
2016-11-07,1644.31,23.03,3.85
2016-11-15,1651.4,23.13,3.87
2016-11-23,1628.83,22.82,3.82
2016-12-01,1632.05,22.86,3.82
2016-12-09,1574.4,22.05,3.69
2016-12-17,1514.39,21.21,3.55
2016-12-25,1486.65,20.82,3.48
2017-01-02,1495.05,20.94,3.5
2017-01-10,1464.27,20.51,3.43
2017-01-18,1548.16,21.69,3.63
2017-01-26,1532.67,21.47,3.59
2017-02-03,1521.06,21.31,3.56
2017-02-11,1558.05,21.82,3.65
2017-02-19,1574.83,22.06,3.69
2017-02-27,1633.56,22.88,3.83
2017-03-07,1697.28,23.77,3.98
2017-03-15,1675.29,23.47,3.92
2017-03-23,1667.54,23.36,3.91
2017-03-31,1697.93,27.0,3.91
2017-04-08,1650.79,26.25,3.8
2017-04-16,1639.15,26.07,3.78
2017-04-24,1603.58,25.5,3.69
2017-05-02,1663.07,20.31,3.5
2017-05-10,1692.42,20.67,3.56
2017-05-18,1746.1,21.32,3.67
2017-05-26,1655.56,20.21,3.48
2017-06-03,1694.36,20.69,3.56
2017-06-11,1767.95,21.59,3.72
2017-06-19,1821.96,22.25,3.83
2017-06-27,1792.71,21.89,3.77
2017-07-05,1706.37,20.84,3.59
2017-07-13,1707.67,20.85,3.59
2017-07-21,1724.57,21.06,3.63
2017-07-29,1699.22,20.75,3.57
2017-08-06,1687.59,20.61,3.55
2017-08-14,1658.33,20.25,3.49
2017-08-22,1691.49,20.65,3.56
2017-08-30,1690.84,19.92,3.43
2017-09-07,1700.59,20.03,3.45
2017-09-15,1675.89,19.74,3.4
2017-09-23,1730.49,20.38,3.51
2017-10-01,1744.79,20.55,3.54
2017-10-09,1746.74,20.58,3.54
2017-10-17,1854.86,21.85,3.76
2017-10-25,1830.78,21.57,3.71
2017-11-02,1770.26,18.36,3.44
2017-11-10,1804.41,18.71,3.51
2017-11-18,1782.34,18.49,3.46
2017-11-26,1794.67,18.61,3.49
2017-12-04,1766.28,18.32,3.43
2017-12-12,1772.57,18.38,3.44
2017-12-20,1733.24,17.98,3.37
2017-12-28,1787.13,18.54,3.47
2018-01-05,1816.26,18.84,3.53
2018-01-13,1793.69,18.6,3.48
2018-01-21,1780.58,18.47,3.46
2018-01-29,1759.25,18.25,3.42
2018-02-06,1566.2,16.24,3.04
2018-02-14,1536.29,15.93,2.98
2018-02-22,1549.42,16.07,3.01
2018-03-02,1540.67,15.98,2.99
2018-03-10,1605.59,16.65,3.12
2018-03-18,1666.14,17.28,3.24
2018-03-26,1533.38,15.9,2.98
2018-04-03,1580.79,14.66,2.29
2018-04-11,1472.83,13.65,2.13
2018-04-19,1289.73,11.96,1.87
2018-04-27,1322.55,12.2,1.81
2018-05-05,1307.24,12.06,1.79
2018-05-13,1322.55,12.2,1.81
2018-05-21,1367.05,12.61,1.87
2018-05-29,1324.74,12.22,1.81
2018-06-06,1407.17,12.98,1.92
2018-06-14,1345.11,12.41,1.84
2018-06-22,1226.63,11.32,1.68
2018-06-30,1137.78,10.5,1.56
2018-07-08,1062.23,9.8,1.45
2018-07-16,1056.1,9.74,1.44
2018-07-24,1113.3,10.27,1.52
2018-08-01,1081.63,9.98,1.48
2018-08-09,1067.44,9.85,1.46
2018-08-17,1040.88,9.6,1.42
2018-08-25,1051.09,9.13,1.44
2018-09-02,1062.33,9.22,1.45
2018-09-10,1037.81,9.01,1.42
2018-09-18,1039.86,9.03,1.42
