date,总市值,市盈率(TTM),市净率
2020-09-17,538.45,39.93,13.15
2020-09-19,467.01,34.63,11.41
2020-09-21,490.38,36.36,11.98
2020-09-23,507.14,37.61,12.39
2020-09-25,525.05,38.93,12.82
2020-09-27,525.05,38.93,12.82
2020-09-29,484.75,35.95,11.84
2020-10-01,488.33,36.21,11.93
2020-10-03,488.33,36.21,11.93
2020-10-05,488.33,36.21,11.93
2020-10-07,488.33,36.21,11.93
2020-10-09,521.13,38.64,12.73
2020-10-11,521.13,38.64,12.73
2020-10-13,582.2,43.17,14.22
2020-10-15,703.71,52.18,17.19
2020-10-17,703.75,52.18,17.19
2020-10-19,690.28,51.19,16.86
2020-10-21,652.53,48.39,15.94
2020-10-23,624.04,46.27,15.24
2020-10-25,624.04,46.27,15.24
2020-10-27,672.88,49.9,16.43
2020-10-29,694.67,21.1,7.11
2020-10-31,643.58,19.55,6.59
2020-11-02,656.03,19.93,6.71
2020-11-04,655.18,19.9,6.71
2020-11-06,616.37,18.72,6.31
2020-11-08,616.37,18.72,6.31
2020-11-10,623.49,18.94,6.38
2020-11-12,609.24,18.51,6.24
2020-11-14,613.17,18.63,6.28
2020-11-16,605.7,18.4,6.2
2020-11-18,563.14,17.11,5.76
2020-11-20,596.28,18.11,6.1
2020-11-22,596.28,18.11,6.1
2020-11-24,600.93,18.26,6.15
2020-11-26,596.45,18.12,6.1
2020-11-28,584.08,17.74,5.98
2020-11-30,639.74,19.43,6.55
2020-12-02,641.96,19.5,6.57
2020-12-04,641.66,19.49,6.57
2020-12-06,641.66,19.49,6.57
2020-12-08,648.14,19.69,6.63
2020-12-10,615.56,18.7,6.3
2020-12-12,619.14,18.81,6.34
2020-12-14,653.56,19.85,6.69
2020-12-16,669.68,20.34,6.85
2020-12-18,685.97,20.84,7.02
2020-12-20,685.97,20.84,7.02
2020-12-22,761.33,23.13,7.79
2020-12-24,725.89,22.05,7.43
2020-12-26,742.95,22.57,7.6
2020-12-28,747.64,22.71,7.65
2020-12-30,721.07,21.9,7.38
2021-01-01,707.98,21.51,7.25
2021-01-03,707.98,21.51,7.25
2021-01-05,735.49,22.34,7.53
2021-01-07,755.83,22.96,7.74
2021-01-09,755.53,22.95,7.73
2021-01-11,754.12,22.91,7.72
2021-01-13,771.61,23.44,7.9
2021-01-15,748.15,22.73,7.66
2021-01-17,748.15,22.73,7.66
2021-01-19,752.16,22.85,7.7
2021-01-21,803.64,24.41,8.23
2021-01-23,849.79,25.82,8.7
2021-01-25,858.96,26.09,8.79
2021-01-27,831.23,25.25,8.51
2021-01-29,811.87,24.66,8.31
2021-01-31,811.87,24.66,8.31
2021-02-02,844.07,25.64,8.64
2021-02-04,892.69,27.12,9.14
2021-02-06,821.25,24.95,8.41
2021-02-08,818.35,24.86,8.38
2021-02-10,874.61,26.57,8.95
2021-02-12,874.61,26.57,8.95
2021-02-14,874.61,26.57,8.95
2021-02-16,874.61,26.57,8.95
2021-02-18,832.17,25.28,8.52
2021-02-20,767.69,23.32,7.86
2021-02-22,748.15,22.73,7.66
2021-02-24,702.22,21.33,7.19
2021-02-26,704.69,21.41,7.21
2021-02-28,704.69,21.41,7.21
2021-03-02,670.23,20.36,6.86
2021-03-04,635.13,19.29,6.5
2021-03-06,642.3,19.51,6.57
2021-03-08,605.58,18.4,6.2
2021-03-10,601.06,18.26,6.15
2021-03-12,592.27,17.99,6.06
2021-03-14,592.27,17.99,6.06
2021-03-16,552.09,16.77,5.65
2021-03-18,575.76,17.49,5.89
2021-03-20,577.73,17.55,5.91
2021-03-22,578.03,17.56,5.92
2021-03-24,571.71,17.37,5.85
2021-03-26,590.44,17.94,6.04
2021-03-28,590.44,17.94,6.04
2021-03-30,582.33,17.69,5.96
2021-04-01,577.56,17.55,5.91
2021-04-03,599.22,18.2,6.13
2021-04-05,599.22,18.2,6.13
2021-04-07,587.24,17.84,6.01
2021-04-09,575.04,17.47,5.89
2021-04-11,575.04,17.47,5.89
2021-04-13,563.95,17.13,5.77
2021-04-15,593.04,18.02,6.07
2021-04-17,594.53,18.06,6.09
2021-04-19,617.6,18.76,6.32
2021-04-21,609.88,16.01,5.83
2021-04-23,613.47,16.1,5.87
2021-04-25,613.47,16.1,5.87
2021-04-27,606.9,15.28,5.55
2021-04-29,579.13,14.58,5.29
2021-05-01,582.38,14.66,5.32
2021-05-03,582.38,14.66,5.32
2021-05-05,582.38,14.66,5.32
2021-05-07,547.45,13.78,5.0
2021-05-09,547.45,13.78,5.0
2021-05-11,520.41,13.1,4.76
2021-05-13,515.67,12.98,4.71
