date,总市值,市盈率(TTM),市净率
2009-10-31,257.4,99.44,15.47
2009-11-09,213.15,82.34,12.81
2009-11-18,215.46,83.24,12.95
2009-11-27,228.38,88.22,13.72
2009-12-06,230.93,89.21,13.88
2009-12-15,224.92,86.89,13.51
2009-12-24,211.12,81.56,12.68
2010-01-02,207.87,80.3,12.49
2010-01-11,192.85,74.5,11.59
2010-01-20,190.01,73.4,11.42
2010-01-29,175.07,60.1,10.52
2010-02-07,179.66,61.67,10.79
2010-02-16,184.36,63.29,11.08
2010-02-25,193.05,66.27,11.6
2010-03-06,182.74,62.73,10.98
2010-03-15,190.86,65.52,11.47
2010-03-24,209.86,72.04,12.61
2010-04-02,225.05,77.25,13.52
2010-04-11,238.81,81.98,14.35
2010-04-20,205.72,70.4,11.76
2010-04-29,215.22,66.47,11.59
2010-05-08,238.73,73.73,12.85
2010-05-17,218.02,67.33,11.74
2010-05-26,225.98,69.79,12.17
2010-06-04,251.88,77.79,13.56
2010-06-13,274.78,84.86,14.79
2010-06-22,231.66,71.54,12.47
2010-07-01,209.33,64.65,11.27
2010-07-10,215.99,66.7,11.63
2010-07-19,205.27,63.39,11.05
2010-07-28,227.04,64.26,12.23
2010-08-06,230.36,65.2,12.41
2010-08-15,225.74,63.89,12.16
2010-08-24,219.08,62.0,11.81
2010-09-02,215.91,61.11,11.63
2010-09-11,220.13,62.3,11.86
2010-09-20,216.97,61.41,11.69
2010-09-29,203.73,57.66,10.98
2010-10-08,207.55,58.74,11.18
2010-10-17,206.9,58.56,11.15
2010-10-26,219.24,57.54,11.24
2010-11-04,218.43,57.32,11.2
2010-11-13,230.2,60.41,11.8
2010-11-22,253.51,66.53,12.99
2010-12-01,250.01,65.61,12.81
2010-12-10,251.88,66.1,12.91
2010-12-19,262.03,68.77,13.43
2010-12-28,217.21,57.0,11.13
2011-01-06,220.46,57.86,11.3
2011-01-15,209.9,55.09,10.76
2011-01-24,206.25,54.13,10.57
2011-02-02,209.5,54.98,10.74
2011-02-11,221.59,58.15,11.36
2011-02-20,222.16,54.22,11.39
2011-03-01,221.68,54.1,11.36
2011-03-10,232.15,56.66,11.9
2011-03-19,229.96,56.02,11.13
2011-03-28,208.68,50.84,10.1
2011-04-06,206.98,50.42,10.02
2011-04-15,200.56,48.86,9.71
2011-04-24,197.48,48.11,9.56
2011-05-03,185.46,41.79,8.4
2011-05-12,174.74,39.37,7.91
2011-05-21,172.31,38.83,7.8
2011-05-30,161.18,36.32,7.3
2011-06-08,162.24,36.56,7.35
2011-06-17,151.03,34.03,6.84
2011-06-26,157.45,35.48,7.13
2011-07-05,161.67,36.43,7.32
2011-07-14,165.08,37.2,7.48
2011-07-23,164.43,37.05,7.45
2011-08-01,166.05,37.42,7.52
2011-08-10,149.08,33.59,6.75
2011-08-19,149.81,32.24,7.03
2011-08-28,160.45,34.53,7.53
2011-09-06,148.03,31.86,6.95
2011-09-15,149.0,32.07,6.99
2011-09-24,141.61,30.48,6.65
2011-10-03,134.06,28.85,6.29
2011-10-12,130.98,28.19,6.15
2011-10-21,118.23,25.45,5.55
2011-10-30,127.4,27.17,5.71
2011-11-08,129.92,27.71,5.82
2011-11-17,143.07,30.52,6.41
2011-11-26,133.09,28.39,5.97
2011-12-05,122.61,26.15,5.5
2011-12-14,108.65,23.17,4.87
2011-12-23,107.18,22.86,4.81
2012-01-01,111.0,23.68,4.98
2012-01-10,115.95,24.73,5.2
2012-01-19,110.59,23.59,4.96
2012-01-28,111.81,23.85,5.01
2012-02-06,116.12,24.77,5.21
2012-02-15,120.09,25.61,5.38
2012-02-24,123.42,26.32,5.53
