date,总市值,市盈率(TTM),市净率
2009-10-17,135.61,61.3,12.79
2009-10-27,141.5,57.12,3.88
2009-11-06,151.45,61.13,4.15
2009-11-16,169.66,68.49,4.65
2009-11-26,170.28,68.74,4.67
2009-12-06,182.95,73.85,5.01
2009-12-16,173.36,69.98,4.75
2009-12-26,163.68,66.07,4.49
2010-01-05,182.86,73.82,5.01
2010-01-15,174.86,70.58,4.79
2010-01-25,163.24,65.89,4.47
2010-02-04,175.21,70.72,4.8
2010-02-14,164.21,53.67,4.5
2010-02-24,164.38,53.73,4.51
2010-03-06,163.06,53.3,4.47
2010-03-16,156.02,51.0,4.28
2010-03-26,161.92,52.92,4.44
2010-04-05,166.76,54.51,4.57
2010-04-15,164.38,53.73,4.51
2010-04-25,168.52,55.08,4.62
2010-05-05,178.02,49.17,4.66
2010-05-15,160.42,44.31,4.2
2010-05-25,154.62,42.71,4.05
2010-06-04,160.25,44.26,4.2
2010-06-14,171.42,47.35,4.49
2010-06-24,175.03,48.35,4.59
2010-07-04,167.46,46.26,4.39
2010-07-14,184.71,51.02,4.84
2010-07-24,187.97,51.92,4.93
2010-08-03,199.94,55.23,5.24
2010-08-13,211.55,58.43,5.54
2010-08-23,204.78,56.56,5.37
2010-09-02,218.15,58.22,5.55
2010-09-12,221.23,59.05,5.63
2010-09-22,210.76,56.25,5.36
2010-10-02,222.64,59.42,5.67
2010-10-12,216.22,57.71,5.5
2010-10-22,213.84,57.07,5.44
2010-11-01,217.8,50.52,5.36
2010-11-11,282.66,65.56,6.95
2010-11-21,288.73,66.97,7.1
2010-12-01,283.89,65.85,6.98
2010-12-11,310.99,72.13,7.65
2010-12-21,296.12,68.68,7.28
2010-12-31,272.54,63.21,6.7
2011-01-10,253.44,58.78,6.23
2011-01-20,221.85,51.46,5.45
2011-01-30,240.94,55.89,5.92
2011-02-09,236.19,54.78,5.81
2011-02-19,241.82,59.97,5.95
2011-03-01,268.22,66.52,6.6
2011-03-11,256.78,63.68,6.31
2011-03-21,252.56,62.63,6.21
2011-03-31,230.3,57.11,5.66
2011-04-10,237.69,58.94,5.84
2011-04-20,251.68,62.41,6.19
2011-04-30,240.68,57.74,5.7
2011-05-10,231.62,55.56,5.49
2011-05-20,232.5,55.77,5.51
2011-05-30,206.36,49.5,4.89
2011-06-09,203.1,48.72,4.81
2011-06-19,192.98,46.29,4.57
2011-06-29,202.93,48.68,4.81
2011-07-09,214.28,51.4,5.08
2011-07-19,228.54,54.82,5.41
2011-07-29,233.9,56.11,5.54
2011-08-08,237.86,57.06,5.64
2011-08-18,249.39,59.83,5.91
2011-08-28,244.55,47.78,5.62
2011-09-07,249.39,48.73,5.73
2011-09-17,237.51,46.4,5.46
2011-09-27,229.94,44.93,5.29
2011-10-07,216.57,42.31,4.98
2011-10-17,226.86,44.32,5.22
2011-10-27,238.13,46.52,5.48
2011-11-06,245.87,40.82,5.38
2011-11-16,236.9,39.33,5.18
2011-11-26,245.96,40.84,5.38
2011-12-06,243.23,40.38,5.32
2011-12-16,244.99,40.67,5.36
2011-12-26,232.06,38.53,5.08
2012-01-05,212.7,35.31,4.65
2012-01-15,219.38,36.42,4.8
2012-01-25,220.09,36.54,4.81
2012-02-04,219.03,36.36,4.79
2012-02-14,229.06,38.03,5.01
2012-02-24,234.78,38.98,5.14
2012-03-05,236.81,35.21,5.18
2012-03-15,236.72,35.19,5.18
2012-03-25,234.08,34.8,5.12
2012-04-04,224.75,33.42,4.92
2012-04-14,250.45,37.24,5.48
2012-04-24,246.58,36.66,5.39
2012-05-04,244.73,27.1,4.88
2012-05-14,241.12,26.7,4.8
2012-05-24,242.35,26.84,4.83
2012-06-03,240.33,26.61,4.79
2012-06-13,249.48,27.63,4.97
2012-06-23,245.43,27.18,4.89
2012-07-03,261.27,28.93,5.21
2012-07-13,266.38,29.5,5.31
2012-07-23,268.22,29.7,5.34
