trade_date,wind_code,open,high,low,close,volume,amt
2015-12-01,601118.SH,7.18,7.64,7.12,7.59,45894600.0,338931621.0
2015-12-01,601139.SH,5.3,5.44,5.2,5.37,9024800.0,48147308.0
2015-12-02,601139.SH,5.34,5.46,5.26,5.44,8905800.0,48002262.00000001
2015-12-02,601118.SH,7.84,7.85,7.34,7.65,79968200.0,619353709.0
2015-12-03,601118.SH,7.53,7.76,7.41,7.72,64410500.0,491130062.5
2015-12-03,601139.SH,5.44,5.5,5.39,5.5,7471800.0,40870746.00000001
2015-12-04,601139.SH,5.47,5.47,5.35,5.37,9887600.0,53590792.0
2015-12-04,601118.SH,7.67,8.18,7.49,8.05,113713500.0,893788110.0
2015-12-07,601118.SH,8.05,8.2,7.93,8.05,82058600.0,660571730.0
2015-12-07,601139.SH,5.37,5.47,5.37,5.46,8495800.0,46004757.0
2015-12-08,601139.SH,5.41,5.42,5.26,5.28,7509800.0,40139881.00000001
2015-12-08,601118.SH,7.93,7.98,7.59,7.61,60307000.0,468585390.0
2015-12-09,601118.SH,7.52,7.67,7.46,7.59,34037700.0,257154823.5
2015-12-09,601139.SH,5.3,5.32,5.23,5.28,4997900.0,26438891.0
2015-12-10,601139.SH,5.29,5.31,5.22,5.22,5195300.0,27301301.5
2015-12-10,601118.SH,7.51,7.69,7.47,7.49,32650600.0,244879500.0
2015-12-11,601139.SH,5.2,5.24,5.12,5.19,4809500.0,24985352.5
2015-12-11,601118.SH,7.44,7.51,7.25,7.37,28876900.0,213833444.5
2015-12-14,601118.SH,7.25,7.55,7.23,7.54,47520100.0,351411139.5
2015-12-14,601139.SH,5.13,5.31,5.11,5.31,7398900.0,38622258.0
2015-12-15,601139.SH,5.29,5.33,5.27,5.28,8084400.0,42726054.0
2015-12-15,601118.SH,7.56,7.71,7.5,7.58,36945400.0,279676678.0
2015-12-16,601139.SH,5.26,5.34,5.25,5.29,8532100.0,45006827.5
2015-12-16,601118.SH,7.6,7.66,7.42,7.45,40712200.0,306359305.0
2015-12-17,601139.SH,5.34,5.42,5.31,5.4,11767100.0,63189327.0
2015-12-17,601118.SH,7.5,7.64,7.49,7.61,44355100.0,335102780.5
2015-12-18,601139.SH,5.38,5.4,5.32,5.35,9169200.0,49192758.0
2015-12-18,601118.SH,7.58,7.73,7.5,7.71,62619300.0,478724548.5
2015-12-21,601118.SH,7.64,7.9,7.62,7.87,77493700.0,600963643.5
2015-12-21,601139.SH,5.34,5.46,5.32,5.43,11027500.0,59383087.5
2015-12-22,601118.SH,7.86,8.2,7.72,8.04,95699200.0,760808639.9999999
2015-12-22,601139.SH,5.45,5.48,5.35,5.46,9767800.0,53283349.0
2015-12-23,601139.SH,5.44,5.55,5.43,5.53,13883100.0,76148803.5
2015-12-23,601118.SH,8.0,8.03,7.76,7.8,58062300.0,458692170.0
2015-12-24,601139.SH,5.53,5.54,5.38,5.47,10967100.0,60319050.0
2015-12-24,601118.SH,7.83,8.11,7.78,8.01,87375900.0,692017128.0
2015-12-25,601118.SH,7.99,8.0,7.8,7.93,47812800.0,380589888.0
2015-12-25,601139.SH,5.47,5.52,5.44,5.51,7082500.0,38882925.0
2015-12-28,601139.SH,5.49,5.57,5.38,5.4,12574100.0,68465974.5
2015-12-28,601118.SH,7.93,7.97,7.58,7.59,58250600.0,452024656.0
2015-12-29,601139.SH,5.4,5.43,5.34,5.4,6234400.0,33665760.0
2015-12-29,601118.SH,7.56,7.67,7.43,7.65,34086000.0,259224030.0
2015-12-30,601118.SH,7.71,7.71,7.53,7.61,36402400.0,278842384.0
2015-12-30,601139.SH,5.41,5.56,5.37,5.55,13028000.0,71393440.0
2015-12-31,601118.SH,7.6,7.66,7.46,7.47,27949900.0,210602496.5
2015-12-31,601139.SH,5.52,5.54,5.44,5.47,9309000.0,51152954.99999999
2016-01-04,601118.SH,7.42,7.49,6.72,6.72,40971200.0,289666384.0
2016-01-04,601139.SH,5.46,5.46,4.92,4.93,7967200.0,41389604.0
2016-01-05,601139.SH,4.8,5.08,4.69,4.95,11605400.0,56576325.0
2016-01-05,601118.SH,6.45,6.73,6.22,6.61,47800500.0,312137265.0
2016-01-06,601139.SH,4.97,5.29,4.96,5.27,12013400.0,61508607.99999999
2016-01-06,601118.SH,6.62,6.8,6.61,6.79,30998000.0,207841590.0
2016-01-07,601118.SH,6.66,6.66,6.1,6.11,10613600.0,67767836.0
2016-01-07,601139.SH,5.17,5.17,4.78,4.81,2131400.0,10635686.0
2016-01-08,601139.SH,5.02,5.22,4.87,5.09,11860400.0,59954322.0
2016-01-08,601118.SH,6.31,6.52,5.95,6.42,47947500.0,305185837.5
2016-01-11,601118.SH,6.31,6.6,6.03,6.1,45373400.0,281541947.0
2016-01-11,601139.SH,5.07,5.27,4.87,4.87,10532200.0,52345034.00000001
2016-01-12,601139.SH,4.96,4.99,4.82,4.92,6357500.0,31406049.999999996
2016-01-12,601118.SH,6.13,6.24,6.01,6.14,27817000.0,170657295.0
2016-01-13,601139.SH,4.92,5.09,4.92,4.94,7017400.0,34595782.0
2016-01-13,601118.SH,6.21,6.28,5.96,5.99,26542300.0,161908030.0
2016-01-14,601139.SH,4.81,5.07,4.75,5.05,6687900.0,32971346.999999996
2016-01-14,601118.SH,5.85,6.12,5.76,6.1,30861300.0,184396267.5
2016-01-15,601118.SH,6.05,6.09,5.69,5.78,32575000.0,192681125.0
2016-01-15,601139.SH,5.08,5.08,4.81,4.83,6151900.0,30482664.5
2016-01-18,601139.SH,4.74,4.96,4.72,4.92,4727000.0,22831410.0
2016-01-18,601118.SH,5.68,5.88,5.59,5.78,24069900.0,137920527.0
2016-01-19,601118.SH,5.78,5.97,5.73,5.95,27567700.0,161684560.5
2016-01-19,601139.SH,4.92,5.02,4.81,5.02,5378900.0,26733133.0
2016-01-20,601118.SH,5.9,6.01,5.8,5.91,27017000.0,159535385.0
2016-01-20,601139.SH,4.98,5.05,4.89,4.91,4629900.0,22894855.5
2016-01-21,601139.SH,4.81,4.95,4.75,4.77,4579300.0,21934846.999999996
2016-01-21,601118.SH,5.82,5.94,5.63,5.65,24044600.0,137895781.0
2016-01-22,601118.SH,5.73,5.78,5.56,5.73,22717500.0,130171275.00000001
2016-01-22,601139.SH,4.83,4.91,4.7,4.86,4869600.0,23593212.000000004
2016-01-25,601118.SH,5.78,5.81,5.71,5.81,25515900.0,147864640.5
2016-01-25,601139.SH,4.92,4.99,4.86,4.89,3789700.0,18588478.499999996
2016-01-26,601139.SH,4.81,4.88,4.4,4.45,8163800.0,37798394.0
2016-01-26,601118.SH,5.73,5.77,5.23,5.23,39672600.0,217405848.00000003
2016-01-27,601139.SH,4.51,4.56,4.25,4.33,6777900.0,29958318.0
2016-01-27,601118.SH,5.27,5.28,4.95,5.12,34110800.0,177205606.0
2016-01-28,601139.SH,4.29,4.43,4.27,4.3,5354200.0,22996289.0
2016-01-28,601118.SH,5.14,5.24,4.82,4.85,33121600.0,165442391.99999997
2016-01-29,601118.SH,4.87,5.07,4.81,5.0,26856000.0,132534360.00000001
2016-01-29,601139.SH,4.34,4.48,4.3,4.42,4042300.0,17705274.0
2016-02-01,601139.SH,4.45,4.53,4.37,4.46,5557000.0,24756435.0
2016-02-01,601118.SH,4.97,5.07,4.75,4.87,27754600.0,136552632.0
2016-02-02,601139.SH,4.45,4.56,4.45,4.53,4808900.0,21591961.0
2016-02-02,601118.SH,4.9,5.03,4.88,5.0,23324000.0,115453800.0
2016-02-03,601118.SH,4.94,5.01,4.86,5.0,20553600.0,102151392.00000001
2016-02-03,601139.SH,4.52,4.57,4.45,4.56,3210600.0,14576123.999999998
2016-02-04,601118.SH,5.01,5.2,5.01,5.13,37697500.0,191126325.0
2016-02-04,601139.SH,4.56,4.67,4.54,4.6,3539500.0,16210910.0
