as_of,code,name,market_cap_hkd,index_code,inclusion_date,execution_id,data_available,history_ok,average_daily_amount_hkd,liquidity_ok,trading_at_review,eligible,selected,effective_from,factors_complete,trading_at_signal,ready_for_scoring
2026-06-30,00728.HK,中国电信,390735000000.0,HSCI.HK,2003-03-03,f8cadab6-cf4a-4510-9509-52dc241647e6,True,True,398653607.4,True,True,True,True,2026-07-01,True,True,True
2026-06-30,01347.HK,华虹宏力,373948000000.0,HSCI.HK,2015-03-09,f8cadab6-cf4a-4510-9509-52dc241647e6,True,True,4883768608.0,True,True,True,True,2026-07-01,True,True,True
2026-06-30,00998.HK,中信银行,370040000000.0,HSCI.HK,2007-09-10,f8cadab6-cf4a-4510-9509-52dc241647e6,True,True,251702094.26666668,True,True,True,True,2026-07-01,True,True,True
2026-06-30,00016.HK,新鸿基地产,325421000000.0,HSCI.HK,2001-10-03,f8cadab6-cf4a-4510-9509-52dc241647e6,True,True,761337980.8,True,True,True,True,2026-07-01,True,True,True
2026-06-30,03993.HK,洛阳钼业,324766000000.0,HSCI.HK,2007-09-10,f8cadab6-cf4a-4510-9509-52dc241647e6,True,True,941517076.8,True,True,True,True,2026-07-01,True,True,True
2026-06-30,02328.HK,中国财险,318516000000.0,HSCI.HK,2004-03-08,f8cadab6-cf4a-4510-9509-52dc241647e6,True,True,627264405.6,True,True,True,True,2026-07-01,True,True,True
2026-06-30,01888.HK,建滔积层板,312466000000.0,HSCI.HK,2007-03-12,f8cadab6-cf4a-4510-9509-52dc241647e6,True,True,3332566269.3333335,True,True,True,True,2026-07-01,True,True,True
2026-06-30,00267.HK,中信股份,308648000000.0,HSCI.HK,2001-10-03,f8cadab6-cf4a-4510-9509-52dc241647e6,True,True,308450716.0,True,True,True,True,2026-07-01,True,True,True
2026-06-30,09888.HK,百度集团-W,306149000000.0,HSCI.HK,2021-04-09,f8cadab6-cf4a-4510-9509-52dc241647e6,True,True,1584565676.8,True,True,True,True,2026-07-01,True,True,True
2026-06-30,02338.HK,潍柴动力,295379000000.0,HSCI.HK,2010-03-08,f8cadab6-cf4a-4510-9509-52dc241647e6,True,True,802778096.8,True,True,True,True,2026-07-01,True,True,True
2026-06-30,00992.HK,联想集团,285555000000.0,HSCI.HK,2001-10-03,f8cadab6-cf4a-4510-9509-52dc241647e6,True,True,3076525168.5333333,True,True,True,True,2026-07-01,True,True,True
2026-06-30,09618.HK,京东集团-SW,277629000000.0,HSCI.HK,2020-07-06,f8cadab6-cf4a-4510-9509-52dc241647e6,True,True,1310820976.0,True,True,True,True,2026-07-01,True,True,True
2026-06-30,06160.HK,百济神州,262658000000.0,HSCI.HK,2020-09-07,f8cadab6-cf4a-4510-9509-52dc241647e6,True,True,841224688.0,True,True,True,True,2026-07-01,True,True,True
2026-06-30,02611.HK,国泰海通,261790000000.0,HSCI.HK,2017-09-04,f8cadab6-cf4a-4510-9509-52dc241647e6,True,True,172404402.33333334,True,True,True,True,2026-07-01,True,True,True
2026-06-30,02601.HK,中国太保,258595000000.0,HSCI.HK,2010-03-08,f8cadab6-cf4a-4510-9509-52dc241647e6,True,True,424528885.06666666,True,True,True,True,2026-07-01,True,True,True
2026-06-30,02378.HK,保诚,257670000000.0,HSCI.HK,2022-09-05,f8cadab6-cf4a-4510-9509-52dc241647e6,True,True,15415812.370833334,True,True,True,True,2026-07-01,True,True,True
2026-06-30,00001.HK,长和,253740000000.0,HSCI.HK,2001-10-03,f8cadab6-cf4a-4510-9509-52dc241647e6,True,True,545297226.1333333,True,True,True,True,2026-07-01,True,True,True
2026-06-30,00669.HK,创科实业,236786000000.0,HSCI.HK,2001-10-03,f8cadab6-cf4a-4510-9509-52dc241647e6,True,True,671662466.6666666,True,True,True,True,2026-07-01,True,True,True
2026-06-30,09961.HK,携程集团-S,223079000000.0,HSCI.HK,2021-09-06,f8cadab6-cf4a-4510-9509-52dc241647e6,True,True,919898291.2,True,True,True,True,2026-07-01,True,True,True
2026-06-30,01109.HK,华润置地,213928000000.00003,HSCI.HK,2001-10-03,f8cadab6-cf4a-4510-9509-52dc241647e6,True,True,918173905.3333334,True,True,True,True,2026-07-01,True,True,True
2026-06-30,06869.HK,长飞光纤光缆,211447000000.0,HSCI.HK,2026-03-09,f8cadab6-cf4a-4510-9509-52dc241647e6,True,True,4893896919.466666,True,True,True,True,2026-07-01,True,True,True
2026-06-30,01339.HK,中国人民保险集团,207411000000.0,HSCI.HK,2013-03-04,f8cadab6-cf4a-4510-9509-52dc241647e6,True,True,287445270.53333336,True,True,True,True,2026-07-01,True,True,True
2026-06-30,09992.HK,泡泡玛特,206018000000.0,HSCI.HK,2021-03-15,f8cadab6-cf4a-4510-9509-52dc241647e6,True,True,3413548345.6,True,True,True,True,2026-07-01,True,True,True
