windcode,name,market_cap_hkd
02637.HK,海西新药,14166999999.999998
02635.HK,诺比侃,4268000000.0
02629.HK,MIRXES-B,3701000000.0
02628.HK,中国人寿,753537000000.0
02627.HK,中慧生物-B,11536000000.0
02618.HK,京东物流,78455000000.0
02617.HK,药捷安康-B,4711000000.0
02611.HK,国泰海通,261790000000.0
02610.HK,南山铝业国际,15497999999.999998
02609.HK,佰泽医疗,5261000000.0
02607.HK,上海医药,42275000000.0
02602.HK,万物云,17614000000.0
02601.HK,中国太保,258595000000.0
02600.HK,中国铝业,127976000000.0
02595.HK,劲方医药-B,10904000000.0
02591.HK,银诺医药-B,3239000000.0
02590.HK,极智嘉-W,15860000000.0
02589.HK,沪上阿姨,11309000000.0
02588.HK,中银航空租赁,56388000000.0
02587.HK,健康之路,1957000000.0
02586.HK,多点数智,5709000000.0
02583.HK,西普尼,2956000000.0
02582.HK,国富氢能,1563000000.0
02580.HK,奥克斯电气,15835000000.0
02577.HK,英诺赛科,59207000000.00001
02575.HK,轩竹生物-B,6904000000.000001
02570.HK,重塑能源,2019000000.0
02565.HK,派格生物医药-B,2085000000.0
02562.HK,狮腾控股,630000000.0
02556.HK,迈富时,8198000000.0
02555.HK,茶百道,6679000000.000001
02533.HK,黑芝麻智能,7656999999.999999
02525.HK,禾赛-W,20366000000.0
02517.HK,锅圈,5165000000.0
02513.HK,智谱,938054000000.0
02510.HK,德翔海运,12737000000.0
02507.HK,西锐,12334000000.0
02506.HK,讯飞医疗科技,10414000000.0
02498.HK,速腾聚创,10765000000.0
02477.HK,经纬天地,1560000000.0
02473.HK,喜相逢集团,1132000000.0
02460.HK,华润饮料,17555000000.0
02432.HK,越疆,11500000000.0
02431.HK,佑驾创新,3863000000.000001
02423.HK,贝壳-W,130049000000.0
02419.HK,德康农牧,15975000000.0
02410.HK,同源康医药-B,2178000000.0
02400.HK,心动公司,21774000000.0
02388.HK,中银香港,448074000000.0
02386.HK,中石化炼化工程,21663000000.0
02382.HK,舜宇光学科技,66783000000.00001
02380.HK,中国电力,33894000000.0
02378.HK,保诚,257670000000.0
02367.HK,巨子生物,28135000000.000004
02359.HK,药明康德,458603000000.0
02357.HK,中航科工,23042000000.0
02356.HK,大新银行集团,16265000000.0
02343.HK,太平洋航运,13946000000.0
02338.HK,潍柴动力,295379000000.0
02333.HK,长城汽车,75356000000.0
02331.HK,李宁,38048000000.0
02328.HK,中国财险,318516000000.0
02319.HK,蒙牛乳业,62373000000.0
02318.HK,中国平安,924395000000.0
02314.HK,理文造纸,12327000000.0
02313.HK,申洲国际,59166999999.99999
02291.HK,心泰医疗,3536999999.9999995
02285.HK,泉峰控股,8483000000.0
02282.HK,美高梅中国,38532000000.0
02276.HK,康耐特光学,15656000000.0
02273.HK,固生堂,6042000000.0
02269.HK,药明生物,143360000000.0
02268.HK,药明合联,71958000000.0
02259.HK,紫金黄金国际,236856000000.0
02255.HK,海昌海洋公园,4361000000.0
02252.HK,微创机器人-B,23659000000.0
02238.HK,广汽集团,21210000000.0
02233.HK,西部水泥,7538000000.0
02232.HK,晶苑国际,16147000000.0
02228.HK,晶泰控股,32921000000.0
02202.HK,万科企业,25293000000.0
02196.HK,复星医药,40350000000.0
02192.HK,医脉通,5040000000.0
02186.HK,绿叶制药,7190000000.000001
02172.HK,微创脑科学,6552000000.0
02171.HK,科济药业-B,8592000000.0
02162.HK,康诺亚-B,21136000000.0
02158.HK,医渡科技,4978000000.0
02157.HK,乐普生物,7019000000.0
02155.HK,森松国际,9751000000.0
02145.HK,上美股份,10853000000.0
02128.HK,中国联塑,11045000000.0
02099.HK,中国黄金国际,48561000000.0
02097.HK,蜜雪集团,86781000000.0
02096.HK,先声药业,25297000000.0
02057.HK,中通快递-W,132115000000.00002
02050.HK,三花智控,111259999999.99998
02039.HK,中集集团,40066000000.0
02038.HK,富智康集团,14783000000.000002
02026.HK,小马智行-W,23671000000.0
02020.HK,安踏体育,198702000000.0
02018.HK,瑞声科技,51176000000.0
02016.HK,浙商银行,58225000000.0
02015.HK,理想汽车-W,99695000000.0
02013.HK,微盟集团,4669000000.0
02007.HK,碧桂园,7737000000.0
02005.HK,石四药集团,6256000000.0
01999.HK,敏华控股,11493000000.0
01997.HK,九龙仓置业,64915000000.0
01988.HK,民生银行,137477000000.0
01972.HK,太古地产,118258999999.99998
01963.HK,重庆银行,26504000000.000004
01952.HK,云顶新耀,8669000000.0
01951.HK,锦欣生殖,5329000000.0
01929.HK,周大福,107533000000.0
01928.HK,金沙中国有限公司,105619000000.0
01921.HK,达力普控股,4981000000.0
01919.HK,中远海控,199222000000.0
01918.HK,融创中国,12379000000.0
01913.HK,普拉达,101636000000.0
01910.HK,新秀丽,20024000000.0
01908.HK,建发国际集团,30242000000.0
01907.HK,中国旭阳集团,8552000000.0
01898.HK,中煤能源,130598000000.0
01896.HK,猫眼娱乐,5183000000.0
01888.HK,建滔积层板,312466000000.0
01883.HK,中信国际电讯,9141000000.0
01882.HK,海天国际,29925000000.0
01880.HK,中国中免,98820000000.0
01876.HK,百威亚太,80785000000.0
01860.HK,汇量科技,17065000000.0
01836.HK,九兴控股,10448000000.0
01833.HK,平安好医生,15087000000.0
01828.HK,富卫集团,36341000000.0
01818.HK,招金矿业,58060000000.0
01816.HK,中广核电力,135336999999.99998
01811.HK,中广核新能源,9223000000.0
01810.HK,小米集团-W,557995000000.0
01801.HK,信达生物,138364000000.0
01800.HK,中国交通建设,59504999999.99999
01797.HK,东方甄选,23938000000.0
01789.HK,爱康医疗,5769000000.0
01788.HK,国泰君安国际,18679000000.0
01787.HK,山东黄金,76986000000.0
01783.HK,晋景新能,17538000000.0
