date,code,fwd_ret,amt_log_20,pred,is_holdout,base_score,score,target_weight,rank
2020-01-23,688266.SH,-0.08597964,,1.3348726319249424,False,1.3348726319249424,1.3348726319249424,0.03333333333333333,1
2020-01-23,603986.SH,0.38331497,1.1836786832373378,0.41264351005931355,False,0.41264351005931355,0.41264351005931355,0.03333333333333333,2
2020-01-23,300223.SZ,0.27408147,1.3210073788078254,0.3846135564060907,False,0.3846135564060907,0.3846135564060907,0.03333333333333333,3
2020-01-23,300548.SZ,0.7140008,-0.9356526413407544,0.37919990609663284,False,0.37919990609663284,0.37919990609663284,0.03333333333333333,4
2020-01-23,603699.SH,0.13354707,-1.451660502659396,0.3713938518809686,False,0.3713938518809686,0.3713938518809686,0.03333333333333333,5
2020-01-23,300442.SZ,0.116687536,-2.410096177827232,0.3658824954526234,False,0.3658824954526234,0.3658824954526234,0.03333333333333333,6
2020-01-23,688018.SH,0.32496905,0.18008103945974815,0.36183734897422193,False,0.36183734897422193,0.36183734897422193,0.03333333333333333,7
2020-01-23,300413.SZ,0.064686656,0.6678776000604238,0.36161779433119645,False,0.36161779433119645,0.36161779433119645,0.03333333333333333,8
2020-01-23,000708.SZ,0.50288343,-1.4324665200483555,0.3524758599557108,False,0.3524758599557108,0.3524758599557108,0.03333333333333333,9
2020-01-23,300502.SZ,0.5764705,-0.9442173236644293,0.32725329156917976,False,0.32725329156917976,0.32725329156917976,0.03333333333333333,10
2020-01-23,688099.SH,0.04880798,0.2854034929710018,0.31804680550315545,False,0.31804680550315545,0.31804680550315545,0.03333333333333333,11
2020-01-23,300620.SZ,0.121465325,-1.332492320249041,0.3059324958765719,False,0.3059324958765719,0.3059324958765719,0.03333333333333333,12
2020-01-23,688036.SH,-0.022819877,-0.139350453375707,0.2977677454886265,False,0.2977677454886265,0.2977677454886265,0.03333333333333333,13
2020-01-23,603806.SH,0.05108702,-1.05852828585929,0.27651042363407846,False,0.27651042363407846,0.27651042363407846,0.03333333333333333,14
2020-01-23,000858.SZ,0.0802927,2.238735938100224,0.2696871236683957,False,0.2696871236683957,0.2696871236683957,0.03333333333333333,15
2020-01-23,000786.SZ,0.19009507,-0.05085372196505362,0.26202086377293893,False,0.26202086377293893,0.26202086377293893,0.03333333333333333,16
2020-01-23,603816.SH,0.018702745,-0.7244951865529655,0.2616973839551042,False,0.2616973839551042,0.2616973839551042,0.03333333333333333,17
2020-01-23,603606.SH,0.06753564,-0.5249102725038692,0.26139053144422036,False,0.26139053144422036,0.26139053144422036,0.03333333333333333,18
2020-01-23,603179.SH,0.21400261,-1.3755255345251753,0.25760219856493755,False,0.25760219856493755,0.25760219856493755,0.03333333333333333,19
2020-01-23,603899.SH,-0.006619096,-0.4450805932585235,0.25634311972444745,False,0.25634311972444745,0.25634311972444745,0.03333333333333333,20
2020-01-23,600595.SH,-0.035897434,-2.333899129604204,0.24640065245609666,False,0.24640065245609666,0.24640065245609666,0.03333333333333333,21
2020-01-23,601818.SH,0.035856485,0.22741990411787025,0.24017317079774778,False,0.24017317079774778,0.24017317079774778,0.03333333333333333,22
2020-01-23,002461.SZ,0.028070211,-1.4189481224293965,0.23986068654643708,False,0.23986068654643708,0.23986068654643708,0.03333333333333333,23
2020-01-23,002831.SZ,-0.07885301,-0.7321715610137464,0.23675542011407802,False,0.23675542011407802,0.23675542011407802,0.03333333333333333,24
2020-01-23,601567.SH,0.18592966,-1.2121811744568023,0.23378828478191327,False,0.23378828478191327,0.23378828478191327,0.03333333333333333,25
