date,总市值,市盈率(TTM),市净率
2006-03-09,192.98,40.82,7.78
2006-03-21,209.58,44.34,8.45
2006-04-02,219.95,31.03,8.0
2006-04-14,242.78,34.25,8.83
2006-04-26,271.83,38.35,9.88
2006-05-08,292.58,41.28,10.64
2006-05-20,269.75,38.06,9.81
2006-06-01,261.45,36.89,9.51
2006-06-13,226.18,31.91,8.22
2006-06-25,242.78,34.25,8.83
2006-07-07,269.75,38.06,9.81
2006-07-19,263.52,37.18,9.58
2006-07-31,253.15,35.72,9.2
2006-08-12,262.28,37.0,9.54
2006-08-24,290.92,41.04,10.58
2006-09-05,290.92,41.04,10.58
2006-09-17,322.04,45.43,11.71
2006-09-29,365.62,27.38,13.29
2006-10-11,384.71,28.81,5.25
2006-10-23,402.14,30.11,5.49
2006-11-04,472.27,35.36,6.45
2006-11-16,468.12,35.05,6.39
2006-11-28,541.99,40.58,7.4
2006-12-10,536.18,40.15,7.32
2006-12-22,550.29,41.21,7.51
2007-01-03,545.31,40.83,7.44
2007-01-15,546.14,40.89,7.45
2007-01-27,550.29,41.21,7.51
2007-02-08,683.92,51.21,9.34
2007-02-20,693.05,39.5,9.46
2007-03-04,642.42,36.62,7.67
2007-03-16,615.86,35.1,7.36
2007-03-28,668.15,38.08,7.98
2007-04-09,688.07,39.22,8.22
2007-04-21,683.09,38.94,8.16
2007-05-03,701.93,40.01,8.38
2007-05-15,700.21,39.91,8.36
2007-05-27,715.66,40.79,8.55
2007-06-08,704.51,40.16,8.42
2007-06-20,766.29,43.68,9.15
2007-07-02,781.73,44.56,9.34
2007-07-14,875.27,49.89,10.46
2007-07-26,1055.47,60.16,12.61
2007-08-07,864.54,49.28,10.33
2007-08-19,768.01,43.78,9.17
2007-08-31,999.69,56.98,11.94
2007-09-12,1079.07,61.51,12.89
2007-09-24,1025.44,49.87,12.25
2007-10-06,980.41,47.68,8.3
2007-10-18,984.7,47.89,8.33
2007-10-30,907.47,44.14,7.68
2007-11-11,973.98,47.37,8.24
2007-11-23,793.77,38.61,6.72
2007-12-05,832.39,40.48,7.04
2007-12-17,812.65,39.52,6.88
2007-12-29,841.83,40.94,7.12
2008-01-10,748.29,36.39,6.33
2008-01-22,526.89,25.63,4.46
2008-02-03,554.48,26.97,4.69
2008-02-15,597.8,29.08,5.06
2008-02-27,616.86,30.0,5.22
2008-03-10,512.03,24.9,4.33
2008-03-22,284.17,12.6,2.41
2008-04-03,306.26,13.58,2.34
2008-04-15,346.55,15.37,2.65
2008-04-27,355.21,15.75,2.72
2008-05-09,389.78,17.29,2.98
2008-05-21,379.82,16.84,2.9
2008-06-02,350.8,15.56,2.68
2008-06-14,297.53,13.19,2.27
2008-06-26,264.62,11.74,2.02
2008-07-08,264.18,11.72,2.02
2008-07-20,242.53,10.76,1.85
2008-08-01,262.45,11.64,2.01
2008-08-13,181.9,8.07,1.39
2008-08-25,186.66,8.28,1.43
2008-09-06,184.06,8.16,1.41
2008-09-18,142.49,6.32,1.09
2008-09-30,123.43,5.47,0.94
2008-10-12,76.66,3.59,0.59
2008-10-24,35.08,1.64,0.23
2008-11-05,69.3,3.25,0.46
2008-11-17,74.07,3.47,0.49
2008-11-29,61.94,2.9,0.41
2008-12-11,100.49,4.71,0.67
2008-12-23,97.02,4.54,0.64
2009-01-04,100.92,4.73,0.67
2009-01-16,80.56,3.77,0.53
2009-01-28,82.3,3.86,0.55
2009-02-09,114.78,5.38,0.76
2009-02-21,103.09,7.95,0.68
2009-03-05,93.12,7.18,0.62
2009-03-17,108.3,8.35,0.71
2009-03-29,132.99,10.25,0.88
2009-04-10,148.58,11.45,0.98
2009-04-22,158.11,12.19,1.04
2009-05-04,175.87,13.56,1.16
2009-05-16,233.06,17.96,1.53
2009-05-28,245.19,18.9,1.61
2009-06-09,245.26,18.9,1.61
2009-06-21,217.16,16.74,1.43
2009-07-03,215.48,16.61,1.42
2009-07-15,246.26,18.98,1.62
2009-07-27,332.54,25.63,2.19
2009-08-08,364.64,28.11,2.4
2009-08-20,355.59,27.41,2.34
2009-09-01,396.78,30.58,2.61
2009-09-13,467.47,36.03,3.08
2009-09-25,429.35,22.79,2.83
2009-10-07,429.35,22.79,2.58
2009-10-19,465.86,24.72,2.79
2009-10-31,493.67,26.2,2.96
2009-11-12,592.04,31.42,3.55
2009-11-24,635.38,33.72,3.81
2009-12-06,624.49,33.14,3.75
2009-12-18,539.63,28.64,3.24
2009-12-30,566.38,30.06,3.4
2010-01-11,610.66,32.41,3.66
2010-01-23,565.46,30.01,3.39
2010-02-04,520.26,27.61,3.12
2010-02-16,512.88,27.22,3.08
