trade_date,wind_code,close,raw_close,volume,amt,mktcap_hkd_yi
2015-12-01,00175.HK,3.3692,4.09,33392481.0,136146413.23,359.998795486
2015-12-01,00177.HK,5.5513,10.2,4259300.0,43416905.84,124.644
2015-12-01,00179.HK,19.8806,27.45,769001.0,21270585.469,241.68204407250002
2015-12-01,00189.HK,1.3869,2.06,961000.0,1970860.0,43.535863973
2015-12-01,00200.HK,7.7754,10.72,1859000.0,19812492.027,165.80233309599998
2015-12-01,00215.HK,0.9941,2.68,3022549.0,8123316.81,129.1464183744
2015-12-01,00220.HK,3.9583,6.4,1256000.0,8023690.0,276.437376
2015-12-01,00241.HK,5.7309,6.11,4575083.0,27594583.92,499.34858744290005
2015-12-01,00256.HK,1.1704,1.27,2080000.0,2590368.0,55.9990651162
2015-12-01,00257.HK,6.7889,11.92,5430121.0,64253705.82,534.4584346400001
2015-12-01,00267.HK,7.9418,14.0,24271887.0,337974318.694,4072.6367681999996
2015-12-01,00268.HK,3.7537,3.77,9492000.0,35958340.0,109.8516159936
2015-12-01,00270.HK,6.0372,10.7,7090191.0,75489504.54,669.290172487
2015-12-01,00272.HK,1.0781,2.2,15600639.0,34018040.68,176.585864158
2015-12-01,00285.HK,4.0369,4.59,8995000.0,41070724.0,103.42208654999999
2015-12-01,00288.HK,2.3161,4.07,20809189.0,84304989.524,596.1907392177
2015-12-01,00290.HK,0.6103,0.12,10392000.0,1232292.0,4.1020628016
2015-12-01,00291.HK,11.59,15.1,5439264.0,81633420.0,367.403034529
2015-12-01,00293.HK,8.7632,13.38,6309948.0,85153489.293,526.3484037336
2015-12-01,00297.HK,0.8388,1.22,3222020.0,3929363.8,85.6983599426
2015-12-02,00175.HK,3.4516,4.19,31861122.0,132875365.11,368.80072202599996
2015-12-02,00177.HK,5.6493,10.38,3431940.0,35708263.16,126.8436
2015-12-02,00179.HK,20.2065,27.9,436864.0,12238565.6,245.64404479499999
2015-12-02,00189.HK,1.4273,2.12,1377000.0,2889465.0,44.803898846
2015-12-02,00200.HK,7.8334,10.8,1942512.0,21003472.08,167.03966394
2015-12-02,00215.HK,1.0053,2.71,1477050.0,3983125.5,130.5920872368
2015-12-02,00220.HK,4.0016,6.47,1735089.0,11222234.56,279.4609098
2015-12-02,00241.HK,5.6653,6.04,3290180.0,19936061.6,493.62773619559994
2015-12-02,00256.HK,1.1796,1.28,1254000.0,1584580.0,56.44000263680001
2015-12-02,00257.HK,6.8686,12.06,4770239.0,57026036.06,540.73563102
2015-12-02,00267.HK,7.9872,14.08,16352135.0,230899275.12,4095.9089783040004
2015-12-02,00268.HK,3.7438,3.76,10561200.0,39544758.0,109.5805157168
2015-12-02,00270.HK,6.026,10.68,4328145.0,46339575.98,668.0391628188
2015-12-02,00272.HK,1.0928,2.23,17435335.0,38735589.15,178.9938532147
2015-12-02,00285.HK,4.0984,4.66,4042500.0,18820742.5,104.9993297
2015-12-02,00288.HK,2.3161,4.07,13633575.0,55503345.8,596.1907392177
2015-12-02,00290.HK,0.6154,0.121,1636000.0,198678.0,4.13624665828
2015-12-02,00291.HK,11.6821,15.22,2786278.0,42346600.52,370.32279374379993
2015-12-02,00293.HK,8.7894,13.42,3039000.0,40866332.0,527.9219415624
2015-12-02,00297.HK,0.8525,1.24,3038000.0,3699880.0,87.1032510892
2015-12-03,00175.HK,3.4104,4.14,31547762.0,129672032.71,364.399758756
2015-12-03,00177.HK,5.6384,10.36,1352556.0,14030456.04,126.5992
2015-12-03,00179.HK,20.2789,28.0,39000.0,1092512.5,246.5244894
2015-12-03,00189.HK,1.3801,2.05,493000.0,1021400.0,43.3245248275
2015-12-03,00200.HK,7.8915,10.88,1686000.0,18207900.0,168.276994784
2015-12-03,00215.HK,0.9941,2.68,638000.0,1714190.0,129.1464183744
2015-12-03,00220.HK,4.0387,6.53,3006448.0,19522354.04,282.0525102
2015-12-03,00241.HK,5.6746,6.05,2165362.0,13051033.22,494.44500065949995
2015-12-03,00256.HK,1.1612,1.26,1478000.0,1852680.0,55.558127595600006
2015-12-03,00257.HK,6.8002,11.94,2618499.0,31319029.06,535.35517698
2015-12-03,00267.HK,7.9645,14.04,13213388.0,185244660.24,4084.272873252
2015-12-03,00268.HK,3.8334,3.85,13531000.0,51988690.0,112.203453593
2015-12-03,00270.HK,5.9921,10.62,2729712.0,28887259.8,664.2861338142001
2015-12-03,00272.HK,1.0683,2.18,8277867.0,18195297.22,174.9805381202
2015-12-03,00285.HK,3.9841,4.53,7915000.0,35877028.0,102.07016385
2015-12-03,00288.HK,2.3047,4.05,13062908.0,52554061.35,593.2610549955
2015-12-03,00290.HK,0.6154,0.121,910000.0,110336.0,4.13624665828
2015-12-03,00291.HK,11.7282,15.28,3397097.0,51780903.0,371.7826733512
2015-12-03,00293.HK,8.737,13.34,2360116.0,31549694.02,524.7748659048
2015-12-03,00297.HK,0.8388,1.22,3902197.0,4796374.43,85.6983599426
2015-12-04,00175.HK,3.4434,4.18,21964000.0,90994780.0,367.920529372
2015-12-04,00177.HK,5.6275,10.34,2930528.0,30210165.6,126.3548
2015-12-04,00179.HK,19.9168,27.5,59050.0,1631385.0,242.108516375
2015-12-04,00189.HK,1.3869,2.06,1393000.0,2889035.0,43.535863973
