trade_date,wind_code,close,volume,amt
2021-12-01,00011.HK,113.52338719303,1502854,209286296.0
2021-12-02,00011.HK,114.65862106496,1141161,160551616.0
2021-12-03,00011.HK,115.8749430706,1305443,186076075.0
2021-12-06,00011.HK,117.01017694253,1566636,225089360.0
2021-12-07,00011.HK,116.44256000656,973120,139259171.0
2021-12-08,00011.HK,115.8749430706,471171,67149290.0
2021-12-09,00011.HK,117.49670574478,1188251,171754025.0
2021-12-10,00011.HK,117.82105827962,1028741,149611233.0
2021-12-13,00011.HK,117.49670574478,1174193,169472512.0
2021-12-14,00011.HK,115.63167866947,904582,128933783.0
2021-12-15,00011.HK,117.90214641333,1829586,264966081.0
2021-12-16,00011.HK,117.41561761107,1107423,160541204.0
2021-12-17,00011.HK,116.60473627398,2426034,349093076.0
2021-12-20,00011.HK,116.92908880882,1261400,181860880.0
2021-12-21,00011.HK,115.0640617335,1136852,162029362.0
2021-12-22,00011.HK,115.79385493689,462392,65826260.0
2021-12-23,00011.HK,115.8749430706,540734,77144306.0
2021-12-24,00011.HK,116.60473627398,211519,30329209.0
2021-12-28,00011.HK,117.25344134365,720526,103651623.0
2021-12-29,00011.HK,117.49670574478,499957,72261039.0
2021-12-30,00011.HK,117.17235320995,412448,59611988.0
2021-12-31,00011.HK,115.71276680318,545736,78152373.0
2022-01-03,00011.HK,117.01017694253,432072,62221162.0
2022-01-04,00011.HK,118.38867521558,1063372,154580733.0
2022-01-05,00011.HK,121.55111243025,3535684,528054847.0
2022-01-06,00011.HK,120.82131922686,1142502,169344851.0
2022-01-07,00011.HK,122.92961070331,2527015,381315525.0
2022-01-10,00011.HK,125.36225471458,3600590,557236447.0
2022-01-11,00011.HK,125.11899031346,1751710,269478200.0
2022-01-12,00011.HK,125.20007844717,1407224,216865480.0
2022-01-13,00011.HK,125.92987165055,1417189,219533797.0
2022-01-14,00011.HK,127.55163432474,2993538,469121260.0
2022-01-17,00011.HK,126.17313605168,1652676,258277860.0
2022-01-18,00011.HK,126.25422418539,1655481,257742115.0
2022-01-19,00011.HK,125.524430982,1301092,201153900.0
2022-01-20,00011.HK,126.98401738877,1722987,268496468.0
2022-01-21,00011.HK,126.41640045281,1355445,210389366.0
2022-01-24,00011.HK,126.65966485393,954136,148933452.0
2022-01-25,00011.HK,126.74075298764,1502848,234062107.0
2022-01-26,00011.HK,127.30836992361,1910629,299529907.0
2022-01-27,00011.HK,127.55163432474,1499879,235604828.0
2022-01-28,00011.HK,126.41640045281,2060189,323000528.0
2022-01-31,00011.HK,124.79463777862,1192555,183503056.0
2022-02-04,00011.HK,129.09230886521,3120021,494702918.0
2022-02-07,00011.HK,129.57883766747,1292519,205796048.0
2022-02-08,00011.HK,131.36277660907,2219646,358519997.0
2022-02-09,00011.HK,133.38997995181,2860390,469170496.0
2022-02-10,00011.HK,133.71433248664,2418633,396661708.0
2022-02-11,00011.HK,136.22806463163,3123174,522240863.0
2022-02-14,00011.HK,136.14697649792,2553610,429482175.0
2022-02-15,00011.HK,133.79542062035,2788639,461859185.0
2022-02-16,00011.HK,136.06588836421,1741402,291593138.0
