trade_date,wind_code,close,raw_close,volume,amt,mktcap_hkd_yi
2015-12-01,00826.HK,0.53,0.68,3664000.0,2470180.0,15.096544
2015-12-02,00826.HK,0.5768,0.74,9096000.0,6446770.0,16.428592000000002
2015-12-03,00826.HK,0.5846,0.75,13734000.0,10111940.0,16.6506
2015-12-04,00826.HK,0.569,0.73,5222000.0,3794060.0,16.206584
2015-12-07,00826.HK,0.5612,0.72,1818000.0,1310020.0,15.984576
2015-12-08,00826.HK,0.5378,0.69,2560000.0,1782720.0,15.318551999999999
2015-12-09,00826.HK,0.53,0.68,1218000.0,833120.0,15.096544
2015-12-10,00826.HK,0.53,0.68,1326000.0,903940.0,15.096544
2015-12-11,00826.HK,0.5222,0.67,2508000.0,1683000.0,14.874535999999999
2015-12-14,00826.HK,0.5144,0.66,1174000.0,773240.0,14.652528
2015-12-15,00826.HK,0.5066,0.65,1554000.0,1018560.0,14.430520000000001
2015-12-16,00826.HK,0.5144,0.66,1480000.0,976000.0,14.652528
2015-12-17,00826.HK,0.5144,0.66,1390000.0,931680.0,14.652528
2015-12-18,00826.HK,0.5066,0.65,2996958.0,1979313.12,14.430520000000001
2015-12-21,00826.HK,0.5066,0.65,2755066.0,1787483.56,14.430520000000001
2015-12-22,00826.HK,0.5144,0.66,3364000.0,2194580.0,14.652528
2015-12-23,00826.HK,0.5144,0.66,2808000.0,1843100.0,14.652528
2015-12-24,00826.HK,0.5144,0.66,626000.0,407360.0,14.652528
2015-12-28,00826.HK,0.5066,0.65,1952000.0,1263440.0,14.430520000000001
2015-12-29,00826.HK,0.5066,0.65,588000.0,380800.0,14.430520000000001
2015-12-30,00826.HK,0.4989,0.64,1780000.0,1153300.0,14.208511999999999
2015-12-31,00826.HK,0.5144,0.66,906000.0,590300.0,14.652528
2016-01-04,00826.HK,0.4989,0.64,2458000.0,1578400.0,14.208511999999999
2016-01-05,00826.HK,0.4989,0.64,2482000.0,1591560.0,14.208511999999999
2016-01-06,00826.HK,0.5066,0.65,1506000.0,967040.0,14.430520000000001
2016-01-07,00826.HK,0.4833,0.62,4448000.0,2773600.0,13.764496
2016-01-08,00826.HK,0.4833,0.62,1070000.0,664060.0,13.764496
2016-01-11,00826.HK,0.4677,0.6,6438000.0,3761140.0,13.320479999999998
2016-01-12,00826.HK,0.4443,0.57,7132066.0,4101446.3,12.654456
2016-01-13,00826.HK,0.4521,0.58,3408000.0,2011360.0,12.876464
2016-01-14,00826.HK,0.4365,0.56,2340000.0,1299930.0,12.432447999999999
2016-01-15,00826.HK,0.4365,0.56,3344000.0,1903340.0,12.432447999999999
2016-01-18,00826.HK,0.4365,0.56,3280000.0,1824460.0,12.432447999999999
2016-01-19,00826.HK,0.4365,0.56,1502000.0,838920.0,12.432447999999999
2016-01-20,00826.HK,0.4287,0.55,3882000.0,2108600.0,12.21044
2016-01-21,00826.HK,0.4053,0.52,1990000.0,1056860.0,11.544416
2016-01-22,00826.HK,0.4287,0.55,6050000.0,3210160.0,12.21044
2016-01-25,00826.HK,0.4287,0.55,556000.0,306320.0,12.21044
2016-01-26,00826.HK,0.4209,0.54,3608000.0,1914940.0,11.988432000000001
2016-01-27,00826.HK,0.4131,0.53,1470000.0,768000.0,11.766424
2016-01-28,00826.HK,0.4053,0.52,3131000.0,1613490.0,11.544416
2016-01-29,00826.HK,0.4053,0.52,1704000.0,872780.0,11.544416
2016-02-01,00826.HK,0.4053,0.52,1170000.0,605020.0,11.544416
2016-02-02,00826.HK,0.4053,0.52,988000.0,513930.0,11.544416
2016-02-03,00826.HK,0.4053,0.52,1064000.0,549720.0,11.544416
2016-02-04,00826.HK,0.4053,0.52,1032000.0,534180.0,11.544416
2016-02-05,00826.HK,0.4209,0.54,2952000.0,1544980.0,11.988432000000001
2016-02-11,00826.HK,0.4053,0.52,1294000.0,684020.0,11.544416
2016-02-12,00826.HK,0.4209,0.54,1698000.0,885180.0,11.988432000000001
2016-02-15,00826.HK,0.4131,0.53,470000.0,249900.0,11.766424
2016-02-16,00826.HK,0.4287,0.55,352000.0,189640.0,12.21044
2016-02-17,00826.HK,0.4209,0.54,3044000.0,1669960.0,11.988432000000001
2016-02-18,00826.HK,0.4209,0.54,1010000.0,544820.0,11.988432000000001
2016-02-19,00826.HK,0.4287,0.55,1352000.0,743230.0,12.21044
2016-02-22,00826.HK,0.4521,0.58,1392000.0,794160.0,12.876464
2016-02-23,00826.HK,0.4521,0.58,256000.0,146440.0,12.876464
2016-02-24,00826.HK,0.4287,0.55,2257956.0,1251647.12,12.21044
2016-02-25,00826.HK,0.4287,0.55,834000.0,463500.0,12.21044
2016-02-26,00826.HK,0.4521,0.58,4358000.0,2557000.0,12.876464
2016-02-29,00826.HK,0.4443,0.57,3002000.0,1706800.0,12.654456
2016-03-01,00826.HK,0.4599,0.59,1160000.0,674320.0,13.098472000000001
2016-03-02,00826.HK,0.4833,0.62,2402000.0,1457620.0,13.764496
2016-03-03,00826.HK,0.4911,0.63,1280000.0,783710.0,13.986504
2016-03-04,00826.HK,0.4755,0.61,2852000.0,1759440.0,13.542488
2016-03-07,00826.HK,0.4989,0.64,1742000.0,1091540.0,14.208511999999999
2016-03-08,00826.HK,0.4755,0.61,1088000.0,684360.0,13.542488
2016-03-09,00826.HK,0.4677,0.6,1920000.0,1185680.0,13.320479999999998
2016-03-10,00826.HK,0.4833,0.62,1422000.0,877980.0,13.764496
2016-03-11,00826.HK,0.4755,0.61,480000.0,297320.0,13.542488
2016-03-14,00826.HK,0.4755,0.61,4162000.0,2526710.0,13.542488
2016-03-15,00826.HK,0.4677,0.6,1308000.0,786960.0,13.320479999999998
2016-03-16,00826.HK,0.4677,0.6,1074000.0,637840.0,13.320479999999998
2016-03-17,00826.HK,0.4755,0.61,3020000.0,1833240.0,13.542488
2016-03-18,00826.HK,0.4833,0.62,1082000.0,657920.0,13.764496
2016-03-21,00826.HK,0.4599,0.59,1984000.0,1195940.0,13.098472000000001
2016-03-22,00826.HK,0.4677,0.6,838000.0,500320.0,13.320479999999998
2016-03-23,00826.HK,0.4443,0.57,2342000.0,1365840.0,12.654456
2016-03-24,00826.HK,0.4677,0.6,1276000.0,754160.0,13.320479999999998
2016-03-29,00826.HK,0.4599,0.59,1102000.0,661380.0,13.098472000000001
2016-03-30,00826.HK,0.4521,0.58,2176000.0,1249980.0,12.876464
2016-03-31,00826.HK,0.4677,0.6,5590000.0,3341140.0,13.320479999999998
2016-04-01,00826.HK,0.4989,0.64,5676000.0,3574300.0,14.208511999999999
2016-04-05,00826.HK,0.4755,0.61,2118000.0,1284280.0,13.542488
2016-04-06,00826.HK,0.4521,0.58,1588000.0,928980.0,12.876464
2016-04-07,00826.HK,0.4599,0.59,990000.0,576220.0,13.098472000000001
2016-04-08,00826.HK,0.4443,0.57,890000.0,511080.0,12.654456
2016-04-11,00826.HK,0.4365,0.56,1740000.0,994320.0,12.432447999999999
2016-04-12,00826.HK,0.4443,0.57,1530000.0,870380.0,12.654456
2016-04-13,00826.HK,0.4599,0.59,3014000.0,1786980.0,13.098472000000001
2016-04-14,00826.HK,0.4755,0.61,3102000.0,1893600.2,13.542488
2016-04-15,00826.HK,0.4599,0.59,5138000.0,3007800.0,13.098472000000001
2016-04-18,00826.HK,0.4521,0.58,886000.0,514420.0,12.876464
2016-04-19,00826.HK,0.4755,0.61,2646000.0,1575280.0,13.542488
2016-04-20,00826.HK,0.4599,0.59,5582000.0,3354900.0,13.098472000000001
2016-04-21,00826.HK,0.4755,0.61,2272000.0,1358920.0,13.542488
2016-04-22,00826.HK,0.4677,0.6,6080000.0,3649680.0,13.320479999999998
2016-04-25,00826.HK,0.4833,0.62,4016000.0,2467160.0,13.764496
2016-04-26,00826.HK,0.4755,0.61,440000.0,267940.0,13.542488
2016-04-27,00826.HK,0.4833,0.62,1396000.0,862520.0,13.764496
2016-04-28,00826.HK,0.4911,0.63,3010000.0,1877900.0,13.986504
2016-04-29,00826.HK,0.4911,0.63,1706000.0,1066660.0,13.986504
2016-05-03,00826.HK,0.4989,0.64,3330000.0,2111940.0,14.208511999999999
2016-05-04,00826.HK,0.4989,0.64,2340000.0,1499400.0,14.208511999999999
2016-05-05,00826.HK,0.4755,0.61,1908000.0,1180040.0,13.542488
2016-05-06,00826.HK,0.4599,0.59,3982000.0,2374170.0,13.098472000000001
2016-05-09,00826.HK,0.4677,0.6,2368000.0,1412440.0,13.320479999999998
2016-05-10,00826.HK,0.4443,0.57,3166000.0,1819860.0,12.654456
2016-05-11,00826.HK,0.4521,0.58,2206000.0,1259380.0,12.876464
2016-05-12,00826.HK,0.4521,0.58,10000.0,5800.0,12.876464
2016-05-13,00826.HK,0.4365,0.56,2286000.0,1289920.0,12.432447999999999
2016-05-16,00826.HK,0.4443,0.57,1464000.0,817260.0,12.654456
2016-05-17,00826.HK,0.4209,0.54,3130000.0,1688780.0,11.988432000000001
2016-05-18,00826.HK,0.4053,0.52,4976000.0,2630100.0,11.544416
2016-05-19,00826.HK,0.4053,0.52,3464000.0,1826000.0,11.544416
2016-05-20,00826.HK,0.4351,0.55,3388000.0,1808540.0,12.21044
2016-05-23,00826.HK,0.4431,0.56,5552000.0,3083900.0,12.432447999999999
2016-05-24,00826.HK,0.4351,0.55,7196000.0,3997200.0,12.21044
2016-05-25,00826.HK,0.4431,0.56,3352000.0,1872960.0,12.432447999999999
2016-05-26,00826.HK,0.4351,0.55,4068000.0,2256200.0,12.21044
2016-05-27,00826.HK,0.4431,0.56,2298000.0,1281430.0,12.432447999999999
2016-05-30,00826.HK,0.4193,0.53,7290000.0,3958780.0,11.766424
2016-05-31,00826.HK,0.3718,0.47,13839000.0,6827655.0,10.434376
2016-06-01,00826.HK,0.3837,0.485,24399954.0,11970458.38,10.767388
2016-06-02,00826.HK,0.3837,0.485,3242000.0,1565020.0,10.767388
2016-06-03,00826.HK,0.3956,0.5,3372000.0,1658864.0,11.1004
2016-06-06,00826.HK,0.3758,0.475,2778000.0,1341260.0,10.54538
2016-06-07,00826.HK,0.3837,0.485,2256000.0,1095760.0,10.767388
2016-06-08,00826.HK,0.3837,0.485,1502000.0,727370.0,10.767388
2016-06-10,00826.HK,0.3798,0.48,4256000.0,2108400.0,10.656384
2016-06-13,00826.HK,0.3758,0.475,3566000.0,1711450.0,10.54538
2016-06-14,00826.HK,0.3877,0.49,8798000.0,4422340.0,10.878392
2016-06-15,00826.HK,0.3837,0.485,3816000.0,1844900.0,10.767388
2016-06-16,00826.HK,0.3758,0.475,3822000.0,1805680.0,10.54538
2016-06-17,00826.HK,0.3758,0.475,2218000.0,1049316.8,10.54538
2016-06-20,00826.HK,0.3679,0.465,2654000.0,1234358.8,10.323372
2016-06-21,00826.HK,0.3718,0.47,5910000.0,2795247.0,10.434376
2016-06-22,00826.HK,0.3758,0.475,3236000.0,1522877.8,10.54538
2016-06-23,00826.HK,0.3798,0.48,514000.0,246130.0,10.656384
2016-06-24,00826.HK,0.3718,0.47,1682000.0,788270.0,10.434376
2016-06-27,00826.HK,0.3679,0.465,954000.0,439320.0,10.323372
2016-06-28,00826.HK,0.3639,0.46,2424000.0,1124330.0,10.212368
2016-06-29,00826.HK,0.3679,0.465,4824000.0,2255990.0,10.323372
2016-06-30,00826.HK,0.3758,0.475,4734000.0,2222180.0,10.54538
2016-07-04,00826.HK,0.3916,0.495,3824000.0,1870640.0,10.989396000000001
2016-07-05,00826.HK,0.4035,0.51,3832000.0,1958550.0,11.322408
2016-07-06,00826.HK,0.4114,0.52,62014000.0,31026720.0,11.544416
2016-07-07,00826.HK,0.3956,0.5,1236000.0,622380.0,11.1004
2016-07-08,00826.HK,0.3956,0.5,1706000.0,851880.0,11.1004
2016-07-11,00826.HK,0.3877,0.49,1160000.0,576360.0,10.878392
2016-07-12,00826.HK,0.4035,0.51,3628000.0,1876220.0,11.322408
2016-07-13,00826.HK,0.3956,0.5,372000.0,188820.0,11.1004
2016-07-14,00826.HK,0.4114,0.52,1368000.0,702920.0,11.544416
2016-07-15,00826.HK,0.451,0.57,8678000.0,4837820.0,12.654456
2016-07-18,00826.HK,0.4431,0.56,914000.0,509540.0,12.432447999999999
2016-07-19,00826.HK,0.451,0.57,1802000.0,1002660.0,12.654456
2016-07-20,00826.HK,0.4431,0.56,714000.0,394060.0,12.432447999999999
2016-07-21,00826.HK,0.4351,0.55,1000000.0,550140.0,12.21044
2016-07-22,00826.HK,0.4431,0.56,982000.0,546320.0,12.432447999999999
2016-07-25,00826.HK,0.451,0.57,1346000.0,753420.0,12.654456
2016-07-26,00826.HK,0.4431,0.56,1346000.0,761060.0,12.432447999999999
2016-07-27,00826.HK,0.4589,0.58,1974000.0,1126620.0,12.876464
2016-07-28,00826.HK,0.451,0.57,2998000.0,1677640.0,12.654456
2016-07-29,00826.HK,0.4589,0.58,3778000.0,2200220.0,12.876464
2016-08-01,00826.HK,0.4589,0.58,864000.0,494240.0,12.876464
2016-08-03,00826.HK,0.451,0.57,826000.0,469000.0,12.654456
2016-08-04,00826.HK,0.4351,0.55,1294000.0,721240.0,12.21044
2016-08-05,00826.HK,0.4589,0.58,2110000.0,1222660.0,12.876464
2016-08-08,00826.HK,0.4747,0.6,2888000.0,1702560.0,13.320479999999998
2016-08-09,00826.HK,0.4747,0.6,2084000.0,1238240.0,13.320479999999998
2016-08-10,00826.HK,0.4826,0.61,5558000.0,3301520.0,13.542488
2016-08-11,00826.HK,0.4826,0.61,954000.0,575700.0,13.542488
2016-08-12,00826.HK,0.4668,0.59,3676000.0,2241960.0,13.098472000000001
2016-08-15,00826.HK,0.4668,0.59,1392000.0,831560.0,13.098472000000001
