trade_date,wind_code,close,raw_close,volume,amt,mktcap_hkd_yi
2015-12-01,06808.HK,3.8294,6.08,6004011.0,36505502.29,580.01404576
2015-12-01,06818.HK,1.6623,3.52,30560033.0,107817590.95,241.7794896
2015-12-02,06808.HK,3.8231,6.07,6372250.0,38726634.6,579.06007529
2015-12-02,06818.HK,1.7095,3.62,11458835.0,40998653.03,248.64822510000002
2015-12-03,06808.HK,3.7727,5.99,5041488.0,30204629.58,571.42831153
2015-12-03,06818.HK,1.7331,3.67,13119611.0,47746089.53,252.08259285
2015-12-04,06808.HK,3.7223,5.91,2655699.0,15712825.65,563.79654777
2015-12-04,06818.HK,1.7001,3.6,7357300.0,26444546.0,247.274478
2015-12-07,06808.HK,3.7412,5.94,2986000.0,17622695.0,566.6584591799999
2015-12-07,06818.HK,1.6764,3.55,5103000.0,18249575.0,243.84011025
2015-12-08,06808.HK,3.6908,5.86,4091811.0,24074741.64,559.02669542
2015-12-08,06818.HK,1.6481,3.49,10366000.0,36130340.0,239.71886894999997
2015-12-09,06808.HK,3.6782,5.84,4011402.0,23485227.7,557.11875448
2015-12-09,06818.HK,1.6528,3.5,8148000.0,28579747.0,240.40574249999997
2015-12-10,06808.HK,3.6593,5.81,4880660.0,28343719.6,554.2568430700001
2015-12-10,06818.HK,1.6481,3.49,10768350.0,37615657.0,239.71886894999997
2015-12-11,06808.HK,3.6593,5.81,3910412.0,22711426.22,554.2568430700001
2015-12-11,06818.HK,1.6245,3.44,12374711.0,42826002.02,236.28450120000002
2015-12-14,06808.HK,3.59,5.7,9578790.0,54378199.8,543.7631679
2015-12-14,06818.HK,1.6198,3.43,9010725.0,30790599.75,235.59762765000002
2015-12-15,06808.HK,3.5459,5.63,3594854.0,20292442.96,537.08537461
2015-12-15,06818.HK,1.615,3.42,7006679.0,24148958.52,234.91075410000002
2015-12-16,06808.HK,3.6152,5.74,3777812.0,21618501.82,547.57904978
2015-12-16,06818.HK,1.6623,3.52,8040381.0,28163187.14,241.7794896
2015-12-17,06808.HK,3.6152,5.74,4615698.0,26571269.62,547.57904978
2015-12-17,06818.HK,1.6953,3.59,12373200.0,44124855.0,246.58760445
2015-12-18,06808.HK,3.5396,5.62,5993693.0,34007516.54,536.1314041400001
2015-12-18,06818.HK,1.7001,3.6,14686271.0,52750985.79,247.274478
2015-12-21,06808.HK,3.6089,5.73,6665142.0,38002144.9,546.62507931
2015-12-21,06818.HK,1.7237,3.65,10158536.0,36835594.36,250.70884575
2015-12-22,06808.HK,3.6026,5.72,6839105.0,39122556.25,545.67110884
2015-12-22,06818.HK,1.7426,3.69,6689611.0,24539805.73,253.45633994999997
2015-12-23,06808.HK,3.6026,5.72,4769017.0,27285347.24,545.67110884
2015-12-23,06818.HK,1.7803,3.77,9693815.0,36242833.09,258.95132835
2015-12-24,06808.HK,3.6089,5.73,1755500.0,10055370.8,546.62507931
2015-12-24,06818.HK,1.7709,3.75,2604000.0,9802280.0,257.57758125
2015-12-28,06808.HK,3.716,5.9,2430000.0,14213077.2,562.8425773
2015-12-28,06818.HK,1.752,3.71,8784000.0,32771610.0,254.83008705000003
2015-12-29,06808.HK,3.7412,5.94,2917900.0,17225205.5,566.6584591799999
2015-12-29,06818.HK,1.7945,3.8,13068100.0,49198257.0,261.011949
2015-12-30,06808.HK,3.7223,5.91,3132990.0,18552815.6,563.79654777
2015-12-30,06818.HK,1.7803,3.77,7028199.0,26413096.2,258.95132835
2015-12-31,06808.HK,3.6845,5.85,2168500.0,12675425.0,558.07272495
2015-12-31,06818.HK,1.7803,3.77,2775200.0,10457802.0,258.95132835
2016-01-04,06808.HK,3.5774,5.68,1685268.0,9603674.02,541.85522696
2016-01-04,06818.HK,1.7284,3.66,20886040.0,76719357.2,251.3957193
2016-01-05,06808.HK,3.5334,5.61,3461117.0,19527215.76,535.17743367
2016-01-05,06818.HK,1.7473,3.7,24587200.0,90715737.23,254.14321349999997
2016-01-06,06808.HK,3.42,5.43,6575068.0,36080359.92,518.00596521
2016-01-06,06818.HK,1.7237,3.65,18391769.0,67599477.61,250.70884575
2016-01-07,06808.HK,3.3066,5.25,5456059.0,28923113.45,500.83449675
2016-01-07,06818.HK,1.6575,3.51,26207321.0,93296759.27,241.09261605000003
2016-01-08,06808.HK,3.3948,5.39,4791368.0,25931180.18,514.19008333
2016-01-08,06818.HK,1.6623,3.52,21678208.0,77001310.08,241.7794896
2016-01-11,06808.HK,3.2184,5.11,6092961.0,31382037.8,487.47891017000006
2016-01-11,06818.HK,1.615,3.42,24646346.0,84681952.7,234.91075410000002
2016-01-12,06808.HK,3.2625,5.18,7215933.0,37605602.45,494.15670346
2016-01-12,06818.HK,1.6056,3.4,18817000.0,64693815.0,233.537007
2016-01-13,06808.HK,3.1995,5.08,7768000.0,39722532.5,484.61699875999994
2016-01-13,06818.HK,1.6764,3.55,33938100.0,119638605.0,243.84011025
2016-01-14,06808.HK,3.0988,4.92,15660500.0,77198370.3,469.35347124
2016-01-14,06818.HK,1.6906,3.58,31528000.0,112623085.0,245.90073089999999
2016-01-15,06808.HK,3.0232,4.8,5780950.0,28162576.5,457.9058256
2016-01-15,06818.HK,1.6717,3.54,27951745.0,99858808.0,243.1532367
2016-01-18,06808.HK,2.9854,4.74,12010500.0,57647581.15,452.18200278
2016-01-18,06818.HK,1.6434,3.48,19544668.0,68156375.24,239.0319954
2016-01-19,06808.HK,3.0169,4.79,12186516.0,58475011.0,456.95185513
2016-01-19,06818.HK,1.6953,3.59,21376866.0,76449122.96,246.58760445
2016-01-20,06808.HK,2.8972,4.6,15286539.0,71644193.68,438.8264162
2016-01-20,06818.HK,1.6198,3.43,29173929.0,100759602.79,235.59762765000002
2016-01-21,06808.HK,2.765,4.39,11714371.0,52486461.14,418.79303633
2016-01-21,06818.HK,1.5867,3.36,30516000.0,104257054.0,230.7895128
2016-01-22,06808.HK,2.7964,4.44,13606500.0,60666642.3,423.56288868000007
2016-01-22,06818.HK,1.6481,3.49,20325700.0,70837462.0,239.71886894999997
2016-01-25,06808.HK,2.7713,4.4,14235010.0,62823103.8,419.7470068
2016-01-25,06818.HK,1.6812,3.56,17229300.0,61236159.0,244.5269838
2016-01-26,06808.HK,2.6138,4.15,13421513.0,56566619.96,395.89774504999997
2016-01-26,06818.HK,1.6009,3.39,17985630.0,62340495.0,232.85013345
