trade_date,wind_code,close,volume,amt
2015-12-01,02638.HK,3.4868011272191,44626211,274884305.0
2015-12-02,02638.HK,3.5605058664937,26403113,165009025.0
2015-12-03,02638.HK,3.5321578898496,21023330,132049089.0
2015-12-04,02638.HK,3.5038099132056,20894767,129283301.0
2015-12-07,02638.HK,3.4414443645886,15563375,95033892.0
2015-12-08,02638.HK,3.4584531505751,11733994,71600059.0
2015-12-09,02638.HK,3.4471139599174,3284501,20008267.0
2015-12-10,02638.HK,3.4754619365615,12991037,79360476.0
2015-12-11,02638.HK,3.5094795085344,11598371,71724324.0
2015-12-14,02638.HK,3.4754619365615,8565226,52529984.0
2015-12-15,02638.HK,3.4811315318903,8670401,53178052.0
2015-12-16,02638.HK,3.5491666758361,10862718,67541803.0
2015-12-17,02638.HK,3.5775146524801,6340980,39670000.0
2015-12-18,02638.HK,3.6172018197818,12842402,81546208.0
2015-12-21,02638.HK,3.611532224453,6321487,40181323.0
2015-12-22,02638.HK,3.6795673683987,11476619,73901293.0
2015-12-23,02638.HK,3.6738977730699,6785725,44068739.0
2015-12-24,02638.HK,3.7079153450428,3736828,24339338.0
2015-12-28,02638.HK,3.6682281777411,5609000,36332747.0
2015-12-29,02638.HK,3.6568889870835,3796450,24480331.0
2015-12-30,02638.HK,3.6625585824123,6298021,40537546.0
2015-12-31,02638.HK,3.6852369637275,3604500,23328000.0
2016-01-04,02638.HK,3.5491666758361,14846573,94069082.0
2016-01-05,02638.HK,3.520818699192,9712471,60328853.0
2016-01-06,02638.HK,3.5605058664937,6981250,43601872.0
2016-01-07,02638.HK,3.5321578898496,7512234,46688222.0
2016-01-08,02638.HK,3.5378274851784,5879027,36647038.0
2016-01-11,02638.HK,3.430105173931,13098500,79384057.0
2016-01-12,02638.HK,3.3960876019581,12652385,76234535.0
2016-01-13,02638.HK,3.4074267926158,8506714,51257191.0
2016-01-14,02638.HK,3.3734092206429,14797250,87583215.0
2016-01-15,02638.HK,3.430105173931,7257642,43554940.0
2016-01-18,02638.HK,3.3507308393277,7189153,42688495.0
2016-01-19,02638.HK,3.3847484113005,7111875,41913212.0
2016-01-20,02638.HK,3.3960876019581,8696006,51924061.0
2016-01-21,02638.HK,3.3450612439988,5667058,33434434.0
2016-01-22,02638.HK,3.33939164867,5791456,34197457.0
2016-01-25,02638.HK,3.3337220533412,4996862,29435852.0
2016-01-26,02638.HK,3.3053740766972,6029103,35260931.0
2016-01-27,02638.HK,3.3450612439988,5246450,30943616.0
2016-01-28,02638.HK,3.3564004346565,2895148,17082936.0
2016-01-29,02638.HK,3.4471139599174,9852334,59172482.0
2016-02-01,02638.HK,3.4697923412327,6619624,40412894.0
2016-02-02,02638.HK,3.4924707225479,7399173,45540285.0
2016-02-03,02638.HK,3.4414443645886,4385621,26612943.0
2016-02-04,02638.HK,3.4811315318903,3723900,22824347.0
2016-02-05,02638.HK,3.5661754618225,14405955,90467638.0
2016-02-11,02638.HK,3.6172018197818,18226822,115214830.0
2016-02-12,02638.HK,3.611532224453,9202184,58568089.0
2016-02-15,02638.HK,3.6342106057682,8568758,54844015.0
2016-02-16,02638.HK,3.6568889870835,5612500,35961205.0
2016-02-17,02638.HK,3.6512193917547,6251547,40244636.0
2016-02-18,02638.HK,3.6852369637275,11266541,72803981.0
2016-02-19,02638.HK,3.6852369637275,11183677,72517247.0
2016-02-22,02638.HK,3.6568889870835,5670394,36560585.0
2016-02-23,02638.HK,3.6172018197818,9278898,59255085.0
2016-02-24,02638.HK,3.6285410104394,11688428,74708097.0
2016-02-25,02638.HK,3.6568889870835,10938672,70484005.0
2016-02-26,02638.HK,3.6738977730699,5637675,36479646.0
2016-02-29,02638.HK,3.6852369637275,8498940,55178875.0
2016-03-01,02638.HK,3.7419329170157,9679894,63622515.0
2016-03-02,02638.HK,3.7646112983309,10383295,68964041.0
2016-03-03,02638.HK,3.7362633216868,6748138,44594802.0
2016-03-04,02638.HK,3.7079153450428,3676323,24117826.0
2016-03-07,02638.HK,3.702245749714,4487419,29316136.0
2016-03-08,02638.HK,3.6795673683987,4076339,26473336.0
2016-03-09,02638.HK,3.7362633216868,5098299,33473649.0
2016-03-10,02638.HK,3.7249241310292,3812475,24996567.0
