trade_date,wind_code,close,volume,amt
2015-12-01,00405.HK,3.5318149732066,1289006,5289754.0
2015-12-02,00405.HK,3.566187868323,5476000,22671758.0
2015-12-03,00405.HK,3.5919675396603,5026000,20965110.0
2015-12-04,00405.HK,3.5833743158812,3247125,13548896.0
2015-12-07,00405.HK,3.6091539872185,3992717,16776775.0
2015-12-08,00405.HK,3.6177472109976,2907524,12171430.0
2015-12-09,00405.HK,3.5747810921021,3370000,14027590.0
2015-12-10,00405.HK,3.5575946445439,4422000,18337940.0
2015-12-11,00405.HK,3.5490014207648,3156075,13004744.0
2015-12-14,00405.HK,3.5318149732066,4161400,17043732.0
2015-12-15,00405.HK,3.5404081969857,1986000,8182560.0
2015-12-16,00405.HK,3.5404081969857,2285030,9430837.0
2015-12-17,00405.HK,3.5490014207648,2885424,11895563.0
2015-12-18,00405.HK,3.5490014207648,2445924,10093857.0
2015-12-21,00405.HK,3.5404081969857,1981212,8177175.0
2015-12-22,00405.HK,3.5575946445439,1649187,6811932.0
2015-12-23,00405.HK,3.566187868323,1965000,8131950.0
2015-12-24,00405.HK,3.5575946445439,1187000,4913880.0
2015-12-28,00405.HK,3.5747810921021,3475000,14449920.0
2015-12-29,00405.HK,3.5747810921021,2993760,12445506.0
2015-12-30,00405.HK,3.5747810921021,1787375,7425712.0
2015-12-31,00405.HK,3.5747810921021,478000,1987710.0
2016-01-04,00405.HK,3.5490014207648,2554010,10574221.0
2016-01-05,00405.HK,3.5575946445439,2257833,9345978.0
2016-01-06,00405.HK,3.5490014207648,1523198,6289185.0
2016-01-07,00405.HK,3.471662406753,5901000,23975220.0
2016-01-08,00405.HK,3.471662406753,5968800,24054304.0
2016-01-11,00405.HK,3.377136945183,8614800,34056644.0
2016-01-12,00405.HK,3.3685437214039,4571025,17967126.0
2016-01-13,00405.HK,3.4029166165203,3231000,12838210.0
2016-01-14,00405.HK,3.3943233927412,2430000,9553695.0
2016-01-15,00405.HK,3.377136945183,3564000,14023530.0
2016-01-18,00405.HK,3.3599504976248,4036000,15727240.0
2016-01-19,00405.HK,3.3857301689621,2738000,10707345.0
2016-01-20,00405.HK,3.3513572738457,3957907,15431367.0
2016-01-21,00405.HK,3.3083911549503,6124085,23713261.0
2016-01-22,00405.HK,3.3169843787294,2353000,9103080.0
2016-01-25,00405.HK,3.3685437214039,2698536,10525640.0
2016-01-26,00405.HK,3.3341708262875,1736000,6746105.0
2016-01-27,00405.HK,3.3255776025085,1990000,7731180.0
2016-01-28,00405.HK,3.3341708262875,1538000,5966425.0
2016-01-29,00405.HK,3.3857301689621,1916025,7507217.0
2016-02-01,00405.HK,3.3857301689621,1834000,7177460.0
2016-02-02,00405.HK,3.377136945183,1686271,6614122.0
2016-02-03,00405.HK,3.3513572738457,2601000,10097015.0
2016-02-04,00405.HK,3.3427640500666,1949000,7583180.0
2016-02-05,00405.HK,3.3513572738457,1147843,4477031.0
2016-02-11,00405.HK,3.3169843787294,4418000,17009510.0
2016-02-12,00405.HK,3.2912047073921,3381000,12976510.0
2016-02-15,00405.HK,3.3427640500666,3468000,13466335.0
2016-02-16,00405.HK,3.3599504976248,1634010,6396908.0
2016-02-17,00405.HK,3.3943233927412,4441191,17522950.0
2016-02-18,00405.HK,3.4115098402994,1527100,6069539.0
2016-02-19,00405.HK,3.4029166165203,2212000,8729750.0
2016-02-22,00405.HK,3.4201030640785,982000,3911890.0
2016-02-23,00405.HK,3.4802556305321,4030000,16220620.0
2016-02-24,00405.HK,3.4974420780903,6189000,25033530.0
2016-02-25,00405.HK,3.5060353018694,4373000,17771995.0
2016-02-26,00405.HK,3.5146285256485,1882225,7683001.0
2016-02-29,00405.HK,3.4974420780903,4290000,17432245.0
2016-03-01,00405.HK,3.5232217494276,1912000,7807595.0
2016-03-02,00405.HK,3.5318149732066,3573900,14691104.0
2016-03-03,00405.HK,3.566187868323,5283840,21824285.0
2016-03-04,00405.HK,3.5747810921021,4244225,17653638.0
2016-03-07,00405.HK,3.5575946445439,3118505,12942788.0
2016-03-08,00405.HK,3.5490014207648,2776833,11449655.0
2016-03-09,00405.HK,3.5404081969857,2672453,11009630.0
2016-03-10,00405.HK,3.5490014207648,2397000,9905750.0
2016-03-11,00405.HK,3.5490014207648,5836400,24049952.0
2016-03-14,00405.HK,3.5747810921021,5327045,22158790.0
2016-03-15,00405.HK,3.5833743158812,3829000,15955060.0
2016-03-16,00405.HK,3.6263404347767,5733200,24104534.0
2016-03-17,00405.HK,3.6349336585557,3495785,14833943.0
2016-03-18,00405.HK,3.6693065536721,3069000,13056240.0
2016-03-21,00405.HK,3.660713329893,3301000,14094245.0
2016-03-22,00405.HK,3.6778997774512,3391000,14481185.0
2016-03-23,00405.HK,3.6693065536721,3241000,13821087.0
2016-03-24,00405.HK,3.6435268823348,6291391,26715807.0
2016-03-29,00405.HK,3.660713329893,4262000,18180030.0
2016-03-30,00405.HK,3.6778997774512,4821000,20594840.0
2016-03-31,00405.HK,3.7036794487885,6427000,27599912.0
2016-04-01,00405.HK,3.6950862250094,6533191,28193606.0
2016-04-05,00405.HK,3.7122726725676,6618000,28561270.0
2016-04-06,00405.HK,3.7036794487885,5651000,24355997.0
2016-04-07,00405.HK,3.7122726725676,4234425,18274020.0
2016-04-08,00405.HK,3.7036794487885,5642907,24279148.0
2016-04-11,00405.HK,3.7036794487885,5570065,23996976.0
2016-04-12,00405.HK,3.5833743158812,5437000,22567865.0
2016-04-13,00405.HK,3.5919675396603,3965000,16593980.0
2016-04-14,00405.HK,3.5833743158812,3195000,13335830.0
2016-04-15,00405.HK,3.5575946445439,5670838,23528164.0
2016-04-18,00405.HK,3.5919675396603,5448408,22722527.0
2016-04-19,00405.HK,3.6521201061139,10669000,45195210.0
2016-04-20,00405.HK,3.6005607634394,8559000,35948765.0
2016-04-21,00405.HK,3.6435268823348,3540015,14976512.0
2016-04-22,00405.HK,3.6521201061139,2117000,8996110.0
2016-04-25,00405.HK,3.6864930012303,6090000,26071580.0
