date,code,amt_log_20,pred,is_holdout,base_score,blend_raw,score,fwd_ret,label_start,label_end,target_weight,rank
2024-02-29,01164.HK,-0.08634187864753759,3.706633534220896,False,3.661456216583778,0.9139072351570985,3.706633534220896,0.032972574,2024-03-01,2024-04-02,0.06666666666666667,1
2024-02-29,02359.HK,1.6054254988983658,3.501438646423007,False,5.041087917302499,0.4765173316537217,3.501438646423007,-0.26865727,2024-03-01,2024-04-02,0.06666666666666667,2
2024-02-29,03808.HK,0.025719467690316692,2.9456164093721804,False,2.0823148590783522,0.9833724240569685,2.9456164093721804,0.057098985,2024-03-01,2024-04-02,0.06666666666666667,3
2024-02-29,00696.HK,-0.0687307164691521,1.8217284790209145,False,0.13227480573716302,0.5679512756069862,1.8217284790209145,0.06002879,2024-03-01,2024-04-02,0.06666666666666667,4
2024-02-29,03988.HK,1.840996900757719,1.795245174056936,False,2.140216974859244,0.9747086852948617,1.795245174056936,0.06816125,2024-03-01,2024-04-02,0.06666666666666667,5
2024-02-29,00257.HK,0.5249938571372234,1.744921684166353,False,1.8078709008112783,0.8925269880216994,1.744921684166353,0.071166754,2024-03-01,2024-04-02,0.06666666666666667,6
2024-02-29,01907.HK,-1.2278456098563915,1.698643772919316,False,1.701721992043478,0.8367729697116738,1.698643772919316,0.023014545,2024-03-01,2024-04-02,0.06666666666666667,7
2024-02-29,03618.HK,-0.7071355114292164,1.6529484780476782,False,2.0549689988430564,0.9723047528948102,1.6529484780476782,0.043759227,2024-03-01,2024-04-02,0.06666666666666667,8
2024-02-29,01988.HK,-0.42126668414460905,1.6361509592160448,False,1.7259291051637087,0.8586018241311085,1.6361509592160448,-0.010766864,2024-03-01,2024-04-02,0.06666666666666667,9
2024-02-29,00371.HK,-0.19177735375673988,1.5858718349672067,False,1.0432096490363203,0.8975953105930062,1.5858718349672067,-0.06984788,2024-03-01,2024-04-02,0.06666666666666667,10
2024-02-29,01359.HK,-0.7124225596168594,1.5820633223557934,False,1.157752286960836,0.7598524870893234,1.5820633223557934,-0.13156712,2024-03-01,2024-04-02,0.06666666666666667,11
2024-02-29,01958.HK,-0.8394725357109392,1.5749573630853395,False,1.5911835292154346,0.9360160719502189,1.5749573630853395,-0.054377556,2024-03-01,2024-04-02,0.06666666666666667,12
2024-02-29,00019.HK,0.07706335894974795,1.536821831739409,False,1.6072057763007996,0.9818448716715548,1.536821831739409,0.035856485,2024-03-01,2024-04-02,0.06666666666666667,13
2024-02-29,01114.HK,0.07056806658652247,1.5116127879097185,False,1.532208028373057,0.9763509046627366,1.5116127879097185,0.4783181,2024-03-01,2024-04-02,0.06666666666666667,14
2024-02-29,00546.HK,-1.2536833870301463,1.5004249009573476,False,1.9280990062300218,1.0,1.5004249009573476,-0.01675421,2024-03-01,2024-04-02,0.06666666666666667,15
2024-03-28,02359.HK,1.4155658607270947,3.295348496787697,False,1.5496090762728953,0.3630135113013813,3.295348496787697,0.05170214,2024-04-02,2024-05-02,0.06666666666666667,1
2024-03-28,02005.HK,-1.4663691916319912,3.082213703968331,False,4.617931095756026,0.9604566552697041,3.082213703968331,-0.063750505,2024-04-02,2024-05-02,0.06666666666666667,2
2024-03-28,01164.HK,0.07659801433682667,2.5421629557988608,False,1.4228696950139434,0.827766180382832,2.5421629557988608,0.07442629,2024-04-02,2024-05-02,0.06666666666666667,3
2024-03-28,01258.HK,-0.028816785629095655,2.0807644472642,False,2.537586958821675,0.9617690206890618,2.0807644472642,0.058905125,2024-04-02,2024-05-02,0.06666666666666667,4
