market,signal_date,entry_date,exit_date,code,rank,entry_adjusted_close,exit_adjusted_close,qveris_gross_return,observable_signal_bar,original_label_start,original_label_end,original_fwd_ret,return_difference
a,2020-01-23,2020-02-03,2020-03-02,688266.SH,1,66.76,61.02,-0.0859796285200719,True,2020-02-03,2020-03-02,-0.0859796404838562,1.1963784296575852e-08
a,2020-01-23,2020-02-03,2020-03-02,603986.SH,2,719.4473260816,995.24959117232,0.38335296427168664,True,2020-02-03,2020-03-02,0.38331496715545654,3.799711623009294e-05
a,2020-01-23,2020-02-03,2020-03-02,300223.SZ,3,241.52588418593,307.70819524561,0.2740174672489013,True,2020-02-03,2020-03-02,0.2740814685821533,-6.400133325201729e-05
a,2020-01-23,2020-02-03,2020-03-02,300548.SZ,4,70.436075957615,120.74033634939,0.7141831754234245,True,2020-02-03,2020-03-02,0.7140008211135864,0.0001823543098380398
a,2020-01-23,2020-02-03,2020-03-02,603699.SH,5,13.564736145353,15.368074813506,0.13294314381270045,True,2020-02-03,2020-03-02,0.13354706764221191,-0.0006039238295114657
a,2020-01-23,2020-02-03,2020-03-02,300442.SZ,6,15.452033431608,17.23920818848,0.1156595191682821,True,2020-02-03,2020-03-02,0.11668753623962402,-0.0010280170713419245
a,2020-01-23,2020-02-03,2020-03-02,688018.SH,7,205.9,272.82,0.3250121418164156,True,2020-02-03,2020-03-02,0.3249690532684326,4.3088547982961245e-05
a,2020-01-23,2020-02-03,2020-03-02,300413.SZ,8,71.546307451208,76.178802178265,0.06474820143885407,True,2020-02-03,2020-03-02,0.06468665599822998,6.154544062408895e-05
a,2020-01-23,2020-02-03,2020-03-02,000708.SZ,9,39.105305865398,58.800233819436,0.5036382536382331,True,2020-02-03,2020-03-02,0.5028834342956543,0.0007548193425788163
a,2020-01-23,2020-02-03,2020-03-02,300502.SZ,10,142.38840436649,224.35852197331,0.5756797259686901,True,2020-02-03,2020-03-02,0.5764704942703247,-0.0007907683016346034
a,2020-01-23,2020-02-03,2020-03-02,688099.SH,11,62.82,65.89,0.048869786692136374,True,2020-02-03,2020-03-02,0.04880797863006592,6.180806207045642e-05
a,2020-01-23,2020-02-03,2020-03-02,300620.SZ,12,36.360101263804,40.776266981503,0.12145636464701592,True,2020-02-03,2020-03-02,0.12146532535552979,-8.960708513860993e-06
a,2020-01-23,2020-02-03,2020-03-02,688036.SH,13,61.19,59.79,-0.022879555482921976,True,2020-02-03,2020-03-02,-0.022819876670837402,-5.967881208457371e-05
a,2020-01-23,2020-02-03,2020-03-02,603806.SH,14,63.43348041137,66.735112282172,0.052048726467327944,True,2020-02-03,2020-03-02,0.051087021827697754,0.0009617046396301898
a,2020-01-23,2020-02-03,2020-03-02,000858.SZ,15,1682.919097992,1817.949862328,0.08023604016206964,True,2020-02-03,2020-03-02,0.0802927017211914,-5.6661559121762295e-05
a,2020-01-23,2020-02-03,2020-03-02,000786.SZ,16,192.51742537197,229.13624007347,0.19021039072565737,True,2020-02-03,2020-03-02,0.19009506702423096,0.00011532370142641746
a,2020-01-23,2020-02-03,2020-03-02,603816.SH,17,60.59114076117,61.722724035147,0.018675721561957737,True,2020-02-03,2020-03-02,0.01870274543762207,-2.702387566433373e-05
a,2020-01-23,2020-02-03,2020-03-02,603606.SH,18,42.429923617581,45.311211453938,0.06790697674419399,True,2020-02-03,2020-03-02,0.0675356388092041,0.00037133793498989043
a,2020-01-23,2020-02-03,2020-03-02,603179.SH,19,27.788284298896,33.741876901435,0.2142482975379496,True,2020-02-03,2020-03-02,0.2140026092529297,0.00024568828501991824
a,2020-01-23,2020-02-03,2020-03-02,603899.SH,20,95.468537677732,94.83335113297,-0.006653359946772963,True,2020-02-03,2020-03-02,-0.006619095802307129,-3.4264144465834256e-05
a,2020-01-23,2020-02-03,2020-03-02,600595.SH,21,14.542542454329,13.960840756156,-0.039999999999989044,True,2020-02-03,2020-03-02,-0.03589743375778198,-0.004102566242207062
