market,signal_date,symbol,target_weight,prediction,original_label_start,original_label_end,original_return,amt_log_20,is_holdout,rank,original_start_close,original_end_close,original_signal_close,original_start_volume,original_end_volume,original_start_amount,original_end_amount,high_52w
a,2020-01-23,688266.SH,0.03333333333333333,1.3348726319249424,2020-02-03,2020-03-02,-0.0859796404838562,,False,1,66.76000213623047,61.02000045776367,74.58999633789062,20249636.0,2778737.0,1372745984.0,167557296.0,
a,2020-01-23,603986.SH,0.03333333333333333,0.41264351005931355,2020-02-03,2020-03-02,0.38331496715545654,1.1836786832373378,False,2,127.18000030517578,175.92999267578125,141.30999755859375,4633900.0,13593300.0,589339392.0,2461610752.0,
a,2020-01-23,300223.SZ,0.03333333333333333,0.3846135564060907,2020-02-03,2020-03-02,0.2740814685821533,1.3210073788078254,False,3,90.62999725341797,115.47000122070312,100.70999908447266,1075800.0,8951535.0,98543280.0,1053246336.0,
a,2020-01-23,300548.SZ,0.03333333333333333,0.37919990609663284,2020-02-03,2020-03-02,0.7140008211135864,-0.9356526413407544,False,4,25.06999969482422,42.970001220703125,27.850000381469727,1778654.0,1684934.0,124347144.0,200115376.0,
a,2020-01-23,603699.SH,0.03333333333333333,0.3713938518809686,2020-02-03,2020-03-02,0.13354706764221191,-1.451660502659396,False,5,9.359999656677246,10.609999656677246,10.40999984741211,2897120.0,4515140.0,34656224.0,60784128.0,
a,2020-01-23,300442.SZ,0.03333333333333333,0.3658824954526234,2020-02-03,2020-03-02,0.11668753623962402,-2.410096177827232,False,6,7.96999979019165,8.899999618530273,8.859999656677246,3353400.0,1055742.0,51689688.0,17910484.0,
a,2020-01-23,688018.SH,0.03333333333333333,0.36183734897422193,2020-02-03,2020-03-02,0.3249690532684326,0.18008103945974815,False,7,72.93000030517578,96.62999725341797,79.30000305175781,2132876.0,1773609.0,431905472.0,451185792.0,
a,2020-01-23,300413.SZ,0.03333333333333333,0.36161779433119645,2020-02-03,2020-03-02,0.06468665599822998,0.6678776000604238,False,8,39.72999954223633,42.29999923706055,43.81999969482422,16295323.0,20496146.0,699757760.0,901436544.0,
a,2020-01-23,000708.SZ,0.03333333333333333,0.3524758599557108,2020-02-03,2020-03-02,0.5028834342956543,-1.4324665200483555,False,9,8.670000076293945,13.029999732971191,9.630000114440918,3008500.0,7826500.0,26083696.0,99279152.0,
a,2020-01-23,300502.SZ,0.03333333333333333,0.32725329156917976,2020-02-03,2020-03-02,0.5764704942703247,-0.9442173236644293,False,10,8.5,13.399999618530273,9.449999809265137,3157600.0,11925000.0,26839600.0,155621248.0,
a,2020-01-23,688099.SH,0.03333333333333333,0.31804680550315545,2020-02-03,2020-03-02,0.04880797863006592,0.2854034929710018,False,11,62.08000183105469,65.11000061035156,77.58999633789062,3204076.0,3077520.0,202588768.0,199222752.0,
a,2020-01-23,300620.SZ,0.03333333333333333,0.3059324958765719,2020-02-03,2020-03-02,0.12146532535552979,-1.332492320249041,False,12,15.5600004196167,17.450000762939453,17.290000915527344,205100.0,3061219.0,7379498.0,120632216.0,
a,2020-01-23,688036.SH,0.03333333333333333,0.2977677454886265,2020-02-03,2020-03-02,-0.022819876670837402,-0.139350453375707,False,13,36.810001373291016,35.970001220703125,43.91999816894531,8980200.0,2885500.0,326834368.0,102767080.0,
a,2020-01-23,603806.SH,0.03333333333333333,0.27651042363407846,2020-02-03,2020-03-02,0.051087021827697754,-1.05852828585929,False,14,9.199999809265137,9.670000076293945,9.920000076293945,2498949.0,2365085.0,110857936.0,112422576.0,
a,2020-01-23,000858.SZ,0.03333333333333333,0.2696871236683957,2020-02-03,2020-03-02,0.0802927017211914,2.238735938100224,False,15,92.91000366210938,100.37000274658203,103.23999786376953,16763900.0,26982200.0,1557533952.0,2680006912.0,
a,2020-01-23,000786.SZ,0.03333333333333333,0.26202086377293893,2020-02-03,2020-03-02,0.19009506702423096,-0.05085372196505362,False,16,19.989999771118164,23.790000915527344,22.100000381469727,13584685.0,24296268.0,316039040.0,662337472.0,
a,2020-01-23,603816.SH,0.03333333333333333,0.2616973839551042,2020-02-03,2020-03-02,0.01870274543762207,-0.7244951865529655,False,17,25.1299991607666,25.600000381469727,27.920000076293945,3169860.0,3114161.0,130957304.0,129653008.0,
a,2020-01-23,603606.SH,0.03333333333333333,0.26139053144422036,2020-02-03,2020-03-02,0.0675356388092041,-0.5249102725038692,False,18,8.4399995803833,9.010000228881836,9.369999885559082,1828600.0,16403946.0,19657450.0,186665344.0,
a,2020-01-23,603179.SH,0.03333333333333333,0.25760219856493755,2020-02-03,2020-03-02,0.2140026092529297,-1.3755255345251753,False,19,7.570000171661377,9.1899995803833,8.40999984741211,252400.0,2043191.0,4818316.0,46477516.0,
a,2020-01-23,603899.SH,0.03333333333333333,0.25634311972444745,2020-02-03,2020-03-02,-0.006619095802307129,-0.4450805932585235,False,20,39.279998779296875,39.02000045776367,43.650001525878906,5135700.0,8132700.0,201730304.0,315914720.0,
a,2020-01-23,600595.SH,0.03333333333333333,0.24640065245609666,2020-02-03,2020-03-02,-0.03589743375778198,-2.333899129604204,False,21,1.9500000476837158,1.8799999952316284,2.059999942779541,375100.0,7310798.0,750200.0,13952001.0,
a,2020-01-23,601818.SH,0.03333333333333333,0.24017317079774778,2020-02-03,2020-03-02,0.03585648536682129,0.22741990411787025,False,22,2.509999990463257,2.5999999046325684,2.7100000381469727,254846496.0,92980000.0,635842048.0,239423504.0,
a,2020-01-23,002461.SZ,0.03333333333333333,0.23986068654643708,2020-02-03,2020-03-02,0.02807021141052246,-1.4189481224293965,False,23,5.699999809265137,5.860000133514404,6.329999923706055,1258600.0,6413227.0,7941766.0,41457100.0,
a,2020-01-23,002831.SZ,0.03333333333333333,0.23675542011407802,2020-02-03,2020-03-02,-0.07885301113128662,-0.7321715610137464,False,24,16.739999771118164,15.420000076293945,18.600000381469727,3944243.0,5874669.0,107915096.0,147886912.0,
a,2020-01-23,601567.SH,0.03333333333333333,0.23378828478191327,2020-02-03,2020-03-02,0.18592965602874756,-1.2121811744568023,False,25,5.96999979019165,7.079999923706055,6.639999866485596,10542500.0,18973900.0,62938724.0,130730168.0,
a,2020-01-23,600995.SH,0.03333333333333333,0.2314278125973234,2020-02-03,2020-03-02,0.06761002540588379,-1.5010635926056317,False,26,6.360000133514404,6.789999961853027,7.070000171661377,9766100.0,6619900.0,62112396.0,44320232.0,
a,2020-01-23,002032.SZ,0.03333333333333333,0.22776677194594452,2020-02-03,2020-03-02,0.15177428722381592,-0.7685324522739372,False,27,46.779998779296875,53.880001068115234,51.970001220703125,3167670.0,2054126.0,203348240.0,151220912.0,
a,2020-01-23,600563.SH,0.03333333333333333,0.22762399869126804,2020-02-03,2020-03-02,0.13318026065826416,-0.45026661643998545,False,28,43.54999923706055,49.349998474121094,48.38999938964844,2752932.0,4186280.0,134535264.0,228329840.0,
a,2020-01-23,603568.SH,0.03333333333333333,0.22553697909617618,2020-02-03,2020-03-02,0.24952566623687744,-0.6242380593304686,False,29,10.539999961853027,13.170000076293945,11.710000038146973,5959633.0,8852783.0,142755952.0,255543200.0,
a,2020-01-23,600009.SH,0.03333333333333333,0.22348504879400988,2020-02-03,2020-03-02,0.07844734191894531,1.2677937545870586,False,30,61.060001373291016,65.8499984741211,66.0199966430664,52089900.0,19604000.0,3137635072.0,1263673856.0,
a,2020-02-28,601696.SH,0.03333333333333333,1.035636549260205,2020-03-02,2020-04-01,1.0594539642333984,,False,1,10.260000228881836,21.1299991607666,9.329999923706055,777446.0,76823632.0,8155409.0,1683814144.0,
a,2020-02-28,603290.SH,0.03333333333333333,0.7610123886335503,2020-03-02,2020-04-01,0.10365772247314453,,False,2,77.37000274658203,85.38999938964844,70.33000183105469,984867.0,11355842.0,110590712.0,1385620352.0,
a,2020-02-28,002414.SZ,0.03333333333333333,0.5871210976717234,2020-03-02,2020-04-01,-0.3277931213378906,1.0436617264632524,False,3,10.829999923706055,7.28000020980835,10.449999809265137,24462352.0,8523978.0,1180518912.0,285552736.0,
a,2020-02-28,603160.SH,0.03333333333333333,0.5537995964790876,2020-03-02,2020-04-01,-0.15536737442016602,1.5579744893408687,False,4,298.8399963378906,252.41000366210938,301.6199951171875,6485692.0,3069928.0,1986274560.0,806001088.0,
a,2020-02-28,603345.SH,0.03333333333333333,0.5255312540462905,2020-03-02,2020-04-01,0.14333128929138184,-0.6592917931153821,False,5,66.27999877929688,75.77999877929688,65.16999816894531,3735580.0,1696199.0,278939296.0,144229440.0,
a,2020-02-28,300548.SZ,0.03333333333333333,0.5246678266599322,2020-03-02,2020-04-01,-0.2939260005950928,-0.6265657176699192,False,6,42.970001220703125,30.34000015258789,42.75,1684934.0,1050645.0,200115376.0,88916328.0,
a,2020-02-28,603893.SH,0.03333333333333333,0.5200396120763456,2020-03-02,2020-04-01,-0.1324911117553711,,False,7,61.7400016784668,53.560001373291016,56.130001068115234,800800.0,8452800.0,49441392.0,435826368.0,
a,2020-02-28,603129.SH,0.03333333333333333,0.5167403050751843,2020-03-02,2020-04-01,-0.21787863969802856,-0.9368039230678246,False,8,36.58000183105469,28.610000610351562,36.369998931884766,3659917.0,1632617.0,146699264.0,51278744.0,
a,2020-02-28,002837.SZ,0.03333333333333333,0.5034041109263626,2020-03-02,2020-04-01,-0.1666666865348816,-1.1833631369643236,False,9,7.739999771118164,6.449999809265137,7.449999809265137,9507500.0,4765600.0,72399616.0,31286164.0,
a,2020-02-28,600595.SH,0.03333333333333333,0.48973279072531595,2020-03-02,2020-04-01,-0.0691489577293396,-2.4560764097442265,False,10,1.8799999952316284,1.75,1.840000033378601,7310798.0,2570900.0,13952001.0,4592883.0,
a,2020-02-28,300475.SZ,0.03333333333333333,0.48938112943790735,2020-03-02,2020-04-01,-0.10981911420822144,-2.013667303039256,False,11,7.739999771118164,6.889999866485596,7.25,2981595.0,954250.0,33913980.0,9911898.0,
a,2020-02-28,688111.SH,0.03333333333333333,0.42874075620517704,2020-03-02,2020-04-01,-0.0925721526145935,0.7361357913203637,False,12,244.35000610351562,221.72999572753906,230.6999969482422,3120400.0,1167000.0,743435328.0,258834768.0,
a,2020-02-28,600995.SH,0.03333333333333333,0.4227247229032915,2020-03-02,2020-04-01,-0.0014727115631103516,-1.7896136448289415,False,13,6.789999961853027,6.78000020980835,6.579999923706055,6619900.0,3375600.0,44320232.0,22987836.0,
a,2020-02-28,603920.SH,0.03333333333333333,0.38761849612262395,2020-03-02,2020-04-01,-0.24310457706451416,0.4890433383341907,False,14,15.59000015258789,11.800000190734863,14.640000343322754,11058621.0,5265880.0,265784208.0,97686664.0,
a,2020-02-28,603179.SH,0.03333333333333333,0.3824882476264075,2020-03-02,2020-04-01,-0.14036989212036133,-1.4188561298760154,False,15,9.1899995803833,7.900000095367432,8.710000038146973,2043191.0,1674972.0,46477516.0,34011692.0,
