market,signal_date,entry_date,exit_date,stocks,turnover,gross_return,net_return,signal_observable_gross_return,signal_observable_net_same_cost,benchmark_return
a,2020-01-23,2020-02-03,2020-03-02,30,1.0,0.1525314704093836,0.1495314704093836,0.1525314704093836,0.1495314704093836,0.1033816187789589
a,2020-02-28,2020-03-02,2020-04-01,30,0.8,-0.08204712624982775,-0.08444712624982775,-0.08204712624982775,-0.08444712624982775,-0.09695891029097181
a,2020-03-31,2020-04-01,2020-05-06,30,0.9,0.23641118798253755,0.23371118798253754,0.23641118798253755,0.23371118798253754,0.07106740492264141
a,2020-05-29,2020-06-01,2020-07-01,30,0.7333333333333334,0.15126561851878284,0.14906561851878283,0.15126561851878284,0.14906561851878283,0.06960957411807711
a,2020-06-30,2020-07-01,2020-08-03,30,0.6666666666666667,0.17622183186910337,0.17422183186910337,0.17622183186910337,0.17422183186910337,0.12324717114231465
a,2020-07-31,2020-08-03,2020-09-01,30,0.8,0.09592581836518004,0.09352581836518004,0.09592581836518004,0.09352581836518004,0.014841099850380735
a,2020-11-30,2020-12-01,2021-01-04,30,0.9,0.046207770754152784,0.04350777075415278,0.046207770754152784,0.04350777075415278,0.03959264022961628
a,2020-12-31,2021-01-04,2021-02-01,30,0.8666666666666667,0.08034486533792536,0.07774486533792535,0.011207378601530031,0.008607378601530031,0.02846209632971819
a,2021-01-29,2021-02-01,2021-03-01,30,0.8333333333333334,-0.00015368885726065504,-0.0026536888572606552,-0.00015368885726065504,-0.0026536888572606552,0.00020955586560389428
a,2021-02-26,2021-03-01,2021-04-01,30,0.7333333333333334,-0.035514487696196875,-0.037714487696196876,-0.035514487696196875,-0.037714487696196876,-0.0568405969036927
a,2021-03-31,2021-04-01,2021-05-06,30,0.8333333333333334,0.015102660551995706,0.012602660551995706,0.015102660551995706,0.012602660551995706,-0.00971523546087949
a,2021-04-30,2021-05-06,2021-06-01,30,0.7666666666666666,0.09296058986544328,0.09066058986544329,0.09296058986544328,0.09066058986544329,0.055433413175933755
a,2021-05-31,2021-06-01,2021-07-01,30,0.8,0.14902805443719774,0.14662805443719773,0.14902805443719774,0.14662805443719773,-0.020970107568034968
a,2021-06-30,2021-07-01,2021-08-02,30,0.7666666666666666,0.05206836948666135,0.04976836948666136,0.05206836948666135,0.04976836948666136,-0.05658646304670967
a,2021-07-30,2021-08-02,2021-09-01,30,0.8333333333333334,0.05351080813166283,0.05101080813166283,0.05351080813166283,0.05101080813166283,-0.01302811905622836
a,2021-09-30,2021-10-08,2021-11-01,30,0.6666666666666667,0.03515799360498984,0.03315799360498984,0.03515799360498984,0.03315799360498984,-0.00796273237271461
a,2021-12-31,2022-01-04,2022-02-07,30,0.7666666666666666,-0.0938417548114186,-0.0961417548114186,-0.0938417548114186,-0.0961417548114186,-0.05768380203097534
a,2022-01-28,2022-02-07,2022-03-01,30,0.7,0.025513508758755268,0.023413508758755266,0.025513508758755268,0.023413508758755266,-0.0031082046984025613
a,2022-02-28,2022-03-01,2022-04-01,30,0.7,-0.10097158483791263,-0.10307158483791264,-0.10097158483791263,-0.10307158483791264,-0.07436180405500259
a,2022-06-30,2022-07-01,2022-08-01,30,0.8,0.03756904416568906,0.03516904416568906,0.0139513919766083,0.011551391976608299,-0.06224693527209313
a,2022-07-29,2022-08-01,2022-09-01,30,0.7666666666666666,0.02437103903892032,0.02207103903892032,0.02437103903892032,0.02207103903892032,-0.03460253716303441
a,2022-08-31,2022-09-01,2022-10-10,30,0.7666666666666666,-0.07834065741288529,-0.08064065741288529,-0.07834065741288529,-0.08064065741288529,-0.07982784252051855
a,2022-09-30,2022-10-10,2022-11-01,30,0.7,0.08506127294854021,0.08296127294854021,0.08506127294854021,0.08296127294854021,-0.023317597599421425
a,2022-10-31,2022-11-01,2022-12-01,30,0.8,0.08380000673241023,0.08140000673241023,0.08380000673241023,0.08140000673241023,0.0717069566194588
a,2022-11-30,2022-12-01,2023-01-03,30,0.6333333333333333,-0.02272497530764633,-0.02462497530764633,-0.02272497530764633,-0.02462497530764633,-0.0017637761133286745
a,2022-12-30,2023-01-03,2023-02-01,30,0.8333333333333334,0.03440843341506493,0.03190843341506493,0.03440843341506493,0.03190843341506493,0.07922890593459853
a,2023-01-31,2023-02-01,2023-03-01,30,0.8333333333333334,0.04306919612466022,0.040569196124660215,0.025027669749800516,0.022527669749800517,-0.01644251629172755
a,2023-02-28,2023-03-01,2023-04-03,30,0.7333333333333334,-0.0037388137896072426,-0.005938813789607243,-0.0037388137896072426,-0.005938813789607243,-0.008813766805272127
a,2023-03-31,2023-04-03,2023-05-04,30,0.7,0.05715494918248349,0.05505494918248349,0.05715494918248349,0.05505494918248349,-0.014746242061859482
a,2023-04-28,2023-05-04,2023-06-01,30,0.8,-0.005208390970159534,-0.007608390970159534,-0.005208390970159534,-0.007608390970159534,-0.055425683452510865
a,2023-05-31,2023-06-01,2023-07-03,30,0.5333333333333333,-0.003464878644444713,-0.005064878644444713,-0.003464878644444713,-0.005064878644444713,0.022594479834721737
a,2023-06-30,2023-07-03,2023-08-01,30,0.6666666666666667,0.03770883315201792,0.03570883315201792,0.03770883315201792,0.03570883315201792,0.027002847067985947
a,2023-07-31,2023-08-01,2023-09-01,30,0.6333333333333333,-0.03857678842710921,-0.04047678842710921,-0.02811594590519799,-0.030015945905197988,-0.051653263718543396
a,2023-08-31,2023-09-01,2023-10-09,30,0.6333333333333333,0.05371256809397618,0.051812568093976184,0.05371256809397618,0.051812568093976184,-0.028158841566083614
a,2023-09-28,2023-10-09,2023-11-01,30,0.8,-0.038673004486371634,-0.041073004486371634,-0.038673004486371634,-0.041073004486371634,-0.030857209727764845
a,2023-10-31,2023-11-01,2023-12-01,30,0.7333333333333334,0.03537673955190061,0.03317673955190061,0.03537673955190061,0.03317673955190061,-0.024683516796905614
a,2023-11-30,2023-12-01,2024-01-02,30,0.6666666666666667,-0.0018108315164816072,-0.0038108315164816077,-0.0018108315164816072,-0.0038108315164816077,-0.02771529997304245
a,2023-12-29,2024-01-02,2024-02-01,30,0.6,-0.11361840248013115,-0.11541840248013115,-0.11361840248013115,-0.11541840248013115,-0.04980028362082356
a,2024-01-31,2024-02-01,2024-03-01,30,0.7666666666666666,0.22404965716625333,0.22174965716625333,0.22404965716625333,0.22174965716625333,0.09947845221272056
a,2024-02-29,2024-03-01,2024-04-01,30,0.6333333333333333,0.09498092239936315,0.09308092239936315,0.0967143584548331,0.0948143584548331,0.016349917426172755
a,2024-03-29,2024-04-01,2024-05-06,30,0.8,0.018895430340319597,0.016495430340319597,0.018895430340319597,0.016495430340319597,0.017307067941549015
a,2024-04-30,2024-05-06,2024-06-03,30,0.6666666666666667,-0.00013641982351688675,-0.002136419823516887,-0.00013641982351688675,-0.002136419823516887,-0.018898504698094287
a,2024-05-31,2024-06-03,2024-07-01,30,0.5666666666666667,-0.02532049021968906,-0.02702049021968906,-0.02532049021968906,-0.02702049021968906,-0.03080895921288218
a,2024-06-28,2024-07-01,2024-08-01,30,0.8666666666666667,-0.018968983085343425,-0.021568983085343427,-0.018968983085343425,-0.021568983085343427,-0.016938759427444605
a,2024-07-31,2024-08-01,2024-09-02,30,0.8666666666666667,-0.02084181136988326,-0.023441811369883263,-0.02084181136988326,-0.023441811369883263,-0.04511365098000841
