market,fee_per_side,date,signal_date,equity_before_trades,cash,holdings_value,equity,net_value,cash_weight,signal_exclusion_reserved_cash,trade_gross,fees_paid,held_stocks,pending_orders,stale_market_value,max_stale_trading_days,benchmark_close,benchmark_nav,account_evidence_status
a,0.0015,2020-02-03,2020-01-23,1000000.0,25820.080333332837,972720.8384090532,998540.918742386,0.998540918742386,0.02585780897777527,0.0,972720.8384090535,1459.08125761358,30,1,0.0,0,3688.3578,1.0,complete_account
a,0.0015,2020-02-04,2020-01-23,1052441.3511016709,1291.0040166653707,1051113.6085782906,1052404.6125949558,1.0524046125949558,0.0012267183184251644,0.0,24492.337809952536,36.7385067149288,30,0,0.0,0,3785.6376,1.0263748273011908,complete_account
a,0.0015,2020-02-05,2020-01-23,1069410.6408449877,1291.0040166653707,1068119.6368283224,1069410.6408449877,1.0694106408449877,0.0012072107452056886,0.0,0.0,0.0,30,0,0.0,0,3828.5272,1.0380032002318214,complete_account
a,0.0015,2020-02-06,2020-01-23,1081863.6672015483,1291.0040166653707,1080572.663184883,1081863.6672015483,1.0818636672015483,0.0011933148841247296,0.0,0.0,0.0,30,0,0.0,0,3899.7751,1.057320171052819,complete_account
a,0.0015,2020-02-07,2020-01-23,1103662.7311039632,1291.0040166653707,1102371.727087298,1103662.7311039632,1.1036627311039633,0.0011697450500788545,0.0,0.0,0.0,30,0,0.0,0,3899.8693,1.0573457108743625,complete_account
a,0.0015,2020-02-10,2020-01-23,1114572.4937420099,1291.0040166653707,1113281.4897253446,1114572.4937420099,1.1145724937420098,0.0011582952422690951,0.0,0.0,0.0,30,0,0.0,0,3916.0052,1.0617205304756496,complete_account
a,0.0015,2020-02-11,2020-01-23,1115182.6343963074,1291.0040166653707,1113891.6303796421,1115182.6343963074,1.1151826343963074,0.001157661513770112,0.0,0.0,0.0,30,0,0.0,0,3952.4643,1.071605444569396,complete_account
a,0.0015,2020-02-12,2020-01-23,1136611.7813943005,1291.0040166653707,1135320.7773776352,1136611.7813943005,1.1366117813943004,0.0011358355049616632,0.0,0.0,0.0,30,0,0.0,0,3984.4325,1.0802727707165503,complete_account
a,0.0015,2020-02-13,2020-01-23,1130740.1416302088,1291.0040166653707,1129449.1376135435,1130740.1416302088,1.1307401416302088,0.0011417336036236465,0.0,0.0,0.0,30,0,0.0,0,3959.9188,1.0736265337381312,complete_account
a,0.0015,2020-02-14,2020-01-23,1126602.982254936,1291.0040166653707,1125311.9782382706,1126602.982254936,1.126602982254936,0.0011459263263100727,0.0,0.0,0.0,30,0,0.0,0,3987.7342,1.0811679387504107,complete_account
a,0.0015,2020-02-17,2020-01-23,1157676.9325663657,1291.0040166653707,1156385.9285497004,1157676.9325663657,1.1576769325663656,0.001115167781570496,0.0,0.0,0.0,30,0,0.0,0,4077.4241,1.1054849667784399,complete_account
a,0.0015,2020-02-18,2020-01-23,1173594.9565550047,1291.0040166653707,1172303.9525383394,1173594.9565550047,1.1735949565550048,0.0011000422330162453,0.0,0.0,0.0,30,0,0.0,0,4057.5108,1.1000860057557322,complete_account
a,0.0015,2020-02-19,2020-01-23,1173707.0392752066,1291.0040166653707,1172416.0352585413,1173707.0392752066,1.1737070392752067,0.0010999371848895087,0.0,0.0,0.0,30,0,0.0,0,4051.3107,1.0984050137435146,complete_account
a,0.0015,2020-02-20,2020-01-23,1189758.1635490088,1291.0040166653707,1188467.1595323435,1189758.1635490088,1.1897581635490089,0.0010850978427534793,0.0,0.0,0.0,30,0,0.0,0,4144.6561,1.123713133254046,complete_account
a,0.0015,2020-02-21,2020-01-23,1193320.577419121,1291.0040166653707,1192029.5734024558,1193320.577419121,1.1933205774191211,0.0010818585056645185,0.0,0.0,0.0,30,0,0.0,0,4149.4903,1.125023797853885,complete_account
a,0.0015,2020-02-24,2020-01-23,1200075.521468861,1291.0040166653707,1198784.5174521958,1200075.521468861,1.200075521468861,0.0010757689775100284,0.0,0.0,0.0,30,0,0.0,0,4132.8388,1.120509187042537,complete_account
a,0.0015,2020-02-25,2020-01-23,1202296.8833790526,1291.0040166653707,1201005.8793623873,1202296.8833790526,1.2022968833790526,0.0010737813883680766,0.0,0.0,0.0,30,0,0.0,0,4123.8543,1.1180732791162504,complete_account
a,0.0015,2020-02-26,2020-01-23,1166632.6351134889,1291.0040166653707,1165341.6310968236,1166632.6351134889,1.1666326351134888,0.0011066071510504101,0.0,0.0,0.0,30,0,0.0,0,4073.0152,1.1042896109482652,complete_account
a,0.0015,2020-02-27,2020-01-23,1174217.1164261324,1291.0040166653707,1172926.112409467,1174217.1164261324,1.1742171164261324,0.0010994593747659658,0.0,0.0,0.0,30,0,0.0,0,4084.8759,1.1075053239140735,complete_account
a,0.0015,2020-02-28,2020-01-23,1113135.9719546903,1291.0040166653707,1111844.967938025,1113135.9719546903,1.1131359719546903,0.001159790042898659,0.0,0.0,0.0,30,0,0.0,0,3940.0488,1.0682393123573857,complete_account
a,0.0015,2020-03-02,2020-02-28,1152096.2665322754,115102.6844634091,1034372.6012687796,1149475.2857321887,1.1494752857321888,0.10013497975303697,0.0,1747320.5333909697,2620.9808000864527,27,3,0.0,0,4069.6662,1.103381618778959,complete_account
a,0.0015,2020-03-03,2020-02-28,1172384.0683852148,115102.6844634091,1057281.3839218058,1172384.0683852148,1.1723840683852147,0.09817830825861186,0.0,0.0,0.0,27,3,0.0,0,4091.3615,1.109263721648697,complete_account
a,0.0015,2020-03-04,2020-02-28,1165137.4469210163,70988.96712095846,1094082.4083312473,1165071.3754522058,1.1650713754522057,0.060931002697929226,0.0,44047.64587364018,66.07146881046026,28,2,0.0,0,4115.0524,1.1156868783174994,complete_account
a,0.0015,2020-03-05,2020-02-28,1177363.3740252058,70988.96712095846,1106374.4069042474,1177363.3740252058,1.1773633740252059,0.06029486621301902,0.0,0.0,0.0,28,2,0.0,0,4206.7251,1.1405414897654451,complete_account
a,0.0015,2020-03-06,2020-02-28,1176952.2047228862,16319.719297924443,1160550.6043748024,1176870.323672727,1.176870323672727,0.013867049724726303,0.0,54587.36677287471,81.88105015931207,29,1,0.0,0,4138.5072,1.122046022758421,complete_account
a,0.0015,2020-03-09,2020-02-28,1128719.0361033038,16319.719297924443,1112399.3168053792,1128719.0361033038,1.1287190361033037,0.014458619705985727,0.0,0.0,0.0,29,1,0.0,0,3997.1325,1.0837160375275956,complete_account
a,0.0015,2020-03-10,2020-02-28,1143442.4982469673,16319.719297924443,1127122.7789490428,1143442.4982469673,1.1434424982469673,0.014272444240042243,0.0,0.0,0.0,29,1,0.0,0,4082.7315,1.1069239269574116,complete_account
a,0.0015,2020-03-11,2020-02-28,1116134.4767536814,16319.719297924443,1099814.757455757,1116134.4767536814,1.1161344767536814,0.014621642497229323,0.0,0.0,0.0,29,1,0.0,0,4028.4289,1.0922012229941465,complete_account
a,0.0015,2020-03-12,2020-02-28,1099398.33731065,16319.719297924443,1083078.6180127254,1099398.33731065,1.09939833731065,0.014844227741735327,0.0,0.0,0.0,29,1,0.0,0,3950.9111,1.071184335749639,complete_account
a,0.0015,2020-03-13,2020-02-28,1085606.9812215804,16319.719297924443,1069287.2619236559,1085606.9812215804,1.0856069812215805,0.015032806144596327,0.0,0.0,0.0,29,1,0.0,0,3895.3128,1.0561103372346359,complete_account
a,0.0015,2020-03-16,2020-02-28,1028435.4734078697,0.0,1028411.0304932947,1028411.0304932947,1.0284110304932947,0.0,0.0,16295.27638334942,24.44291457502413,30,1,0.0,0,3727.8398,1.0107044929317865,complete_account
a,0.0015,2020-03-17,2020-02-28,1037379.6068201036,0.0,1037379.6068201036,1037379.6068201036,1.0373796068201036,0.0,0.0,0.0,0.0,30,1,0.0,0,3709.6822,1.005781543211453,complete_account
a,0.0015,2020-03-18,2020-02-28,1020854.7977124235,0.0,1020854.7977124235,1020854.7977124235,1.0208547977124234,0.0,0.0,0.0,0.0,30,1,0.0,0,3636.2565,0.9858741199132036,complete_account
a,0.0015,2020-03-19,2020-02-28,1025993.7635028047,0.0,1025993.7635028047,1025993.7635028047,1.0259937635028047,0.0,0.0,0.0,0.0,30,1,0.0,0,3589.0926,0.9730868843581281,complete_account
a,0.0015,2020-03-20,2020-02-28,1031143.0283403578,0.0,1031143.0283403578,1031143.0283403578,1.0311430283403578,0.0,0.0,0.0,0.0,30,1,0.0,0,3653.2239,0.9904743785974343,complete_account
a,0.0015,2020-03-23,2020-02-28,985953.5058768154,0.0,985953.5058768154,985953.5058768154,0.9859535058768154,0.0,0.0,0.0,0.0,30,1,0.0,0,3530.3058,0.957148408974856,complete_account
a,0.0015,2020-03-24,2020-02-28,996376.3136998473,0.0,996376.3136998473,996376.3136998473,0.9963763136998474,0.0,0.0,0.0,0.0,30,1,0.0,0,3625.1146,0.9828532904264331,complete_account
a,0.0015,2020-03-25,2020-02-28,1022411.7966764502,0.0,1022411.7966764502,1022411.7966764502,1.02241179667645,0.0,0.0,0.0,0.0,30,1,0.0,0,3722.5181,1.00926165568861,complete_account
a,0.0015,2020-03-26,2020-02-28,1014699.2211694065,0.0,1014699.2211694065,1014699.2211694065,1.0146992211694066,0.0,0.0,0.0,0.0,30,1,0.0,0,3698.0472,1.002627022790468,complete_account
a,0.0015,2020-03-27,2020-02-28,1009550.5737117534,0.0,1009550.5737117534,1009550.5737117534,1.0095505737117534,0.0,0.0,0.0,0.0,30,1,0.0,0,3710.0605,1.005884109182683,complete_account
a,0.0015,2020-03-30,2020-02-28,976822.5234791884,0.0,976822.5234791884,976822.5234791884,0.9768225234791884,0.0,0.0,0.0,0.0,30,1,0.0,0,3674.1108,0.9961373053340974,complete_account
