market,fee_per_side,date,code,market_value,last_quote_date,missing_quote_trading_days,last_positive_volume_quote_date,nontrading_quote_days,account_evidence_status
a,0.0015,2022-01-24,000528.SZ,81461.83000281044,2022-01-13,7,2022-01-13,7,complete_account
a,0.0015,2022-01-25,000528.SZ,81461.83000281044,2022-01-13,8,2022-01-13,8,complete_account
a,0.0015,2022-01-26,000528.SZ,81461.83000281044,2022-01-13,9,2022-01-13,9,complete_account
a,0.0015,2022-01-27,000528.SZ,81461.83000281044,2022-01-13,10,2022-01-13,10,complete_account
a,0.0015,2022-05-20,300140.SZ,70025.99603370579,2022-05-19,1,2022-05-19,1,complete_account
a,0.0015,2022-05-23,300140.SZ,70025.99603370579,2022-05-19,2,2022-05-19,2,complete_account
a,0.0015,2022-05-24,300140.SZ,70025.99603370579,2022-05-19,3,2022-05-19,3,complete_account
a,0.0015,2022-05-25,300140.SZ,70025.99603370579,2022-05-19,4,2022-05-19,4,complete_account
a,0.0015,2022-05-26,300140.SZ,70025.99603370579,2022-05-19,5,2022-05-19,5,complete_account
a,0.0015,2022-05-27,300140.SZ,70025.99603370579,2022-05-19,6,2022-05-19,6,complete_account
a,0.0015,2022-05-30,300140.SZ,70025.99603370579,2022-05-19,7,2022-05-19,7,complete_account
a,0.0015,2022-05-31,300140.SZ,70025.99603370579,2022-05-19,8,2022-05-19,8,complete_account
a,0.0015,2022-06-01,300140.SZ,70025.99603370579,2022-05-19,9,2022-05-19,9,complete_account
a,0.0015,2022-06-02,300140.SZ,70025.99603370579,2022-05-19,10,2022-05-19,10,complete_account
a,0.0015,2022-10-17,600282.SH,73408.19819591862,2022-10-14,1,2022-10-14,1,complete_account
a,0.0015,2022-10-18,600282.SH,73408.19819591862,2022-10-14,2,2022-10-14,2,complete_account
a,0.0015,2022-10-19,600282.SH,73408.19819591862,2022-10-14,3,2022-10-14,3,complete_account
a,0.0015,2023-06-13,600601.SH,85434.09938447722,2023-06-12,1,2023-06-12,1,complete_account
a,0.0015,2023-08-14,300757.SZ,84859.82354189878,2023-08-11,1,2023-08-11,1,complete_account
a,0.0015,2023-08-15,300757.SZ,84859.82354189878,2023-08-11,2,2023-08-11,2,complete_account
a,0.0015,2023-08-16,300757.SZ,84859.82354189878,2023-08-11,3,2023-08-11,3,complete_account
a,0.0015,2023-08-17,300757.SZ,84859.82354189878,2023-08-11,4,2023-08-11,4,complete_account
a,0.0015,2023-08-18,300757.SZ,84859.82354189878,2023-08-11,5,2023-08-11,5,complete_account
a,0.0015,2023-08-21,300757.SZ,84859.82354189878,2023-08-11,6,2023-08-11,6,complete_account
a,0.0015,2023-08-22,300757.SZ,84859.82354189878,2023-08-11,7,2023-08-11,7,complete_account
a,0.0015,2023-08-23,300757.SZ,84859.82354189878,2023-08-11,8,2023-08-11,8,complete_account
a,0.0015,2023-08-24,300757.SZ,84859.82354189878,2023-08-11,9,2023-08-11,9,complete_account
a,0.0015,2023-08-25,300757.SZ,84859.82354189878,2023-08-11,10,2023-08-11,10,complete_account
a,0.0015,2025-06-30,688313.SH,211463.67176871392,2025-06-27,1,2025-06-27,1,complete_account
a,0.0015,2025-07-01,688313.SH,211463.67176871392,2025-06-27,2,2025-06-27,2,complete_account
a,0.0015,2025-07-02,688313.SH,211463.67176871392,2025-06-27,3,2025-06-27,3,complete_account
a,0.0015,2025-07-03,688313.SH,211463.67176871392,2025-06-27,4,2025-06-27,4,complete_account
a,0.0015,2025-07-04,688313.SH,211463.67176871392,2025-06-27,5,2025-06-27,5,complete_account
a,0.0015,2025-07-07,688313.SH,211463.67176871392,2025-06-27,6,2025-06-27,6,complete_account
a,0.0015,2025-07-08,688313.SH,211463.67176871392,2025-06-27,7,2025-06-27,7,complete_account
a,0.0015,2025-07-09,688313.SH,211463.67176871392,2025-06-27,8,2025-06-27,8,complete_account
a,0.0015,2025-07-10,688313.SH,211463.67176871392,2025-06-27,9,2025-06-27,9,complete_account
a,0.003,2020-10-29,300442.SZ,49335.2518783399,2020-10-28,1,2020-10-28,1,complete_account
a,0.003,2020-10-30,300442.SZ,49335.2518783399,2020-10-28,2,2020-10-28,2,complete_account
a,0.003,2020-11-02,300442.SZ,49335.2518783399,2020-10-28,3,2020-10-28,3,complete_account
a,0.003,2020-11-02,600486.SH,59075.52174308751,2020-10-30,1,2020-10-30,1,complete_account
a,0.003,2020-11-03,300442.SZ,49335.2518783399,2020-10-28,4,2020-10-28,4,complete_account
a,0.003,2020-11-03,600486.SH,59075.52174308751,2020-10-30,2,2020-10-30,2,complete_account
a,0.003,2020-11-04,300442.SZ,49335.2518783399,2020-10-28,5,2020-10-28,5,complete_account
a,0.003,2020-11-04,600486.SH,59075.52174308751,2020-10-30,3,2020-10-30,3,complete_account
a,0.003,2020-11-05,300442.SZ,49335.2518783399,2020-10-28,6,2020-10-28,6,complete_account
a,0.003,2020-11-05,600486.SH,59075.52174308751,2020-10-30,4,2020-10-30,4,complete_account
a,0.003,2020-11-06,300442.SZ,49335.2518783399,2020-10-28,7,2020-10-28,7,complete_account
a,0.003,2020-11-06,600486.SH,59075.52174308751,2020-10-30,5,2020-10-30,5,complete_account
a,0.003,2020-11-09,300442.SZ,49335.2518783399,2020-10-28,8,2020-10-28,8,complete_account
a,0.003,2020-11-10,300442.SZ,49335.2518783399,2020-10-28,9,2020-10-28,9,complete_account
a,0.003,2020-11-11,300442.SZ,49335.2518783399,2020-10-28,10,2020-10-28,10,complete_account
a,0.003,2021-04-16,000737.SZ,56979.05755787207,2021-04-15,1,2021-04-15,1,complete_account
a,0.003,2021-04-30,600329.SH,67376.53070839323,2021-04-29,1,2021-04-29,1,complete_account
a,0.003,2021-07-16,600816.SH,65465.15059516991,2021-07-16,0,2021-07-15,1,complete_account
a,0.003,2021-07-19,600816.SH,65465.15059516991,2021-07-16,1,2021-07-15,2,complete_account
a,0.003,2021-07-20,600816.SH,65465.15059516991,2021-07-16,2,2021-07-15,3,complete_account
a,0.003,2021-07-21,600816.SH,65465.15059516991,2021-07-16,3,2021-07-15,4,complete_account
a,0.003,2021-07-22,600816.SH,65465.15059516991,2021-07-16,4,2021-07-15,5,complete_account
a,0.003,2021-07-23,600816.SH,65465.15059516991,2021-07-16,5,2021-07-15,6,complete_account
a,0.003,2021-09-24,000737.SZ,95798.3704446731,2021-09-23,1,2021-09-23,1,complete_account
a,0.003,2021-09-30,600039.SH,82309.83970802749,2021-09-29,1,2021-09-29,1,complete_account
a,0.003,2021-10-08,600039.SH,82309.83970802749,2021-09-29,2,2021-09-29,2,complete_account
a,0.003,2021-10-11,600039.SH,82309.83970802749,2021-09-29,3,2021-09-29,3,complete_account
a,0.003,2021-10-12,600039.SH,82309.83970802749,2021-09-29,4,2021-09-29,4,complete_account
a,0.003,2021-10-13,600039.SH,82309.83970802749,2021-09-29,5,2021-09-29,5,complete_account
a,0.003,2021-10-14,600039.SH,82309.83970802749,2021-09-29,6,2021-09-29,6,complete_account
a,0.003,2021-10-15,600039.SH,82309.83970802749,2021-09-29,7,2021-09-29,7,complete_account
a,0.003,2021-10-18,600039.SH,82309.83970802749,2021-09-29,8,2021-09-29,8,complete_account
a,0.003,2021-10-19,600039.SH,82309.83970802749,2021-09-29,9,2021-09-29,9,complete_account
a,0.003,2021-10-20,600039.SH,82309.83970802749,2021-09-29,10,2021-09-29,10,complete_account
a,0.003,2021-11-22,002265.SZ,83274.6658976621,2021-11-19,1,2021-11-19,1,complete_account
a,0.003,2021-11-23,002265.SZ,83274.6658976621,2021-11-19,2,2021-11-19,2,complete_account
a,0.003,2021-11-24,002265.SZ,83274.6658976621,2021-11-19,3,2021-11-19,3,complete_account
a,0.003,2021-11-25,002265.SZ,83274.6658976621,2021-11-19,4,2021-11-19,4,complete_account
a,0.003,2021-11-26,002265.SZ,83274.6658976621,2021-11-19,5,2021-11-19,5,complete_account
a,0.003,2021-11-29,002265.SZ,83274.6658976621,2021-11-19,6,2021-11-19,6,complete_account
a,0.003,2021-11-30,002265.SZ,83274.6658976621,2021-11-19,7,2021-11-19,7,complete_account
