date,market,rank,code,name,score,selected,target_weight
2026-09-08,hk2,78,06066.HK,中信建投证券,0.9964436621999668,False,0.0
2026-09-08,hk2,79,01776.HK,广发证券,0.9953912530687311,False,0.0
2026-09-08,hk2,80,01277.HK,力量发展,0.9947864503369317,False,0.0
2026-09-08,hk2,81,00788.HK,中国铁塔,0.9886668684305654,False,0.0
2026-09-08,hk2,82,00598.HK,中国外运,0.9732472539265076,False,0.0
2026-09-08,hk2,83,00386.HK,中国石油化工股份,0.9653904226833551,False,0.0
2026-09-08,hk2,84,02356.HK,大新银行集团,0.9591558697695015,False,0.0
2026-09-08,hk2,85,02318.HK,中国平安,0.9519298828266693,False,0.0
2026-09-08,hk2,86,02314.HK,理文造纸,0.9496247085014984,False,0.0
2026-09-08,hk2,87,02601.HK,中国太保,0.9449979703614079,False,0.0
2026-09-08,hk2,88,02628.HK,中国人寿,0.927543352505324,False,0.0
2026-09-08,hk2,89,01071.HK,华电国际电力股份,0.9238941669134018,False,0.0
2026-09-08,hk2,90,00371.HK,北控水务集团,0.9237319615853413,False,0.0
2026-09-08,hk2,91,00270.HK,粤海投资,0.9067989775568984,False,0.0
2026-09-08,hk2,92,01913.HK,普拉达,0.9052213995554084,False,0.0
2026-09-08,hk2,93,00688.HK,中国海外发展,0.901073885895169,False,0.0
2026-09-08,hk2,94,00288.HK,万洲国际,0.8914424391522164,False,0.0
2026-09-08,hk2,95,00975.HK,MONGOL MINING,0.8894622444782874,False,0.0
2026-09-08,hk2,96,01610.HK,中粮家佳康,0.8890438649918182,False,0.0
2026-09-08,hk2,97,02888.HK,渣打集团,0.882119393093078,False,0.0
2026-09-08,hk2,98,03320.HK,华润医药,0.8784527927096181,False,0.0
2026-09-08,hk2,99,03306.HK,江南布衣,0.8759380963378631,False,0.0
2026-09-08,hk2,100,02005.HK,石四药集团,0.8699620056304435,False,0.0
2026-09-08,hk2,101,06098.HK,碧桂园服务,0.8637294628465088,False,0.0
2026-09-08,hk2,102,02378.HK,保诚,0.8381529404099074,False,0.0
2026-09-08,hk2,103,01044.HK,恒安国际,0.8328640580597192,False,0.0
2026-09-08,hk2,104,01088.HK,中国神华,0.8061372090674812,False,0.0
2026-09-08,hk2,105,00868.HK,信义玻璃,0.7995323744566127,False,0.0
2026-09-08,hk2,106,02057.HK,中通快递-W,0.7988850869080059,False,0.0
2026-09-08,hk2,107,00317.HK,中船防务,0.7936559427953855,False,0.0
2026-09-08,hk2,108,00683.HK,嘉里建设,0.7909554102851952,False,0.0
2026-09-08,hk2,109,00570.HK,中国中药,0.7907031732369244,False,0.0
2026-09-08,hk2,110,06990.HK,科伦博泰生物,0.773016106072108,False,0.0
2026-09-08,hk2,111,00014.HK,希慎兴业,0.7707390203664809,False,0.0
