windcode,成分券名称,index
600887.SH,伊利股份,CSI300
600893.SH,航发动力,CSI300
600900.SH,长江电力,CSI300
600905.SH,三峡能源,CSI300
600918.SH,中泰证券,CSI300
600919.SH,江苏银行,CSI300
600926.SH,杭州银行,CSI300
600930.SH,华电新能,CSI300
600938.SH,中国海油,CSI300
600941.SH,中国移动,CSI300
600958.SH,东方证券,CSI300
600989.SH,宝丰能源,CSI300
600999.SH,招商证券,CSI300
601006.SH,大秦铁路,CSI300
601009.SH,南京银行,CSI300
601012.SH,隆基绿能,CSI300
601018.SH,宁波港,CSI300
601021.SH,春秋航空,CSI300
601058.SH,赛轮轮胎,CSI300
601059.SH,信达证券,CSI300
601066.SH,中信建投,CSI300
601077.SH,渝农商行,CSI300
601088.SH,中国神华,CSI300
601100.SH,恒立液压,CSI300
601111.SH,中国国航,CSI300
601117.SH,中国化学,CSI300
601127.SH,赛力斯,CSI300
601136.SH,首创证券,CSI300
601138.SH,工业富联,CSI300
601166.SH,兴业银行,CSI300
601169.SH,北京银行,CSI300
601186.SH,中国铁建,CSI300
601211.SH,国泰海通,CSI300
601225.SH,陕西煤业,CSI300
601229.SH,上海银行,CSI300
601238.SH,广汽集团,CSI300
601288.SH,农业银行,CSI300
601318.SH,中国平安,CSI300
601319.SH,中国人保,CSI300
601328.SH,交通银行,CSI300
601336.SH,新华保险,CSI300
601360.SH,三六零,CSI300
601377.SH,兴业证券,CSI300
601390.SH,中国中铁,CSI300
601398.SH,工商银行,CSI300
601456.SH,国联民生,CSI300
601600.SH,中国铝业,CSI300
601601.SH,中国太保,CSI300
601607.SH,上海医药,CSI300
601618.SH,中国中冶,CSI300
601628.SH,中国人寿,CSI300
601633.SH,长城汽车,CSI300
601658.SH,邮储银行,CSI300
601668.SH,中国建筑,CSI300
601669.SH,中国电建,CSI300
601688.SH,华泰证券,CSI300
601689.SH,拓普集团,CSI300
601698.SH,中国卫通,CSI300
601727.SH,上海电气,CSI300
601728.SH,中国电信,CSI300
601766.SH,中国中车,CSI300
601788.SH,光大证券,CSI300
601800.SH,中国交建,CSI300
601816.SH,京沪高铁,CSI300
