signal_date,symbol,original_return,amt_log_20,original_label_start,original_label_end,prediction,is_holdout,high_52w,target_weight,rank,market
2020-02-28,00863.HK,-0.12044811,-1.5807837970559615,2020-03-02,2020-04-01,2.894951305143888,False,0.8470588010900161,0.0666666666666666,1,hk2
2020-02-28,01858.HK,0.18738747,-0.0460367943904463,2020-03-02,2020-04-01,2.0942348382476066,False,0.9599296567161396,0.0666666666666666,2,hk2
2020-02-28,00968.HK,-0.26806086,0.7845191590690622,2020-03-02,2020-04-01,2.0745264531769014,False,0.9147826485011888,0.0666666666666666,3,hk2
2020-02-28,01475.HK,-0.047706366,0.0790354462923607,2020-03-02,2020-04-01,2.0333481280211085,False,0.8908794640288097,0.0666666666666666,4,hk2
2020-02-28,00268.HK,0.039801,0.7866681059830393,2020-03-02,2020-04-01,2.0050524451611595,False,0.9179723214717348,0.0666666666666666,5,hk2
2020-02-28,00811.HK,-0.074184,-0.9455211519876948,2020-03-02,2020-04-01,1.741322100502586,False,0.8888888678643226,0.0666666666666666,6,hk2
2020-02-28,00667.HK,-0.2364803,0.2786051493212694,2020-03-02,2020-04-01,1.5730370041463906,False,0.9144736862743992,0.0666666666666666,7,hk2
2020-02-28,01811.HK,0.34408605,-0.6789061228066684,2020-03-02,2020-04-01,1.5705533936049036,False,0.9489795806655188,0.0666666666666666,8,hk2
2020-02-28,00425.HK,-0.39585972,0.4261233549287602,2020-03-02,2020-04-01,1.508318719115177,False,0.8879179753117196,0.0666666666666666,9,hk2
2020-02-28,00303.HK,-0.15963852,0.1435793555063294,2020-03-02,2020-04-01,1.4426744946888204,False,0.8487318766246045,0.0666666666666666,10,hk2
2020-02-28,00700.HK,-0.03906703,2.2900951114408112,2020-03-02,2020-04-01,1.4021590671866306,False,0.9266429683158144,0.0666666666666666,11,hk2
2020-02-28,00697.HK,-0.23214287,-0.7466681792303476,2020-03-02,2020-04-01,1.290546662539601,False,0.8421052395707784,0.0666666666666666,12,hk2
2020-02-28,00998.HK,-0.09958506,0.5570432616062416,2020-03-02,2020-04-01,1.184312698427536,False,0.8088736626487848,0.0666666666666666,13,hk2
2020-02-28,00823.HK,-0.0777148,1.2197946733375309,2020-03-02,2020-04-01,1.1188041572035374,False,0.7407692542442909,0.0666666666666666,14,hk2
2020-02-28,06823.HK,-0.07612461,0.2138383477544812,2020-03-02,2020-04-01,1.1182100372441592,False,0.9024767325016512,0.0666666666666666,15,hk2
2020-03-31,00425.HK,0.1237762,0.4622766929526055,2020-04-01,2020-05-04,2.7761774919620175,False,0.5387538172336778,0.0666666666666666,1,hk2
2020-03-31,01858.HK,0.08528066,0.1357505442257741,2020-04-01,2020-05-04,2.678647594012737,False,1.0,0.0666666666666666,2,hk2
2020-03-31,01811.HK,-0.023999989,-0.1080791077751974,2020-04-01,2020-05-04,2.619772896810356,False,0.9921259916429592,0.0666666666666666,3,hk2
2020-03-31,00268.HK,0.055502415,0.7260731439980901,2020-04-01,2020-05-04,1.677685294404684,False,0.952073692213711,0.0666666666666666,4,hk2
2020-03-31,00667.HK,0.03961587,0.0859919692744239,2020-04-01,2020-05-04,1.664072433269454,False,0.7245066225466806,0.0666666666666666,5,hk2
2020-03-31,00775.HK,0.0795455,-0.1476117150213718,2020-04-01,2020-05-04,1.654315427053136,False,0.8378378363144086,0.0666666666666666,6,hk2
2020-03-31,03933.HK,0.07987225,-0.0640747237288229,2020-04-01,2020-05-04,1.636410049207491,False,1.0,0.0666666666666666,7,hk2
2020-03-31,01475.HK,0.0,-0.2346454407342642,2020-04-01,2020-05-04,1.607066785435802,False,0.8697068841541185,0.0666666666666666,8,hk2
2020-03-31,00669.HK,0.15277779,1.010785579418597,2020-04-01,2020-05-04,1.5544325729460626,False,0.7096774193548387,0.0666666666666666,9,hk2
2020-03-31,00863.HK,-0.027070045,-1.4529991031606029,2020-04-01,2020-05-04,1.4933479708205502,False,0.7305882397819968,0.0666666666666666,10,hk2
2020-03-31,02038.HK,0.011764765,-0.3971617856054623,2020-04-01,2020-05-04,1.3469391053178716,False,0.5541237195755166,0.0666666666666666,11,hk2
2020-03-31,00839.HK,0.23897052,-0.0482613634818294,2020-04-01,2020-05-04,1.3099656737530625,False,0.811121744066372,0.0666666666666666,12,hk2
2020-03-31,01177.HK,0.0925926,1.2260535951132785,2020-04-01,2020-05-04,1.2473743423010928,False,0.8282967082451627,0.0666666666666666,13,hk2
2020-03-31,01797.HK,0.2977941,0.6897582901623704,2020-04-01,2020-05-04,1.202009153714992,False,0.78045517562009,0.0666666666666666,14,hk2
2020-03-31,01789.HK,0.1862396,0.5707898990715128,2020-04-01,2020-05-04,1.199762203613921,False,0.9444444381551323,0.0666666666666666,15,hk2
2020-04-29,01858.HK,0.20777404,0.2676877445251803,2020-05-04,2020-06-01,4.214858571755778,False,0.9030888793883748,0.0666666666666666,1,hk2
2020-04-29,01789.HK,0.16999996,0.7670447065508761,2020-05-04,2020-06-01,2.8048412712607815,False,0.9017094002208071,0.0666666666666666,2,hk2
2020-04-29,01811.HK,-0.032786965,-0.0852988862239253,2020-05-04,2020-06-01,2.688777071764517,False,0.9689922767163736,0.0666666666666666,3,hk2
2020-04-29,01860.HK,0.38095248,-0.5226827630016339,2020-05-04,2020-06-01,2.568517949756094,False,0.9213483326664756,0.0666666666666666,4,hk2
2020-04-29,00241.HK,0.08716416,1.2964146895104964,2020-05-04,2020-06-01,2.4563807852659463,False,0.95756263248576,0.0666666666666666,5,hk2
2020-04-29,02331.HK,0.1297872,1.151614231489655,2020-05-04,2020-06-01,2.3058716657424925,False,0.8826715265720536,0.0666666666666666,6,hk2
2020-04-29,02018.HK,0.16874099,1.170382557307011,2020-05-04,2020-06-01,2.0977897677794797,False,0.542166906317324,0.0666666666666666,7,hk2
2020-04-29,03933.HK,0.038461447,0.2030159584914311,2020-05-04,2020-06-01,1.9267138768230885,False,0.9071331764522328,0.0666666666666666,8,hk2
2020-04-29,02128.HK,-0.0780856,0.3956825053059598,2020-05-04,2020-06-01,1.8432999268550028,False,0.8559498825228529,0.0666666666666666,9,hk2
2020-04-29,01475.HK,0.06743741,-0.261289608112748,2020-05-04,2020-06-01,1.609647331805672,False,0.8697068841541185,0.0666666666666666,10,hk2
2020-04-29,00586.HK,0.0028070211,0.6717471658582075,2020-05-04,2020-06-01,1.5537034008252997,False,0.9357075626344328,0.0666666666666666,11,hk2
2020-04-29,00775.HK,-0.032429576,-0.0432602248864933,2020-05-04,2020-06-01,1.5450553974367107,False,0.900900934416344,0.0666666666666666,12,hk2
2020-04-29,01787.HK,0.045954704,0.6527806710863508,2020-05-04,2020-06-01,1.5369738091143086,False,0.9687304560877404,0.0666666666666666,13,hk2
2020-04-29,00981.HK,0.19605267,1.4631228623310768,2020-05-04,2020-06-01,1.4790825694181626,False,0.8536865883511103,0.0666666666666666,14,hk2
2020-04-29,00425.HK,0.1561917,0.5084537022977288,2020-05-04,2020-06-01,1.4392598059401862,False,0.6033434763893136,0.0666666666666666,15,hk2
2020-05-29,01858.HK,0.121555924,0.2261748605787755,2020-06-01,2020-07-02,6.7929126891051705,False,0.9150105597757828,0.0666666666666666,1,hk2
2020-05-29,01789.HK,0.11056435,0.7598207313492193,2020-06-01,2020-07-02,3.3523850023537936,False,0.9497992419781696,0.0666666666666666,2,hk2
2020-05-29,01860.HK,-0.17059892,-0.2447710467662,2020-06-01,2020-07-02,3.1938147536077124,False,1.0,0.0666666666666666,3,hk2
2020-05-29,01811.HK,-0.016949117,-0.3417932351567598,2020-06-01,2020-07-02,2.949580141514178,False,0.9379845534327472,0.0666666666666666,4,hk2
2020-05-29,00981.HK,0.73817384,1.7934213208596512,2020-06-01,2020-07-02,2.8174302449853657,False,0.8725389025016707,0.0666666666666666,5,hk2
2020-05-29,02128.HK,0.07377052,0.2073081544643226,2020-06-01,2020-07-02,2.575238891506041,False,0.7473903866840783,0.0666666666666666,6,hk2
2020-05-29,01448.HK,-0.011009157,0.2357593360579273,2020-06-01,2020-07-02,2.2039338893359477,False,0.8898304940913816,0.0666666666666666,7,hk2
2020-05-29,02331.HK,-0.05188006,0.8804986878997234,2020-06-01,2020-07-02,2.094406947704532,False,0.938628191840516,0.0666666666666666,8,hk2
2020-05-29,00517.HK,0.032520294,-0.907236129554228,2020-06-01,2020-07-02,1.9238148827975712,False,0.882352966957026,0.0666666666666666,9,hk2
2020-05-29,00775.HK,0.03296697,-0.2681856077393233,2020-06-01,2020-07-02,1.8469557550302624,False,0.8372008905516367,0.0666666666666666,10,hk2
2020-05-29,00241.HK,0.16144979,1.277537805698613,2020-06-01,2020-07-02,1.542011585939413,False,0.8523524062473211,0.0666666666666666,11,hk2
2020-05-29,00586.HK,-0.05038488,0.6965583001490541,2020-06-01,2020-07-02,1.4188055338954593,False,0.8755121678986187,0.0666666666666666,12,hk2
