market,signal_date,entry_date,exit_date,stocks,turnover,gross_return,net_return,signal_observable_gross_return,signal_observable_net_same_cost,benchmark_return
hk,2020-02-28,2020-03-02,2020-04-01,15,1.0,-0.08406281900806813,-0.08706281900806813,-0.08406281900806813,-0.08706281900806813,-0.12193553245741617
hk,2020-03-31,2020-04-01,2020-05-04,15,0.5333333333333333,0.09297039598962649,0.09137039598962649,0.09297039598962649,0.09137039598962649,0.022871645284826547
hk,2020-04-29,2020-05-04,2020-06-01,15,0.5333333333333333,0.1005866564012573,0.0989866564012573,0.1005866564012573,0.0989866564012573,0.005027568625125989
hk,2020-05-29,2020-06-01,2020-07-02,15,0.33333333333333337,0.0669452971936856,0.0659452971936856,0.0669452971936856,0.0659452971936856,0.058639790464729336
hk,2020-06-30,2020-07-02,2020-08-03,15,0.4,-0.014905999674788398,-0.016105999674788398,-0.014905999674788398,-0.016105999674788398,-0.026510705419756753
hk,2020-07-31,2020-08-03,2020-09-01,15,0.6,0.02005069254807208,0.01825069254807208,0.02005069254807208,0.01825069254807208,0.029712819418328262
hk,2020-08-31,2020-09-01,2020-10-05,15,0.5333333333333333,-0.09210499229200347,-0.09370499229200348,-0.09210499229200347,-0.09370499229200348,-0.05626676355030902
hk,2020-09-30,2020-10-05,2020-11-02,15,0.33333333333333337,0.06819350259958148,0.06719350259958148,0.06819350259958148,0.06719350259958148,0.02912472262870147
hk,2020-10-30,2020-11-02,2020-12-01,15,0.5333333333333333,0.02244557015417629,0.02084557015417629,0.02244557015417629,0.02084557015417629,0.0861679942076885
hk,2020-11-30,2020-12-01,2021-01-04,15,0.6,0.09665516887685663,0.09485516887685663,0.09665516887685663,0.09485516887685663,0.034068838528618306
hk,2020-12-31,2021-01-04,2021-02-01,15,0.6666666666666667,-0.0011269936329854808,-0.0031269936329854815,-0.0011269936329854808,-0.0031269936329854815,0.05168928842735787
hk,2021-01-29,2021-02-01,2021-03-01,15,0.6,0.07569824909477066,0.07389824909477066,0.07569824909477066,0.07389824909477066,0.019371914029971293
hk,2021-02-26,2021-03-01,2021-04-01,15,0.4666666666666667,-0.0623727154984364,-0.0637727154984364,-0.0623727154984364,-0.0637727154984364,-0.01744601574667337
hk,2021-03-31,2021-04-01,2021-05-03,15,0.7333333333333334,0.09229688494281901,0.09009688494281902,0.09229688494281901,0.09009688494281902,-0.020083804616234158
hk,2021-04-30,2021-05-03,2021-06-01,15,0.6,0.15575346032490195,0.15395346032490195,0.15575346032490195,0.15395346032490195,0.03915925006188825
hk,2021-05-31,2021-06-01,2021-07-02,15,0.4666666666666667,0.021959820185677416,0.020559820185677417,0.021959820185677416,0.020559820185677417,-0.039282611646531906
hk,2021-06-30,2021-07-02,2021-08-02,15,0.6,0.038525621157744494,0.03672562115774449,0.038525621157744494,0.03672562115774449,-0.07328114524616725
hk,2021-07-30,2021-08-02,2021-09-01,15,0.4666666666666667,0.007044612969425431,0.005644612969425431,0.007044612969425431,0.005644612969425431,-0.007909421477523049
hk,2021-08-31,2021-09-01,2021-10-04,15,0.5333333333333333,-0.044714499093337814,-0.04631449909333781,-0.044714499093337814,-0.04631449909333781,-0.07652903821188417
hk,2021-09-30,2021-10-04,2021-11-01,15,0.6,-0.03173750333696532,-0.03353750333696532,-0.03173750333696532,-0.03353750333696532,0.04651076680879851
hk,2021-10-29,2021-11-01,2021-12-01,15,0.2666666666666667,0.011340564443334592,0.010540564443334592,0.011340564443334592,0.010540564443334592,-0.05944903300904181
hk,2021-11-30,2021-12-01,2022-01-03,15,0.5333333333333333,0.0534809717915682,0.051880971791568205,0.0534809717915682,0.051880971791568205,-0.016237850248447483
hk,2021-12-31,2022-01-03,2022-02-04,15,0.4,-0.042733999157056404,-0.043933999157056404,-0.042733999157056404,-0.043933999157056404,0.055791791533743584
hk,2022-01-31,2022-02-04,2022-03-01,15,0.5333333333333333,-0.02548170452287002,-0.02708170452287002,-0.02548170452287002,-0.02708170452287002,-0.07372150819039702
hk,2022-02-28,2022-03-01,2022-04-01,15,0.4,-0.04684406361861606,-0.04804406361861606,-0.04684406361861606,-0.04804406361861606,-0.031726966031989656
hk,2022-03-31,2022-04-01,2022-05-03,15,0.4,-0.04540238006056918,-0.04660238006056918,-0.04540238006056918,-0.04660238006056918,-0.04254442581631657
hk,2022-04-29,2022-05-03,2022-06-01,15,0.4666666666666667,0.018922162447021704,0.017522162447021705,0.018922162447021704,0.017522162447021705,0.009148469639449264
hk,2022-05-31,2022-06-01,2022-07-04,15,0.5333333333333333,-0.021840532371216206,-0.023440532371216207,-0.021840532371216206,-0.023440532371216207,0.025142592559546983
hk,2022-06-30,2022-07-04,2022-08-01,15,0.5333333333333333,0.002219069543149447,0.000619069543149447,0.002219069543149447,0.000619069543149447,-0.0762475177905988
hk,2022-07-29,2022-08-01,2022-09-01,15,0.4666666666666667,-0.004309059132504211,-0.005709059132504211,-0.004309059132504211,-0.005709059132504211,-0.028192725916698635
hk,2022-08-31,2022-09-01,2022-10-03,15,0.5333333333333333,-0.12755504067986076,-0.12915504067986075,-0.12755504067986076,-0.12915504067986075,-0.12847681646103482
hk,2022-09-30,2022-10-03,2022-11-01,15,0.33333333333333337,-0.03547551355796957,-0.03647551355796957,-0.03547551355796957,-0.03647551355796957,-0.09509874697810405
hk,2022-10-31,2022-11-01,2022-12-01,15,0.33333333333333337,0.20030243311151172,0.19930243311151172,0.20030243311151172,0.19930243311151172,0.2123010468273927
hk,2022-11-30,2022-12-01,2023-01-03,15,0.4666666666666667,0.0005738182615386833,-0.0008261817384613167,0.0005738182615386833,-0.0008261817384613167,0.07519304627773482
hk,2022-12-30,2023-01-03,2023-02-01,15,0.4666666666666667,0.07538867215734726,0.07398867215734727,0.07538867215734726,0.07398867215734727,0.09564965309509077
hk,2023-01-31,2023-02-01,2023-03-01,15,0.5333333333333333,-0.012934368218205875,-0.014534368218205876,-0.012934368218205875,-0.014534368218205876,-0.06580546189819048
hk,2023-02-28,2023-03-01,2023-04-03,15,0.4666666666666667,-0.007647618484835742,-0.009047618484835741,-0.007647618484835742,-0.009047618484835741,-0.010210133896160434
hk,2023-03-31,2023-04-03,2023-05-02,15,0.6,0.06747935599520488,0.06567935599520489,0.06747935599520488,0.06567935599520489,-0.023291969594074757
hk,2023-04-28,2023-05-02,2023-06-01,15,0.5333333333333333,-0.08749135988382156,-0.08909135988382157,-0.08749135988382156,-0.08909135988382157,-0.08613004739184338
hk,2023-05-31,2023-06-01,2023-07-03,15,0.2666666666666667,0.05204256102292459,0.051242561022924585,0.05204256102292459,0.051242561022924585,0.05981695029508294
hk,2023-06-30,2023-07-03,2023-08-01,15,0.4666666666666667,0.05084855684353997,0.04944855684353997,0.05084855684353997,0.04944855684353997,0.03649168496352795
hk,2023-07-31,2023-08-01,2023-09-04,15,0.6,-0.046537632240494606,-0.04833763224049461,-0.046537632240494606,-0.04833763224049461,-0.05831557653944408
hk,2023-08-31,2023-09-04,2023-10-03,15,0.4666666666666667,-0.03182311593980846,-0.03322311593980846,-0.03182311593980846,-0.03322311593980846,-0.08028694301046047
hk,2023-09-29,2023-10-03,2023-11-01,15,0.33333333333333337,-0.01574269157387304,-0.01674269157387304,-0.01574269157387304,-0.01674269157387304,-0.0132385371601077
hk,2023-10-31,2023-11-01,2023-12-01,15,0.33333333333333337,0.03750340513124264,0.03650340513124264,0.03750340513124264,0.03650340513124264,-0.015874370971910468
hk,2023-11-30,2023-12-01,2024-01-02,15,0.4666666666666667,0.013900602159528501,0.012500602159528501,0.013900602159528501,0.012500602159528501,-0.0024806450271237512
hk,2023-12-29,2024-01-02,2024-02-01,15,0.4666666666666667,-0.10279943798428133,-0.10419943798428133,-0.10279943798428133,-0.10419943798428133,-0.07280795542199892
hk,2024-01-31,2024-02-01,2024-03-01,15,0.6666666666666667,0.07964885331150996,0.07764885331150996,0.07964885331150996,0.07764885331150996,0.06573404830077445
hk,2024-02-29,2024-03-01,2024-04-02,15,0.2666666666666667,0.06136755868843925,0.06056755868843925,0.06136755868843925,0.06056755868843925,0.020620346437251857
hk,2024-03-28,2024-04-02,2024-05-02,15,0.6666666666666667,0.050034105815820254,0.04803410581582025,0.050034105815820254,0.04803410581582025,0.07533936705032973
hk,2024-04-30,2024-05-02,2024-06-03,15,0.6,0.05788951135588675,0.056089511355886745,0.05788951135588675,0.056089511355886745,0.010760070368037056
hk,2024-05-31,2024-06-03,2024-07-02,15,0.4,0.051082197230467946,0.049882197230467946,0.051082197230467946,0.049882197230467946,-0.03444539597805585
hk,2024-06-28,2024-07-02,2024-08-01,15,0.19999999999999996,-0.04360650415167159,-0.044206504151671586,-0.04360650415167159,-0.044206504151671586,-0.026122817423915867
hk,2024-07-31,2024-08-01,2024-09-02,15,0.2666666666666667,0.07674580880883718,0.07594580880883718,0.07674580880883718,0.07594580880883718,0.022364108325012122
hk,2024-08-30,2024-09-02,2024-10-02,15,0.2666666666666667,0.1524555142071924,0.1516555142071924,0.1524555142071924,0.1516555142071924,0.26858286555991207
hk,2024-09-30,2024-10-02,2024-11-01,15,0.4666666666666667,-0.03157893875073026,-0.032978938750730255,-0.03157893875073026,-0.032978938750730255,-0.08631809418487923
hk,2024-10-31,2024-11-01,2024-12-02,15,0.6,-0.032506714178551256,-0.03430671417855126,-0.032506714178551256,-0.03430671417855126,-0.04662635085678002
hk,2024-11-29,2024-12-02,2025-01-02,15,0.6,-0.0033479989533504433,-0.005147998953350443,-0.0033479989533504433,-0.005147998953350443,0.0037354944606959872
hk,2024-12-31,2025-01-02,2025-02-03,15,0.33333333333333337,0.05716679241935037,0.05616679241935037,0.05716679241935037,0.05616679241935037,0.030267049612399788
hk,2025-01-28,2025-02-03,2025-03-03,15,0.2666666666666667,0.056583105711426086,0.055783105711426084,0.056583105711426086,0.055783105711426084,0.137951928203921
hk,2025-02-28,2025-03-03,2025-04-01,15,0.4,0.04764033028503774,0.04644033028503774,0.04764033028503774,0.04644033028503774,0.00871805816414395
hk,2025-03-31,2025-04-01,2025-05-02,15,0.4666666666666667,-0.004415581894612249,-0.005815581894612249,-0.004415581894612249,-0.005815581894612249,-0.030256596761989107
hk,2025-04-30,2025-05-02,2025-06-02,15,0.4,0.03169799430992124,0.030497994309921242,0.03169799430992124,0.030497994309921242,0.02902907306391378
hk,2025-05-30,2025-06-02,2025-07-02,15,0.33333333333333337,0.17170062962710123,0.17070062962710122,0.17170062962710123,0.17070062962710122,0.04592112348362143
hk,2025-06-30,2025-07-02,2025-08-01,15,0.5333333333333333,0.036595617577429115,0.03499561757742912,0.036595617577429115,0.03499561757742912,0.01182424970305207
hk,2025-07-31,2025-08-01,2025-09-01,15,0.4,0.13600015232895007,0.13480015232895007,0.13600015232895007,0.13480015232895007,0.04527577127454463
hk,2025-08-29,2025-09-01,2025-10-02,15,0.4666666666666667,0.13149270113188893,0.13009270113188892,0.13149270113188893,0.13009270113188892,0.06517830445064332
hk,2025-09-30,2025-10-02,2025-11-03,15,0.5333333333333333,0.013716157047085575,0.012116157047085574,0.013716157047085575,0.012116157047085574,-0.0413660364303744
hk,2025-10-31,2025-11-03,2025-12-01,15,0.4666666666666667,0.24305990455401605,0.24165990455401604,0.24305990455401605,0.24165990455401604,-0.004782409906431528
hk,2025-11-28,2025-12-01,2026-01-02,15,0.33333333333333337,0.15525717863927757,0.15425717863927757,0.15525717863927757,0.15425717863927757,0.011723848645924573
hk,2025-12-31,2026-01-02,2026-02-02,15,0.33333333333333337,0.11906643541419373,0.11806643541419373,0.11906643541419373,0.11806643541419373,0.01659549700495133
hk,2026-01-30,2026-02-02,2026-03-02,15,0.33333333333333337,0.18189378843625667,0.18089378843625667,0.18189378843625667,0.18089378843625667,-0.0267303366464281
