market,signal_date,entry_date,exit_date,code,rank,entry_adjusted_close,exit_adjusted_close,qveris_gross_return,observable_signal_bar,original_label_start,original_label_end,original_fwd_ret,return_difference
hk,2020-02-28,2020-03-02,2020-04-01,00863.HK,1,7.14,6.28,-0.12044817927170859,True,2020-03-02,2020-04-01,-0.12044811,-6.927170859150067e-08
hk,2020-02-28,2020-03-02,2020-04-01,01858.HK,2,170.62614741654,202.64541185617,0.18765743073049168,True,2020-03-02,2020-04-01,0.18738747,0.0002699607304916807
hk,2020-02-28,2020-03-02,2020-04-01,00968.HK,3,7.7002206949112,5.641004463695,-0.2674230145867199,True,2020-03-02,2020-04-01,-0.26806086,0.0006378454132801026
hk,2020-02-28,2020-03-02,2020-04-01,01475.HK,4,6.7415051598289,6.4204811045989,-0.047619047619055443,True,2020-03-02,2020-04-01,-0.047706366,8.731838094455657e-05
hk,2020-02-28,2020-03-02,2020-04-01,00268.HK,5,51.626073092047,53.678799656344,0.0397614314115482,True,2020-03-02,2020-04-01,0.039801,-3.956858845180489e-05
hk,2020-02-28,2020-03-02,2020-04-01,00811.HK,6,12.552417910797,11.619152638619,-0.07434944237916508,True,2020-03-02,2020-04-01,-0.074184,-0.0001654423791650761
hk,2020-02-28,2020-03-02,2020-04-01,00667.HK,7,15.56,11.88,-0.2365038560411311,True,2020-03-02,2020-04-01,-0.2364803,-2.355604113110643e-05
hk,2020-02-28,2020-03-02,2020-04-01,01811.HK,8,1.3384669226339,1.7883717705781,0.3361344537815363,True,2020-03-02,2020-04-01,0.34408605,-0.007951596218463697
hk,2020-02-28,2020-03-02,2020-04-01,00425.HK,9,38.536850822114,23.274869181212,-0.39603603603603377,True,2020-03-02,2020-04-01,-0.39585972,-0.00017631603603374124
hk,2020-02-28,2020-03-02,2020-04-01,00303.HK,10,334.15718897428,280.81281844525,-0.15963855421687756,True,2020-03-02,2020-04-01,-0.15963852,-3.4216877553561176e-08
hk,2020-02-28,2020-03-02,2020-04-01,00700.HK,11,2062.3390025971,1981.8781380193,-0.03901437371667593,True,2020-03-02,2020-04-01,-0.03906703,5.2656283324070685e-05
hk,2020-02-28,2020-03-02,2020-04-01,00697.HK,12,0.49108030402456,0.37820512966668,-0.22985074626864865,True,2020-03-02,2020-04-01,-0.23214287,0.0022921237313513476
hk,2020-02-28,2020-03-02,2020-04-01,00998.HK,13,6.6917120998702,6.0241690436787,-0.09975669099757711,True,2020-03-02,2020-04-01,-0.09958506,-0.0001716309975771102
hk,2020-02-28,2020-03-02,2020-04-01,00823.HK,14,71.4,65.85,-0.07773109243697496,True,2020-03-02,2020-04-01,-0.0777148,-1.6292436974957303e-05
hk,2020-02-28,2020-03-02,2020-04-01,06823.HK,15,18.228208364473,16.840593886901,-0.07612456747402985,True,2020-03-02,2020-04-01,-0.07612461,4.2525970148088454e-08
hk,2020-03-31,2020-04-01,2020-05-04,00425.HK,1,23.274869181212,26.163397098689,0.1241050119331577,True,2020-04-01,2020-05-04,0.1237762,0.0003288119331577022
hk,2020-03-31,2020-04-01,2020-05-04,01858.HK,2,202.64541185617,219.90808313211,0.08518658832597881,True,2020-04-01,2020-05-04,0.08528066,-9.407167402118721e-05
hk,2020-03-31,2020-04-01,2020-05-04,01811.HK,3,1.7883717705781,1.7546289069823,-0.018867924528294444,True,2020-04-01,2020-05-04,-0.023999989,0.005132064471705555
hk,2020-03-31,2020-04-01,2020-05-04,00268.HK,4,53.678799656344,56.655253174573,0.05544933078393144,True,2020-04-01,2020-05-04,0.055502415,-5.308421606856073e-05
hk,2020-03-31,2020-04-01,2020-05-04,00667.HK,5,11.88,12.34,0.03872053872053871,True,2020-04-01,2020-05-04,0.03961587,-0.0008953312794612867
hk,2020-03-31,2020-04-01,2020-05-04,00775.HK,6,1.1133855010213,1.2019502567844,0.07954545454549233,True,2020-04-01,2020-05-04,0.0795455,-4.54545076716828e-08
hk,2020-03-31,2020-04-01,2020-05-04,03933.HK,7,7.9149768394271,8.5471634879436,0.07987220447283816,True,2020-04-01,2020-05-04,0.07987225,-4.552716184602623e-08
hk,2020-03-31,2020-04-01,2020-05-04,01475.HK,8,6.4204811045989,6.4204811045989,0.0,True,2020-04-01,2020-05-04,0.0,0.0
hk,2020-03-31,2020-04-01,2020-05-04,00669.HK,9,229.875504083,264.97277518162,0.15267947421638972,True,2020-04-01,2020-05-04,0.15277779,-9.831578361027549e-05
hk,2020-03-31,2020-04-01,2020-05-04,00863.HK,10,6.28,6.11,-0.027070063694267454,True,2020-04-01,2020-05-04,-0.027070045,-1.8694267453489566e-08
hk,2020-03-31,2020-04-01,2020-05-04,02038.HK,11,1.0303432453201,1.0423239807308,0.011627906976745317,True,2020-04-01,2020-05-04,0.011764765,-0.00013685802325468302
